;============================ SPDUST.2 ===============================
;
;    Rotational emission from a population of spinning dust grains,
;    as described by Ali-Haimoud, Hirata & Dickinson, 2009, MNRAS, 395, 1055
;    and in Silsbee, Ali-Haimoud & Hirata, 2010
;    for an environment with parameters given below. 
;
;    nH = 0.100000 cm^-3
;    T = 8000.0000 K
;    Chi = 1.0000000
;    xh = 0.990000
;    xC = 0.0010000000
;    mu(1E-7 cm) = 9.1909739 debye (this corresponds to beta = 0.38000000 debye)
;
;Diklike grains are assumed to be randomly 
;
;=====================================================================
;
;nu(GHz)       j_nu/nH(Jy sr-1 cm2/H)     
;
      0.50959197   1.1624337e-23
      0.52933149   1.2869832e-23
      0.54983563   1.4264748e-23
      0.57113402   1.5831562e-23
      0.59325742   1.7596132e-23
      0.61623779   1.9588316e-23
      0.64010833   2.1842663e-23
      0.66490352   2.4399300e-23
      0.69065916   2.7304863e-23
      0.71741248   3.0613715e-23
      0.74520212   3.4389260e-23
      0.77406820   3.8705590e-23
      0.80405245   4.3649327e-23
      0.83519816   4.9321883e-23
      0.86755033   5.5842044e-23
      0.90115569   6.3349068e-23
      0.93606278   7.2006322e-23
      0.97232204   8.2005617e-23
       1.0099858   9.3572236e-23
       1.0491086   1.0697101e-22
       1.0897467   1.2251325e-22
       1.1319591   1.4056513e-22
       1.1758066   1.6155747e-22
       1.2213525   1.8599726e-22
       1.2686627   2.1448126e-22
       1.3178055   2.4771213e-22
       1.3688519   2.8651718e-22
       1.4218757   3.3187063e-22
       1.4769534   3.8492015e-22
       1.5341645   4.4701798e-22
       1.5935918   5.1975728e-22
       1.6553210   6.0501606e-22
       1.7194414   7.0500806e-22
       1.7860455   8.2234279e-22
       1.8552297   9.6009829e-22
       1.9270937   1.1219049e-21
       2.0017414   1.3120435e-21
       2.0792807   1.5355655e-21
       2.1598236   1.7984312e-21
       2.2434863   2.1076706e-21
       2.3303898   2.4715794e-21
       2.4206596   2.8999483e-21
       2.5144261   3.4043277e-21
       2.6118247   3.9983480e-21
       2.7129962   4.6980950e-21
       2.8180866   5.5225429e-21
       2.9272477   6.4940768e-21
       3.0406374   7.6391172e-21
       3.1584193   8.9888212e-21
       3.2807635   1.0579924e-20
       3.4078469   1.2455755e-20
       3.5398530   1.4667381e-20
       3.6769725   1.7274973e-20
       3.8194034   2.0349412e-20
       3.9673515   2.3974113e-20
       4.1210305   2.8247197e-20
       4.2806624   3.3284038e-20
       4.4464778   3.9220070e-20
       4.6187162   4.6214119e-20
       4.7976264   5.4452290e-20
       4.9834669   6.4152225e-20
       5.1765061   7.5568098e-20
       5.3770228   8.8995916e-20
       5.5853067   1.0477964e-19
       5.8016587   1.2331808e-19
       6.0263913   1.4507203e-19
       6.2598291   1.7057137e-19
       6.5023094   2.0042325e-19
       6.7541823   2.3531962e-19
       7.0158118   2.7604414e-19
       7.2875757   3.2347763e-19
       7.5698666   3.7860290e-19
       7.8630924   4.4250332e-19
       8.1676765   5.1636076e-19
       8.4840590   6.0144928e-19
       8.8126968   6.9911057e-19
       9.1540647   8.1073780e-19
       9.5086558   9.3773801e-19
       9.8769823   1.0814909e-18
       10.259576   1.2432883e-18
       10.656990   1.4242742e-18
       11.069799   1.6253820e-18
       11.498598   1.8472481e-18
       11.944006   2.0901733e-18
       12.406668   2.3540224e-18
       12.887252   2.6382365e-18
       13.386452   2.9417878e-18
       13.904988   3.2632116e-18
       14.443611   3.6006888e-18
       15.003097   3.9521151e-18
       15.584256   4.3152703e-18
       16.187927   4.6879210e-18
       16.814981   5.0679985e-18
       17.466325   5.4535944e-18
       18.142899   5.8429628e-18
       18.845681   6.2344170e-18
       19.575685   6.6258653e-18
       20.333968   7.0146750e-18
       21.121623   7.3971032e-18
       21.939788   7.7679317e-18
       22.789646   8.1204105e-18
       23.672424   8.4462402e-18
       24.589397   8.7358405e-18
       25.541890   8.9788448e-18
       26.531278   9.1647748e-18
       27.558992   9.2835298e-18
       28.626515   9.3259454e-18
       29.735389   9.2841821e-18
       30.887217   9.1521915e-18
       32.083662   8.9265344e-18
       33.326452   8.6074673e-18
       34.617383   8.1998356e-18
       35.958319   7.7133925e-18
       37.351197   7.1623374e-18
       38.798030   6.5640449e-18
       40.300908   5.9376018e-18
       41.862000   5.3020843e-18
       43.483563   4.6752377e-18
       45.167939   4.0723011e-18
       46.917561   3.5053331e-18
       48.734956   2.9829692e-18
       50.622749   2.5105644e-18
       52.583668   2.0906244e-18
       54.620545   1.7232509e-18
       56.736322   1.4067807e-18
       58.934055   1.1382381e-18
       61.216920   9.1371310e-19
       63.588214   7.2864968e-19
       66.051362   5.7807755e-19
       68.609922   4.5685199e-19
       71.267591   3.5994050e-19
       74.028206   2.8274360e-19
       76.895757   2.2134001e-19
       79.874385   1.7258172e-19
       82.968393   1.3401924e-19
       86.182250   1.0371960e-19
       89.520598   8.0086868e-20
       92.988261   6.1757470e-20
       96.590247   4.7573601e-20
       100.33176   3.6588893e-20
       104.21820   2.8066092e-20
       108.25519   2.1451023e-20
       112.44855   1.6329587e-20
       116.80435   1.2384341e-20
       121.32888   9.3626087e-21
       126.02866   7.0593989e-21
       130.91050   5.3098148e-21
       135.98144   3.9841609e-21
       141.24880   2.9823162e-21
       146.72021   2.2273810e-21
       152.40355   1.6600620e-21
       158.30704   1.2345998e-21
       164.43921   9.1596631e-22
       170.80891   6.7768703e-22
       177.42535   4.9989590e-22
       184.29809   3.6764058e-22
       191.43704   2.6957370e-22
       198.85253   1.9705498e-22
       206.55527   1.4354745e-22
       214.55638   1.0415886e-22
       222.86742   7.5254604e-23
       231.50039   5.4129274e-23
       240.46777   3.8756793e-23
       249.78251   2.7616480e-23
       259.45807   1.9573821e-23
       269.50841   1.3791034e-23
       279.94807   9.6535073e-24
       290.79211   6.7106103e-24
       302.05621   4.6309937e-24
       313.75664   3.1711164e-24
       325.91029   2.1531072e-24
       338.53473   1.4483033e-24
       351.64818   9.6433068e-25
       365.26960   6.3508672e-25
       379.41865   4.1339221e-25
       394.11578   2.6574611e-25
       409.38222   1.6855479e-25
       425.24002   1.0537263e-25
       441.71208   6.4854571e-26
       458.82220   3.9253648e-26
       476.59510   2.3336703e-26
       495.05645   1.3611451e-26
       514.23292   7.7796141e-27
       534.15220   4.3510750e-27
       554.84308   2.3768692e-27
       576.33544   1.2650089e-27
       598.66032   6.5390915e-28
       621.84998   3.2720431e-28
       645.93791   1.5789986e-28
       670.95891   7.3171027e-29
       696.94912   3.2381232e-29
       723.94609   1.3595751e-29
       751.98880   5.3725775e-30
       781.11778   1.9814565e-30
       811.37510   6.7618199e-31
       842.80446   2.1004694e-31
       875.45127   5.9596766e-32
       909.36268   1.5062637e-32
       944.58768   3.3235931e-33
       981.17715       0.0000000
