;============================ SPDUST.2 ===============================
;
;    Rotational emission from a population of spinning dust grains,
;    as described by Ali-Haimoud, Hirata & Dickinson, 2009, MNRAS, 395, 1055
;    and in Silsbee, Ali-Haimoud & Hirata, 2010
;    for an environment with parameters given below. 
;
;    nH = 30.000000 cm^-3
;    T = 100.00000 K
;    Chi = 1.0000000
;    xh = 0.0010000000
;    xC = 0.00030000000
;    mu(1E-7 cm) = 9.1909739 debye (this corresponds to beta = 0.38000000 debye)
;
;Diklike grains are assumed to be randomly 
;
;=====================================================================
;
;nu(GHz)       j_nu/nH(Jy sr-1 cm2/H)     
;
      0.50959197   1.0283425e-23
      0.52933149   1.1426563e-23
      0.54983563   1.2723473e-23
      0.57113402   1.4198601e-23
      0.59325742   1.5880608e-23
      0.61623779   1.7803121e-23
      0.64010833   2.0005674e-23
      0.66490352   2.2534634e-23
      0.69065916   2.5444509e-23
      0.71741248   2.8799359e-23
      0.74520212   3.2674538e-23
      0.77406820   3.7158812e-23
      0.80405245   4.2356593e-23
      0.83519816   4.8390519e-23
      0.86755033   5.5405078e-23
      0.90115569   6.3570370e-23
      0.93606278   7.3086774e-23
      0.97232204   8.4189483e-23
       1.0099858   9.7155580e-23
       1.0491086   1.1231113e-22
       1.0897467   1.3003971e-22
       1.1319591   1.5079198e-22
       1.1758066   1.7509822e-22
       1.2213525   2.0358191e-22
       1.2686627   2.3697568e-22
       1.3178055   2.7614057e-22
       1.3688519   3.2208806e-22
       1.4218757   3.7600664e-22
       1.4769534   4.3929149e-22
       1.5341645   5.1358075e-22
       1.5935918   6.0079752e-22
       1.6553210   7.0319715e-22
       1.7194414   8.2342654e-22
       1.7860455   9.6458961e-22
       1.8552297   1.1303231e-21
       1.9270937   1.3248918e-21
       2.0017414   1.5532925e-21
       2.0792807   1.8213739e-21
       2.1598236   2.1359900e-21
       2.2434863   2.5051635e-21
       2.3303898   2.9382752e-21
       2.4206596   3.4463088e-21
       2.5144261   4.0421141e-21
       2.6118247   4.7406996e-21
       2.7129962   5.5596211e-21
       2.8180866   6.5193898e-21
       2.9272477   7.6439642e-21
       3.0406374   8.9613169e-21
       3.1584193   1.0504100e-20
       3.2807635   1.2310424e-20
       3.4078469   1.4424739e-20
       3.5398530   1.6898843e-20
       3.6769725   1.9793115e-20
       3.8194034   2.3177873e-20
       3.9673515   2.7134989e-20
       4.1210305   3.1759672e-20
       4.2806624   3.7162604e-20
       4.4464778   4.3472291e-20
       4.6187162   5.0837925e-20
       4.7976264   5.9432389e-20
       4.9834669   6.9455885e-20
       5.1765061   8.1139630e-20
       5.3770228   9.4750587e-20
       5.5853067   1.1059611e-19
       5.8016587   1.2902927e-19
       6.0263913   1.5045466e-19
       6.2598291   1.7533401e-19
       6.5023094   2.0419266e-19
       6.7541823   2.3762522e-19
       7.0158118   2.7630175e-19
       7.2875757   3.2097116e-19
       7.5698666   3.7246527e-19
       7.8630924   4.3169959e-19
       8.1676765   4.9967081e-19
       8.4840590   5.7744909e-19
       8.8126968   6.6616880e-19
       9.1540647   7.6700753e-19
       9.5086558   8.8116473e-19
       9.8769823   1.0098269e-18
       10.259576   1.1541262e-18
       10.656990   1.3150909e-18
       11.069799   1.4936192e-18
       11.498598   1.6903993e-18
       11.944006   1.9058789e-18
       12.406668   2.1402353e-18
       12.887252   2.3933542e-18
       13.386452   2.6648265e-18
       13.904988   2.9539931e-18
       14.443611   3.2599888e-18
       15.003097   3.5818450e-18
       15.584256   3.9185529e-18
       16.187927   4.2692446e-18
       16.814981   4.6330654e-18
       17.466325   5.0093965e-18
       18.142899   5.3975801e-18
       18.845681   5.7967625e-18
       19.575685   6.2055345e-18
       20.333968   6.6216348e-18
       21.121623   7.0414121e-18
       21.939788   7.4597914e-18
       22.789646   7.8698793e-18
       23.672424   8.2632323e-18
       24.589397   8.6300662e-18
       25.541890   8.9596212e-18
       26.531278   9.2405285e-18
       27.558992   9.4612772e-18
       28.626515   9.6105819e-18
       29.735389   9.6777782e-18
       30.887217   9.6534019e-18
       32.083662   9.5304844e-18
       33.326452   9.3055441e-18
       34.617383   8.9797050e-18
       35.958319   8.5590875e-18
       37.351197   8.0547397e-18
       38.798030   7.4819056e-18
       40.300908   6.8589867e-18
       41.862000   6.2059707e-18
       43.483563   5.5429395e-18
       45.167939   4.8885712e-18
       46.917561   4.2588871e-18
       48.734956   3.6665154e-18
       50.622749   3.1205024e-18
       52.583668   2.6264445e-18
       54.620545   2.1869556e-18
       56.736322   1.8022392e-18
       58.934055   1.4706259e-18
       61.216920   1.1890918e-18
       63.588214   9.5364494e-19
       66.051362   7.5960039e-19
       68.609922   6.0180605e-19
       71.267591   4.7488250e-19
       74.028206   3.7353097e-19
       76.895757   2.9288569e-19
       79.874385   2.2879892e-19
       82.968393   1.7795344e-19
       86.182250   1.3778088e-19
       89.520598   1.0626201e-19
       92.988261   8.1729256e-20
       96.590247   6.2753403e-20
       100.33176   4.8115933e-20
       104.21820   3.6818580e-20
       108.25519   2.8084069e-20
       112.44855   2.1329778e-20
       116.80435   1.6122180e-20
       121.32888   1.2129950e-20
       126.02866   9.0897379e-21
       130.91050   6.7878652e-21
       135.98144   5.0523927e-21
       141.24880   3.7482588e-21
       146.72021   2.7715084e-21
       152.40355   2.0426707e-21
       158.30704   1.5008206e-21
       164.43921   1.0992131e-21
       170.80891   8.0226897e-22
       177.42535   5.8324867e-22
       184.29809   4.2222160e-22
       191.43704   3.0431698e-22
       198.85253   2.1836987e-22
       206.55527   1.5597745e-22
       214.55638   1.1085333e-22
       222.86742   7.8344141e-23
       231.50039   5.5031835e-23
       240.46777   3.8408064e-23
       249.78251   2.6626791e-23
       259.45807   1.8329291e-23
       269.50841   1.2521417e-23
       279.94807   8.4825318e-24
       290.79211   5.6943267e-24
       302.05621   3.7855228e-24
       313.75664   2.4906990e-24
       325.91029   1.6209028e-24
       338.53473   1.0425753e-24
       351.64818   6.6220074e-25
       365.26960   4.1493374e-25
       379.41865   2.5622888e-25
       394.11578   1.5577285e-25
       409.38222   9.3141733e-26
       425.24002   5.4722968e-26
       441.71208   3.1557692e-26
       458.82220   1.7837930e-26
       476.59510   9.8652858e-27
       495.05645   5.3273881e-27
       514.23292   2.8032914e-27
       534.15220   1.4344615e-27
       554.84308   7.1208294e-28
       576.33544   3.4189025e-28
       598.66032   1.5810150e-28
       621.84998   7.0086165e-29
       645.93791   2.9641125e-29
       670.95891   1.1904125e-29
       696.94912   4.4965737e-30
       723.94609   1.6053388e-30
       751.98880   5.3409394e-31
       781.11778   1.6412776e-31
       811.37510   4.6135939e-32
       842.80446   1.1737924e-32
       875.45127       0.0000000
       909.36268       0.0000000
       944.58768       0.0000000
       981.17715       0.0000000
