;============================ SPDUST.2 ===============================
;
;    Rotational emission from a population of spinning dust grains,
;    as described by Ali-Haimoud, Hirata & Dickinson, 2009, MNRAS, 395, 1055
;    and in Silsbee, Ali-Haimoud & Hirata, 2010
;    for an environment with parameters given below. 
;
;    nH = 0.400000 cm^-3
;    T = 6000.0000 K
;    Chi = 1.0000000
;    xh = 0.10000000
;    xC = 0.00030000000
;    mu(1E-7 cm) = 9.1909739 debye (this corresponds to beta = 0.38000000 debye)
;
;Diklike grains are assumed to be randomly 
;
;=====================================================================
;
;nu(GHz)       j_nu/nH(Jy sr-1 cm2/H)     
;
      0.50959197   1.3815907e-23
      0.52933149   1.5290430e-23
      0.54983563   1.6924428e-23
      0.57113402   1.8743703e-23
      0.59325742   2.0778347e-23
      0.61623779   2.3063240e-23
      0.64010833   2.5638646e-23
      0.66490352   2.8551128e-23
      0.69065916   3.1854376e-23
      0.71741248   3.5610679e-23
      0.74520212   3.9892662e-23
      0.77406820   4.4785080e-23
      0.80405245   5.0387261e-23
      0.83519816   5.6815251e-23
      0.86755033   6.4205353e-23
      0.90115569   7.2717753e-23
      0.93606278   8.2540647e-23
      0.97232204   9.3895314e-23
       1.0099858   1.0704170e-22
       1.0491086   1.2228590e-22
       1.0897467   1.3998841e-22
       1.1319591   1.6057393e-22
       1.1758066   1.8454225e-22
       1.2213525   2.1248250e-22
       1.2686627   2.4508944e-22
       1.3178055   2.8318190e-22
       1.3688519   3.2772547e-22
       1.4218757   3.7985880e-22
       1.4769534   4.4092527e-22
       1.5341645   5.1250880e-22
       1.5935918   5.9647895e-22
       1.6553210   6.9504086e-22
       1.7194414   8.1079708e-22
       1.7860455   9.4681810e-22
       1.8552297   1.1067274e-21
       1.9270937   1.2948026e-21
       2.0017414   1.5160915e-21
       2.0792807   1.7765517e-21
       2.1598236   2.0832153e-21
       2.2434863   2.4443829e-21
       2.3303898   2.8698496e-21
       2.4206596   3.3711800e-21
       2.5144261   3.9620170e-21
       2.6118247   4.6584603e-21
       2.7129962   5.4795108e-21
       2.8180866   6.4475799e-21
       2.9272477   7.5891063e-21
       3.0406374   8.9352610e-21
       3.1584193   1.0522796e-20
       3.2807635   1.2395013e-20
       3.4078469   1.4602932e-20
       3.5398530   1.7206615e-20
       3.6769725   2.0276727e-20
       3.8194034   2.3896335e-20
       3.9673515   2.8163004e-20
       4.1210305   3.3191241e-20
       4.2806624   3.9115163e-20
       4.4464778   4.6091711e-20
       4.6187162   5.4304137e-20
       4.7976264   6.3966102e-20
       4.9834669   7.5325881e-20
       5.1765061   8.8671356e-20
       5.3770228   1.0433504e-19
       5.5853067   1.2269977e-19
       5.8016587   1.4420393e-19
       6.0263913   1.6934678e-19
       6.2598291   1.9869362e-19
       6.5023094   2.3288006e-19
       6.7541823   2.7261310e-19
       7.0158118   3.1867277e-19
       7.2875757   3.7190747e-19
       7.5698666   4.3322924e-19
       7.8630924   5.0359478e-19
       8.1676765   5.8399645e-19
       8.4840590   6.7542648e-19
       8.8126968   7.7884954e-19
       9.1540647   8.9516138e-19
       9.5086558   1.0251343e-18
       9.8769823   1.1693787e-18
       10.259576   1.3282894e-18
       10.656990   1.5019775e-18
       11.069799   1.6902676e-18
       11.498598   1.8926372e-18
       11.944006   2.1082668e-18
       12.406668   2.3359866e-18
       12.887252   2.5744453e-18
       13.386452   2.8220693e-18
       13.904988   3.0772293e-18
       14.443611   3.3383545e-18
       15.003097   3.6039024e-18
       15.584256   3.8724437e-18
       16.187927   4.1426194e-18
       16.814981   4.4128699e-18
       17.466325   4.6813135e-18
       18.142899   4.9453960e-18
       18.845681   5.2016619e-18
       19.575685   5.4455372e-18
       20.333968   5.6713808e-18
       21.121623   5.8724652e-18
       21.939788   6.0414462e-18
       22.789646   6.1708530e-18
       23.672424   6.2535749e-18
       24.589397   6.2833606e-18
       25.541890   6.2552717e-18
       26.531278   6.1658419e-18
       27.558992   6.0134536e-18
       28.626515   5.7987794e-18
       29.735389   5.5252302e-18
       30.887217   5.1992796e-18
       32.083662   4.8302854e-18
       33.326452   4.4297774e-18
       34.617383   4.0104304e-18
       35.958319   3.5849558e-18
       37.351197   3.1650568e-18
       38.798030   2.7607906e-18
       40.300908   2.3801208e-18
       41.862000   2.0287879e-18
       43.483563   1.7104107e-18
       45.167939   1.4267490e-18
       46.917561   1.1780267e-18
       48.734956   9.6327680e-19
       50.622749   7.8063192e-19
       52.583668   6.2757662e-19
       54.620545   5.0113456e-19
       56.736322   3.9802512e-19
       58.934055   3.1482864e-19
       61.216920   2.4818536e-19
       63.588214   1.9500830e-19
       66.051362   1.5265239e-19
       68.609922   1.1898301e-19
       71.267591   9.2329792e-20
       74.028206   7.1371450e-20
       76.895757   5.5016725e-20
       79.874385   4.2332837e-20
       82.968393   3.2524977e-20
       86.182250   2.4940122e-20
       89.520598   1.9066641e-20
       92.988261   1.4518157e-20
       96.590247   1.1005357e-20
       100.33176   8.3067081e-21
       104.21820   6.2464400e-21
       108.25519   4.6821928e-21
       112.44855   3.4993652e-21
       116.80435   2.6077077e-21
       121.32888   1.9375574e-21
       126.02866   1.4355552e-21
       130.91050   1.0607447e-21
       135.98144   7.8165370e-22
       141.24880   5.7426808e-22
       146.72021   4.2047888e-22
       152.40355   3.0674378e-22
       158.30704   2.2292881e-22
       164.43921   1.6140218e-22
       170.80891   1.1639800e-22
       177.42535   8.3582374e-23
       184.29809   5.9730167e-23
       191.43704   4.2460559e-23
       198.85253   3.0016915e-23
       206.55527   2.1098388e-23
       214.55638   1.4740265e-23
       222.86742   1.0230782e-23
       231.50039   7.0496134e-24
       240.46777   4.8193062e-24
       249.78251   3.2668321e-24
       259.45807   2.1947195e-24
       269.50841   1.4605013e-24
       279.94807   9.6202291e-25
       290.79211   6.2669213e-25
       302.05621   4.0337452e-25
       313.75664   2.5630315e-25
       325.91029   1.6062347e-25
       338.53473   9.9198097e-26
       351.64818   6.0317155e-26
       365.26960   3.6073140e-26
       379.41865   2.1194155e-26
       394.11578   1.2215804e-26
       409.38222   6.8963755e-27
       425.24002   3.8073506e-27
       441.71208   2.0523788e-27
       458.82220   1.0782779e-27
       476.59510   5.5077110e-28
       495.05645   2.7259316e-28
       514.23292   1.3020155e-28
       534.15220   5.9754070e-29
       554.84308   2.6246857e-29
       576.33544   1.0981272e-29
       598.66032   4.3520758e-30
       621.84998   1.6225343e-30
       645.93791   5.5973868e-31
       670.95891   1.8048804e-31
       696.94912   5.3267149e-32
       723.94609   1.4244715e-32
       751.98880   3.4087576e-33
       781.11778       0.0000000
       811.37510       0.0000000
       842.80446       0.0000000
       875.45127       0.0000000
       909.36268       0.0000000
       944.58768       0.0000000
       981.17715       0.0000000
