;============================ SPDUST.2 ===============================
;
;    Rotational emission from a population of spinning dust grains,
;    as described by Ali-Haimoud, Hirata & Dickinson, 2009, MNRAS, 395, 1055
;    and in Silsbee, Ali-Haimoud & Hirata, 2010
;    for an environment with parameters given below. 
;
;    nH = 0.400000 cm^-3
;    T = 6000.0000 K
;    Chi = 1.0000000
;    xh = 0.10000000
;    xC = 0.00030000000
;    mu(1E-7 cm) = 9.1909739 debye (this corresponds to beta = 0.38000000 debye)
;
;Diklike grains are assumed to be randomly 
;
;=====================================================================
;
;nu(GHz)       j_nu/nH(Jy sr-1 cm2/H)     
;
      0.50959197   1.4065553e-23
      0.52933149   1.5576395e-23
      0.54983563   1.7244734e-23
      0.57113402   1.9095786e-23
      0.59325742   2.1159291e-23
      0.61623779   2.3469778e-23
      0.64010833   2.6067257e-23
      0.66490352   2.8997959e-23
      0.69065916   3.2315327e-23
      0.71741248   3.6081114e-23
      0.74520212   4.0366945e-23
      0.77406820   4.5256424e-23
      0.80405245   5.0847227e-23
      0.83519816   5.7253677e-23
      0.86755033   6.4609593e-23
      0.90115569   7.3072153e-23
      0.93606278   8.2826153e-23
      0.97232204   9.4088811e-23
       1.0099858   1.0711511e-22
       1.0491086   1.2220526e-22
       1.0897467   1.3971270e-22
       1.1319591   1.6005401e-22
       1.1758066   1.8371905e-22
       1.2213525   2.1128555e-22
       1.2686627   2.4343448e-22
       1.3178055   2.8096857e-22
       1.3688519   3.2483458e-22
       1.4218757   3.7614938e-22
       1.4769534   4.3622953e-22
       1.5341645   5.0662928e-22
       1.5935918   5.8918234e-22
       1.6553210   6.8605275e-22
       1.7194414   7.9979378e-22
       1.7860455   9.3341941e-22
       1.8552297   1.0904885e-21
       1.9270937   1.2752009e-21
       2.0017414   1.4925141e-21
       2.0792807   1.7482837e-21
       2.1598236   2.0494214e-21
       2.2434863   2.4040871e-21
       2.3303898   2.8219177e-21
       2.4206596   3.3142863e-21
       2.5144261   3.8946227e-21
       2.6118247   4.5787860e-21
       2.7129962   5.3854836e-21
       2.8180866   6.3367983e-21
       2.9272477   7.4587966e-21
       3.0406374   8.7822189e-21
       3.1584193   1.0343327e-20
       3.2807635   1.2184868e-20
       3.4078469   1.4357220e-20
       3.5398530   1.6919719e-20
       3.6769725   1.9942222e-20
       3.8194034   2.3506895e-20
       3.9673515   2.7710307e-20
       4.1210305   3.2665816e-20
       4.2806624   3.8506335e-20
       4.4464778   4.5387495e-20
       4.6187162   5.3491162e-20
       4.7976264   6.3029495e-20
       4.9834669   7.4249325e-20
       5.1765061   8.7437190e-20
       5.3770228   1.0292427e-19
       5.5853067   1.2109242e-19
       5.8016587   1.4237952e-19
       6.0263913   1.6728532e-19
       6.2598291   1.9637656e-19
       6.5023094   2.3029112e-19
       6.7541823   2.6974164e-19
       7.0158118   3.1551606e-19
       7.2875757   3.6847427e-19
       7.5698666   4.2954281e-19
       7.8630924   4.9970404e-19
       8.1676765   5.7997524e-19
       8.4840590   6.7138415e-19
       8.8126968   7.7494404e-19
       9.1540647   8.9159917e-19
       9.5086558   1.0221909e-18
       9.8769823   1.1673912e-18
       10.259576   1.3276703e-18
       10.656990   1.5032209e-18
       11.069799   1.6939360e-18
       11.498598   1.8993654e-18
       11.944006   2.1187208e-18
       12.406668   2.3508942e-18
       12.887252   2.5944960e-18
       13.386452   2.8479599e-18
       13.904988   3.1095768e-18
       14.443611   3.3776896e-18
       15.003097   3.6506743e-18
       15.584256   3.9269876e-18
       16.187927   4.2052145e-18
       16.814981   4.4837436e-18
       17.466325   4.7607155e-18
       18.142899   5.0336651e-18
       18.845681   5.2992086e-18
       19.575685   5.5528983e-18
       20.333968   5.7891403e-18
       21.121623   6.0012441e-18
       21.939788   6.1817265e-18
       22.789646   6.3228662e-18
       23.672424   6.4172153e-18
       24.589397   6.4581837e-18
       25.541890   6.4404775e-18
       26.531278   6.3602913e-18
       27.558992   6.2156539e-18
       28.626515   6.0068339e-18
       29.735389   5.7368082e-18
       30.887217   5.4116128e-18
       32.083662   5.0402939e-18
       33.326452   4.6343137e-18
       34.617383   4.2065341e-18
       35.958319   3.7700070e-18
       37.351197   3.3369953e-18
       38.798030   2.9181637e-18
       40.300908   2.5221018e-18
       41.862000   2.1551185e-18
       43.483563   1.8213269e-18
       45.167939   1.5228828e-18
       46.917561   1.2603152e-18
       48.734956   1.0328541e-18
       50.622749   8.3875935e-19
       52.583668   6.7558193e-19
       54.620545   5.4035991e-19
       56.736322   4.2978291e-19
       58.934055   3.4035841e-19
       61.216920   2.6861003e-19
       63.588214   2.1129921e-19
       66.051362   1.6561287e-19
       68.609922   1.2925709e-19
       71.267591   1.0043195e-19
       74.028206   7.7720946e-20
       76.895757   5.9963918e-20
       79.874385   4.6172160e-20
       82.968393   3.5499226e-20
       86.182250   2.7243117e-20
       89.520598   2.0848580e-20
       92.988261   1.5893695e-20
       96.590247   1.2062684e-20
       100.33176   9.1151349e-21
       104.21820   6.8613844e-21
       108.25519   5.1480273e-21
       112.44855   3.8511310e-21
       116.80435   2.8725966e-21
       121.32888   2.1364505e-21
       126.02866   1.5844434e-21
       130.91050   1.1718902e-21
       135.98144   8.6443281e-22
       141.24880   6.3579085e-22
       146.72021   4.6609330e-22
       152.40355   3.4046080e-22
       158.30704   2.4776495e-22
       164.43921   1.7963335e-22
       170.80891   1.2973782e-22
       177.42535   9.3312304e-23
       184.29809   6.6801859e-23
       191.43704   4.7578254e-23
       198.85253   3.3702536e-23
       206.55527   2.3739216e-23
       214.55638   1.6622918e-23
       222.86742   1.1566002e-23
       231.50039   7.9911694e-24
       240.46777   5.4788819e-24
       249.78251   3.7254537e-24
       259.45807   2.5110891e-24
       269.50841   1.6769308e-24
       279.94807   1.1087785e-24
       290.79211   7.2524932e-25
       302.05621   4.6886473e-25
       313.75664   2.9931924e-25
       325.91029   1.8852347e-25
       338.53473   1.1704860e-25
       351.64818   7.1573270e-26
       365.26960   4.3062307e-26
       379.41865   2.5463092e-26
       394.11578   1.4777614e-26
       409.38222   8.4046055e-27
       425.24002   4.6772092e-27
       441.71208   2.5429200e-27
       458.82220   1.3484118e-27
       476.59510   6.9576284e-28
       495.05645   3.4825074e-28
       514.23292   1.6843735e-28
       534.15220   7.8378594e-29
       554.84308   3.4958473e-29
       576.33544   1.4875392e-29
       598.66032   6.0068214e-30
       621.84998   2.2867175e-30
       645.93791   8.1414712e-31
       670.95891   2.6684215e-31
       696.94912   8.1055450e-32
       723.94609   2.2375092e-32
       751.98880   5.5496552e-33
       781.11778       0.0000000
       811.37510       0.0000000
       842.80446       0.0000000
       875.45127       0.0000000
       909.36268       0.0000000
       944.58768       0.0000000
       981.17715       0.0000000
