;============================ SPDUST.2 ===============================
;
;    Rotational emission from a population of spinning dust grains,
;    as described by Ali-Haimoud, Hirata & Dickinson, 2009, MNRAS, 395, 1055
;    and in Silsbee, Ali-Haimoud & Hirata, 2010
;    for an environment with parameters given below. 
;
;    nH = 10000.000 cm^-3
;    T = 10.000000 K
;    Chi = 0.00010000000
;    xh = 0.0000000
;    xC = 1.0000000e-06
;    mu(1E-7 cm) = 9.1909739 debye (this corresponds to beta = 0.38000000 debye)
;
;Diklike grains are assumed to be randomly 
;
;=====================================================================
;
;nu(GHz)       j_nu/nH(Jy sr-1 cm2/H)     
;
      0.50959197   1.2890877e-23
      0.52933149   1.5029942e-23
      0.54983563   1.7544372e-23
      0.57113402   2.0500521e-23
      0.59325742   2.3976338e-23
      0.61623779   2.8063283e-23
      0.64010833   3.2868668e-23
      0.66490352   3.8518311e-23
      0.69065916   4.5159670e-23
      0.71741248   5.2965412e-23
      0.74520212   6.2137603e-23
      0.77406820   7.2912654e-23
      0.80405245   8.5566888e-23
      0.83519816   1.0042316e-22
      0.86755033   1.1785833e-22
      0.90115569   1.3831207e-22
      0.93606278   1.6229690e-22
      0.97232204   1.9041014e-22
       1.0099858   2.2334715e-22
       1.0491086   2.6191668e-22
       1.0897467   3.0705889e-22
       1.1319591   3.5986606e-22
       1.1758066   4.2160607e-22
       1.2213525   4.9374962e-22
       1.2686627   5.7800039e-22
       1.3178055   6.7633092e-22
       1.3688519   7.9102401e-22
       1.4218757   9.2471890e-22
       1.4769534   1.0804635e-21
       1.5341645   1.2617722e-21
       1.5935918   1.4726986e-21
       1.6553210   1.7179086e-21
       1.7194414   2.0027766e-21
       1.7860455   2.3334711e-21
       1.8552297   2.7170764e-21
       1.9270937   3.1617106e-21
       2.0017414   3.6766789e-21
       2.0792807   4.2726233e-21
       2.1598236   4.9616987e-21
       2.2434863   5.7577564e-21
       2.3303898   6.6765775e-21
       2.4206596   7.7361043e-21
       2.5144261   8.9567101e-21
       2.6118247   1.0361458e-20
       2.7129962   1.1976401e-20
       2.8180866   1.3830909e-20
       2.9272477   1.5958046e-20
       3.0406374   1.8394885e-20
       3.1584193   2.1182912e-20
       3.2807635   2.4368231e-20
       3.4078469   2.8002108e-20
       3.5398530   3.2141145e-20
       3.6769725   3.6847768e-20
       3.8194034   4.2190137e-20
       3.9673515   4.8242420e-20
       4.1210305   5.5084717e-20
       4.2806624   6.2803220e-20
       4.4464778   7.1489717e-20
       4.6187162   8.1241117e-20
       4.7976264   9.2158699e-20
       4.9834669   1.0434761e-19
       5.1765061   1.1791580e-19
       5.3770228   1.3297296e-19
       5.5853067   1.4962904e-19
       5.8016587   1.6799334e-19
       6.0263913   1.8817400e-19
       6.2598291   2.1027732e-19
       6.5023094   2.3440746e-19
       6.7541823   2.6066698e-19
       7.0158118   2.8915889e-19
       7.2875757   3.1999026e-19
       7.5698666   3.5327524e-19
       7.8630924   3.8914030e-19
       8.1676765   4.2772924e-19
       8.4840590   4.6921464e-19
       8.8126968   5.1380294e-19
       9.1540647   5.6174367e-19
       9.5086558   6.1333362e-19
       9.8769823   6.6892652e-19
       10.259576   7.2893538e-19
       10.656990   7.9382982e-19
       11.069799   8.6412746e-19
       11.498598   9.4038186e-19
       11.944006   1.0231660e-18
       12.406668   1.1130483e-18
       12.887252   1.2105527e-18
       13.386452   1.3161322e-18
       13.904988   1.4301312e-18
       14.443611   1.5527545e-18
       15.003097   1.6840377e-18
       15.584256   1.8238231e-18
       16.187927   1.9717515e-18
       16.814981   2.1272559e-18
       17.466325   2.2895462e-18
       18.142899   2.4576166e-18
       18.845681   2.6302328e-18
       19.575685   2.8059331e-18
       20.333968   2.9830181e-18
       21.121623   3.1595396e-18
       21.939788   3.3332947e-18
       22.789646   3.5018413e-18
       23.672424   3.6624627e-18
       24.589397   3.8122210e-18
       25.541890   3.9479707e-18
       26.531278   4.0663939e-18
       27.558992   4.1640557e-18
       28.626515   4.2374667e-18
       29.735389   4.2831637e-18
       30.887217   4.2978293e-18
       32.083662   4.2784413e-18
       33.326452   4.2224602e-18
       34.617383   4.1280380e-18
       35.958319   3.9942688e-18
       37.351197   3.8214337e-18
       38.798030   3.6112310e-18
       40.300908   3.3669540e-18
       41.862000   3.0935611e-18
       43.483563   2.7976196e-18
       45.167939   2.4870878e-18
       46.917561   2.1708921e-18
       48.734956   1.8583485e-18
       50.622749   1.5584847e-18
       52.583668   1.2793178e-18
       54.620545   1.0272123e-18
       56.736322   8.0642463e-19
       58.934055   6.1890607e-19
       61.216920   4.6440269e-19
       63.588214   3.4080979e-19
       66.051362   2.4471082e-19
       68.609922   1.7197139e-19
       71.267591   1.1828381e-19
       74.028206   7.9591906e-20
       76.895757   5.2334555e-20
       79.874385   3.3565193e-20
       82.968393   2.0945278e-20
       86.182250   1.2678280e-20
       89.520598   7.4177732e-21
       92.988261   4.1811395e-21
       96.590247   2.2616366e-21
       100.33176   1.1696451e-21
       104.21820   5.7622118e-22
       108.25519   2.6941587e-22
       112.44855   1.1863548e-22
       116.80435   4.9458964e-23
       121.32888   1.9332913e-23
       126.02866   7.0552430e-24
       130.91050   2.3929341e-24
       135.98144       0.0000000
       141.24880       0.0000000
       146.72021       0.0000000
       152.40355       0.0000000
       158.30704       0.0000000
       164.43921       0.0000000
       170.80891       0.0000000
       177.42535       0.0000000
       184.29809       0.0000000
       191.43704       0.0000000
       198.85253       0.0000000
       206.55527       0.0000000
       214.55638       0.0000000
       222.86742       0.0000000
       231.50039       0.0000000
       240.46777       0.0000000
       249.78251       0.0000000
       259.45807       0.0000000
       269.50841       0.0000000
       279.94807       0.0000000
       290.79211       0.0000000
       302.05621       0.0000000
       313.75664       0.0000000
       325.91029       0.0000000
       338.53473       0.0000000
       351.64818       0.0000000
       365.26960       0.0000000
       379.41865       0.0000000
       394.11578       0.0000000
       409.38222       0.0000000
       425.24002       0.0000000
       441.71208       0.0000000
       458.82220       0.0000000
       476.59510       0.0000000
       495.05645       0.0000000
       514.23292       0.0000000
       534.15220       0.0000000
       554.84308       0.0000000
       576.33544       0.0000000
       598.66032       0.0000000
       621.84998       0.0000000
       645.93791       0.0000000
       670.95891       0.0000000
       696.94912       0.0000000
       723.94609       0.0000000
       751.98880       0.0000000
       781.11778       0.0000000
       811.37510       0.0000000
       842.80446       0.0000000
       875.45127       0.0000000
       909.36268       0.0000000
       944.58768       0.0000000
       981.17715       0.0000000
