;============================ SPDUST.2 ===============================
;
;    Rotational emission from a population of spinning dust grains,
;    as described by Ali-Haimoud, Hirata & Dickinson, 2009, MNRAS, 395, 1055
;    and in Silsbee, Ali-Haimoud & Hirata, 2010
;    for an environment with parameters given below. 
;
;    nH = 0.100000 cm^-3
;    T = 8000.0000 K
;    Chi = 1.0000000
;    xh = 0.990000
;    xC = 0.0010000000
;    mu(1E-7 cm) = 9.1909739 debye (this corresponds to beta = 0.38000000 debye)
;
;Diklike grains are assumed to be randomly 
;
;=====================================================================
;
;nu(GHz)       j_nu/nH(Jy sr-1 cm2/H)     
;
      0.50959197   1.1603125e-23
      0.52933149   1.2847011e-23
      0.54983563   1.4240359e-23
      0.57113402   1.5805642e-23
      0.59325742   1.7568714e-23
      0.61623779   1.9559435e-23
      0.64010833   2.1812363e-23
      0.66490352   2.4367626e-23
      0.69065916   2.7271892e-23
      0.71741248   3.0579555e-23
      0.74520212   3.4354072e-23
      0.77406820   3.8669590e-23
      0.80405245   4.3612785e-23
      0.83519816   4.9285159e-23
      0.86755033   5.5805562e-23
      0.90115569   6.3313362e-23
      0.93606278   7.1972062e-23
      0.97232204   8.1973627e-23
       1.0099858   9.3543555e-23
       1.0491086   1.0694688e-22
       1.0897467   1.2249516e-22
       1.1319591   1.4055491e-22
       1.1758066   1.6155731e-22
       1.2213525   1.8600977e-22
       1.2686627   2.1450959e-22
       1.3178055   2.4776007e-22
       1.3688519   2.8658905e-22
       1.4218757   3.3197175e-22
       1.4769534   3.8505678e-22
       1.5341645   4.4719735e-22
       1.5935918   5.1998794e-22
       1.6553210   6.0530805e-22
       1.7194414   7.0537283e-22
       1.7860455   8.2279419e-22
       1.8552297   9.6065266e-22
       1.9270937   1.1225808e-21
       2.0017414   1.3128632e-21
       2.0792807   1.5365549e-21
       2.1598236   1.7996202e-21
       2.2434863   2.1090934e-21
       2.3303898   2.4732770e-21
       2.4206596   2.9019672e-21
       2.5144261   3.4067229e-21
       2.6118247   4.0011833e-21
       2.7129962   4.7014420e-21
       2.8180866   5.5264836e-21
       2.9272477   6.4987128e-21
       3.0406374   7.6445607e-21
       3.1584193   8.9951968e-21
       3.2807635   1.0587382e-20
       3.4078469   1.2464462e-20
       3.5398530   1.4677530e-20
       3.6769725   1.7286794e-20
       3.8194034   2.0363152e-20
       3.9673515   2.3990056e-20
       4.1210305   2.8265679e-20
       4.2806624   3.3305425e-20
       4.4464778   3.9244766e-20
       4.6187162   4.6242598e-20
       4.7976264   5.4485081e-20
       4.9834669   6.4189975e-20
       5.1765061   7.5611380e-20
       5.3770228   8.9045434e-20
       5.5853067   1.0483615e-19
       5.8016587   1.2338246e-19
       6.0263913   1.4514508e-19
       6.2598291   1.7065410e-19
       6.5023094   2.0051657e-19
       6.7541823   2.3542429e-19
       7.0158118   2.7616070e-19
       7.2875757   3.2360695e-19
       7.5698666   3.7874443e-19
       7.8630924   4.4265777e-19
       8.1676765   5.1652705e-19
       8.4840590   6.0162467e-19
       8.8126968   6.9929355e-19
       9.1540647   8.1092355e-19
       9.5086558   9.3791979e-19
       9.8769823   1.0816586e-18
       10.259576   1.2434322e-18
       10.656990   1.4243797e-18
       11.069799   1.6254281e-18
       11.498598   1.8472198e-18
       11.944006   2.0900325e-18
       12.406668   2.3537511e-18
       12.887252   2.6377979e-18
       13.386452   2.9411418e-18
       13.904988   3.2623265e-18
       14.443611   3.5995271e-18
       15.003097   3.9506391e-18
       15.584256   4.3134417e-18
       16.187927   4.6857156e-18
       16.814981   5.0654043e-18
       17.466325   5.4505754e-18
       18.142899   5.8395292e-18
       18.845681   6.2305354e-18
       19.575685   6.6215362e-18
       20.333968   7.0099082e-18
       21.121623   7.3918629e-18
       21.939788   7.7622044e-18
       22.789646   8.1141781e-18
       23.672424   8.4394909e-18
       24.589397   8.7285565e-18
       25.541890   8.9710033e-18
       26.531278   9.1563842e-18
       27.558992   9.2746079e-18
       28.626515   9.3165267e-18
       29.735389   9.2743039e-18
       30.887217   9.1419162e-18
       32.083662   8.9159388e-18
       33.326452   8.5966430e-18
       34.617383   8.1889068e-18
       35.958319   7.7025033e-18
       37.351197   7.1516277e-18
       38.798030   6.5536520e-18
       40.300908   5.9276955e-18
       41.862000   5.2927861e-18
       43.483563   4.6666389e-18
       45.167939   4.0644643e-18
       46.917561   3.4982918e-18
       48.734956   2.9767290e-18
       50.622749   2.5051063e-18
       52.583668   2.0859030e-18
       54.620545   1.7192244e-18
       56.736322   1.4033882e-18
       58.934055   1.1354128e-18
       61.216920   9.1138640e-19
       63.588214   7.2675324e-19
       66.051362   5.7654531e-19
       68.609922   4.5562197e-19
       71.267591   3.5895775e-19
       74.028206   2.8196025e-19
       76.895757   2.2071731e-19
       79.874385   1.7208856e-19
       82.968393   1.3363067e-19
       86.182250   1.0341525e-19
       89.520598   7.9849714e-20
       92.988261   6.1573322e-20
       96.590247   4.7430772e-20
       100.33176   3.6478123e-20
       104.21820   2.7980242e-20
       108.25519   2.1384630e-20
       112.44855   1.6278466e-20
       116.80435   1.2345159e-20
       121.32888   9.3327238e-21
       126.02866   7.0366827e-21
       130.91050   5.2925920e-21
       135.98144   3.9711340e-21
       141.24880   2.9724877e-21
       146.72021   2.2199842e-21
       152.40355   1.6545067e-21
       158.30704   1.2304352e-21
       164.43921   9.1284936e-22
       170.80891   6.7535888e-22
       177.42535   4.9816150e-22
       184.29809   3.6635230e-22
       191.43704   2.6861943e-22
       198.85253   1.9634983e-22
       206.55527   1.4302748e-22
       214.55638   1.0377660e-22
       222.86742   7.4974591e-23
       231.50039   5.3925013e-23
       240.46777   3.8608395e-23
       249.78251   2.7509085e-23
       259.45807   1.9496414e-23
       269.50841   1.3735468e-23
       279.94807   9.6138546e-24
       290.79211   6.6824904e-24
       302.05621   4.6111806e-24
       313.75664   3.1572428e-24
       325.91029   2.1434647e-24
       338.53473   1.4416545e-24
       351.64818   9.5978247e-25
       365.26960   6.3200902e-25
       379.41865   4.1133171e-25
       394.11578   2.6438224e-25
       409.38222   1.6766306e-25
       425.24002   1.0479734e-25
       441.71208   6.4488641e-26
       458.82220   3.9024268e-26
       476.59510   2.3195544e-26
       495.05645   1.3526152e-26
       514.23292   7.7290605e-27
       534.15220   4.3217218e-27
       554.84308   2.3601939e-27
       576.33544   1.2557581e-27
       598.66032   6.4890770e-28
       621.84998   3.2457760e-28
       645.93791   1.5656777e-28
       670.95891   7.2520561e-29
       696.94912   3.2076902e-29
       723.94609   1.3460136e-29
       751.98880   5.3155029e-30
       781.11778   1.9589721e-30
       811.37510   6.6793152e-31
       842.80446   2.0730357e-31
       875.45127   5.8757279e-32
       909.36268   1.4832898e-32
       944.58768   3.2684465e-33
       981.17715       0.0000000
