;============================ SPDUST.2 ===============================
;
;    Rotational emission from a population of spinning dust grains,
;    as described by Ali-Haimoud, Hirata & Dickinson, 2009, MNRAS, 395, 1055
;    and in Silsbee, Ali-Haimoud & Hirata, 2010
;    for an environment with parameters given below. 
;
;    nH = 10000.000 cm^-3
;    T = 10.000000 K
;    Chi = 0.00010000000
;    xh = 0.0000000
;    xC = 1.0000000e-06
;    mu(1E-7 cm) = 9.1909739 debye (this corresponds to beta = 0.38000000 debye)
;
;Diklike grains are assumed to be randomly 
;
;=====================================================================
;
;nu(GHz)       j_nu/nH(Jy sr-1 cm2/H)     
;
      0.50959197   1.2889923e-23
      0.52933149   1.5028764e-23
      0.54983563   1.7542928e-23
      0.57113402   2.0498764e-23
      0.59325742   2.3974214e-23
      0.61623779   2.8060730e-23
      0.64010833   3.2865612e-23
      0.66490352   3.8514671e-23
      0.69065916   4.5155347e-23
      0.71741248   5.2960301e-23
      0.74520212   6.2131574e-23
      0.77406820   7.2905567e-23
      0.80405245   8.5558572e-23
      0.83519816   1.0041344e-22
      0.86755033   1.1784698e-22
      0.90115569   1.3829885e-22
      0.93606278   1.6228153e-22
      0.97232204   1.9039232e-22
       1.0099858   2.2332652e-22
       1.0491086   2.6189284e-22
       1.0897467   3.0703141e-22
       1.1319591   3.5983442e-22
       1.1758066   4.2156969e-22
       1.2213525   4.9370789e-22
       1.2686627   5.7795266e-22
       1.3178055   6.7627638e-22
       1.3688519   7.9096183e-22
       1.4218757   9.2464800e-22
       1.4769534   1.0803829e-21
       1.5341645   1.2616810e-21
       1.5935918   1.4725954e-21
       1.6553210   1.7177919e-21
       1.7194414   2.0026450e-21
       1.7860455   2.3333230e-21
       1.8552297   2.7169104e-21
       1.9270937   3.1615249e-21
       2.0017414   3.6764714e-21
       2.0792807   4.2723920e-21
       2.1598236   4.9614415e-21
       2.2434863   5.7574719e-21
       2.3303898   6.6762639e-21
       2.4206596   7.7357587e-21
       2.5144261   8.9563312e-21
       2.6118247   1.0361043e-20
       2.7129962   1.1975952e-20
       2.8180866   1.3830424e-20
       2.9272477   1.5957525e-20
       3.0406374   1.8394328e-20
       3.1584193   2.1182321e-20
       3.2807635   2.4367614e-20
       3.4078469   2.8001471e-20
       3.5398530   3.2140496e-20
       3.6769725   3.6847113e-20
       3.8194034   4.2189500e-20
       3.9673515   4.8241823e-20
       4.1210305   5.5084192e-20
       4.2806624   6.2802796e-20
       4.4464778   7.1489438e-20
       4.6187162   8.1241047e-20
       4.7976264   9.2158911e-20
       4.9834669   1.0434818e-19
       5.1765061   1.1791684e-19
       5.3770228   1.3297458e-19
       5.5853067   1.4963140e-19
       5.8016587   1.6799658e-19
       6.0263913   1.8817831e-19
       6.2598291   2.1028290e-19
       6.5023094   2.3441455e-19
       6.7541823   2.6067584e-19
       7.0158118   2.8916973e-19
       7.2875757   3.2000338e-19
       7.5698666   3.5329087e-19
       7.8630924   3.8915876e-19
       8.1676765   4.2775080e-19
       8.4840590   4.6923949e-19
       8.8126968   5.1383125e-19
       9.1540647   5.6177567e-19
       9.5086558   6.1336949e-19
       9.8769823   6.6896639e-19
       10.259576   7.2897921e-19
       10.656990   7.9387775e-19
       11.069799   8.6417950e-19
       11.498598   9.4043814e-19
       11.944006   1.0232265e-18
       12.406668   1.1131131e-18
       12.887252   1.2106220e-18
       13.386452   1.3162063e-18
       13.904988   1.4302104e-18
       14.443611   1.5528392e-18
       15.003097   1.6841284e-18
       15.584256   1.8239206e-18
       16.187927   1.9718563e-18
       16.814981   2.1273687e-18
       17.466325   2.2896676e-18
       18.142899   2.4577474e-18
       18.845681   2.6303734e-18
       19.575685   2.8060843e-18
       20.333968   2.9831801e-18
       21.121623   3.1597130e-18
       21.939788   3.3334797e-18
       22.789646   3.5020378e-18
       23.672424   3.6626711e-18
       24.589397   3.8124413e-18
       25.541890   3.9482028e-18
       26.531278   4.0666375e-18
       27.558992   4.1643101e-18
       28.626515   4.2377314e-18
       29.735389   4.2834378e-18
       30.887217   4.2981118e-18
       32.083662   4.2787310e-18
       33.326452   4.2227554e-18
       34.617383   4.1283368e-18
       35.958319   3.9945690e-18
       37.351197   3.8217328e-18
       38.798030   3.6115261e-18
       40.300908   3.3672419e-18
       41.862000   3.0938389e-18
       43.483563   2.7978840e-18
       45.167939   2.4873354e-18
       46.917561   2.1711204e-18
       48.734956   1.8585552e-18
       50.622749   1.5586681e-18
       52.583668   1.2794771e-18
       54.620545   1.0273475e-18
       56.736322   8.0653672e-19
       58.934055   6.1899673e-19
       61.216920   4.6447421e-19
       63.588214   3.4086484e-19
       66.051362   2.4475217e-19
       68.609922   1.7200173e-19
       71.267591   1.1830557e-19
       74.028206   7.9607172e-20
       76.895757   5.2345031e-20
       79.874385   3.3572219e-20
       82.968393   2.0949875e-20
       86.182250   1.2681209e-20
       89.520598   7.4195820e-21
       92.988261   4.1822195e-21
       96.590247   2.2622571e-21
       100.33176   1.1699867e-21
       104.21820   5.7640056e-22
       108.25519   2.6950539e-22
       112.44855   1.1867744e-22
       116.80435   4.9477686e-23
       121.32888   1.9340745e-23
       126.02866   7.0583023e-24
       130.91050   2.3940447e-24
       135.98144       0.0000000
       141.24880       0.0000000
       146.72021       0.0000000
       152.40355       0.0000000
       158.30704       0.0000000
       164.43921       0.0000000
       170.80891       0.0000000
       177.42535       0.0000000
       184.29809       0.0000000
       191.43704       0.0000000
       198.85253       0.0000000
       206.55527       0.0000000
       214.55638       0.0000000
       222.86742       0.0000000
       231.50039       0.0000000
       240.46777       0.0000000
       249.78251       0.0000000
       259.45807       0.0000000
       269.50841       0.0000000
       279.94807       0.0000000
       290.79211       0.0000000
       302.05621       0.0000000
       313.75664       0.0000000
       325.91029       0.0000000
       338.53473       0.0000000
       351.64818       0.0000000
       365.26960       0.0000000
       379.41865       0.0000000
       394.11578       0.0000000
       409.38222       0.0000000
       425.24002       0.0000000
       441.71208       0.0000000
       458.82220       0.0000000
       476.59510       0.0000000
       495.05645       0.0000000
       514.23292       0.0000000
       534.15220       0.0000000
       554.84308       0.0000000
       576.33544       0.0000000
       598.66032       0.0000000
       621.84998       0.0000000
       645.93791       0.0000000
       670.95891       0.0000000
       696.94912       0.0000000
       723.94609       0.0000000
       751.98880       0.0000000
       781.11778       0.0000000
       811.37510       0.0000000
       842.80446       0.0000000
       875.45127       0.0000000
       909.36268       0.0000000
       944.58768       0.0000000
       981.17715       0.0000000
