;============================ SPDUST.2 ===============================
;
;    Rotational emission from a population of spinning dust grains,
;    as described by Ali-Haimoud, Hirata & Dickinson, 2009, MNRAS, 395, 1055
;    and in Silsbee, Ali-Haimoud & Hirata, 2010
;    for an environment with parameters given below. 
;
;    nH = 0.100000 cm^-3
;    T = 8000.0000 K
;    Chi = 1.0000000
;    xh = 0.990000
;    xC = 0.0010000000
;    mu(1E-7 cm) = 9.1909739 debye (this corresponds to beta = 0.38000000 debye)
;
;Diklike grains are assumed to be randomly 
;
;=====================================================================
;
;nu(GHz)       j_nu/nH(Jy sr-1 cm2/H)     
;
      0.50959197   1.1764941e-23
      0.52933149   1.3021441e-23
      0.54983563   1.4427069e-23
      0.57113402   1.6004345e-23
      0.59325742   1.7779154e-23
      0.61623779   1.9781329e-23
      0.64010833   2.2045362e-23
      0.66490352   2.4611263e-23
      0.69065916   2.7525523e-23
      0.71741248   3.0842301e-23
      0.74520212   3.4624749e-23
      0.77406820   3.8946640e-23
      0.80405245   4.3894200e-23
      0.83519816   4.9568351e-23
      0.86755033   5.6087279e-23
      0.90115569   6.3589529e-23
      0.93606278   7.2237616e-23
      0.97232204   8.2222297e-23
       1.0099858   9.3767604e-23
       1.0491086   1.0713686e-22
       1.0897467   1.2263963e-22
       1.1319591   1.4064001e-22
       1.1758066   1.6156634e-22
       1.2213525   1.8592273e-22
       1.2686627   2.1430258e-22
       1.3178055   2.4740462e-22
       1.3688519   2.8605158e-22
       1.4218757   3.3121235e-22
       1.4769534   3.8402843e-22
       1.5341645   4.4584470e-22
       1.5935918   5.1824593e-22
       1.6553210   6.0310026e-22
       1.7194414   7.0260965e-22
       1.7860455   8.1937052e-22
       1.8552297   9.5644520e-22
       1.9270937   1.1174454e-21
       2.0017414   1.3066321e-21
       2.0792807   1.5290318e-21
       2.1598236   1.7905760e-21
       2.2434863   2.0982622e-21
       2.3303898   2.4603482e-21
       2.4206596   2.8865821e-21
       2.5144261   3.3884671e-21
       2.6118247   3.9795717e-21
       2.7129962   4.6759160e-21
       2.8180866   5.4964041e-21
       2.9272477   6.4633354e-21
       3.0406374   7.6030248e-21
       3.1584193   8.9465192e-21
       3.2807635   1.0530432e-20
       3.4078469   1.2397947e-20
       3.5398530   1.4599964e-20
       3.6769725   1.7196460e-20
       3.8194034   2.0258106e-20
       3.9673515   2.3868104e-20
       4.1210305   2.8124311e-20
       4.2806624   3.3141765e-20
       4.4464778   3.9055613e-20
       4.6187162   4.6024390e-20
       4.7976264   5.4233757e-20
       4.9834669   6.3900991e-20
       5.1765061   7.5279736e-20
       5.3770228   8.8665736e-20
       5.5853067   1.0440262e-19
       5.8016587   1.2288871e-19
       6.0263913   1.4458438e-19
       6.2598291   1.7001963e-19
       6.5023094   1.9980146e-19
       6.7541823   2.3462207e-19
       7.0158118   2.7526592e-19
       7.2875757   3.2261542e-19
       7.5698666   3.7765419e-19
       7.8630924   4.4147090e-19
       8.1676765   5.1525002e-19
       8.4840590   6.0026962e-19
       8.8126968   6.9788408e-19
       9.1540647   8.0949329e-19
       9.5086558   9.3651794e-19
       9.8769823   1.0803516e-18
       10.259576   1.2423077e-18
       10.656990   1.4235496e-18
       11.069799   1.6250318e-18
       11.498598   1.8474309e-18
       11.944006   2.0910397e-18
       12.406668   2.3558001e-18
       12.887252   2.6411235e-18
       13.386452   2.9460264e-18
       13.904988   3.2690598e-18
       14.443611   3.6083814e-18
       15.003097   3.9618940e-18
       15.584256   4.3273686e-18
       16.187927   4.7025378e-18
       16.814981   5.0852788e-18
       17.466325   5.4736525e-18
       18.142899   5.8659141e-18
       18.845681   6.2602363e-18
       19.575685   6.6546901e-18
       20.333968   7.0465292e-18
       21.121623   7.4320439e-18
       21.939788   7.8061056e-18
       22.789646   8.1619586e-18
       23.672424   8.4913013e-18
       24.589397   8.7845084e-18
       25.541890   9.0311812e-18
       26.531278   9.2207358e-18
       27.558992   9.3430193e-18
       28.626515   9.3888219e-18
       29.735389   9.3501370e-18
       30.887217   9.2208361e-18
       32.083662   8.9973809e-18
       33.326452   8.6798955e-18
       34.617383   8.2730572e-18
       35.958319   7.7864412e-18
       37.351197   7.2341934e-18
       38.798030   6.6336624e-18
       40.300908   6.0039821e-18
       41.862000   5.3644231e-18
       43.483563   4.7329085e-18
       45.167939   4.1248785e-18
       46.917561   3.5525952e-18
       48.734956   3.0249058e-18
       50.622749   2.5472913e-18
       52.583668   2.1223510e-18
       54.620545   1.7503181e-18
       56.736322   1.4295962e-18
       58.934055   1.1572458e-18
       61.216920   9.2937196e-19
       63.588214   7.4141991e-19
       66.051362   5.8840073e-19
       68.609922   4.6513886e-19
       71.267591   3.6656356e-19
       74.028206   2.8802217e-19
       76.895757   2.2553610e-19
       79.874385   1.7590545e-19
       82.968393   1.3663877e-19
       86.182250   1.0577205e-19
       89.520598   8.1686128e-20
       92.988261   6.2999403e-20
       96.590247   4.8536943e-20
       100.33176   3.7336112e-20
       104.21820   2.8645306e-20
       108.25519   2.1898921e-20
       112.44855   1.6674589e-20
       116.80435   1.2648751e-20
       121.32888   9.5643150e-21
       126.02866   7.2127414e-21
       130.91050   5.4260882e-21
       135.98144   4.0721194e-21
       141.24880   3.0486874e-21
       146.72021   2.2773384e-21
       152.40355   1.6975804e-21
       158.30704   1.2627265e-21
       164.43921   9.3701891e-22
       170.80891   6.9341342e-22
       177.42535   5.1161295e-22
       184.29809   3.7634488e-22
       191.43704   2.7602264e-22
       198.85253   2.0182192e-22
       206.55527   1.4706238e-22
       214.55638   1.0674316e-22
       222.86742   7.7147782e-23
       231.50039   5.5510571e-23
       240.46777   3.9760537e-23
       249.78251   2.8343134e-23
       259.45807   2.0097835e-23
       269.50841   1.4167112e-23
       279.94807   9.9219429e-24
       290.79211   6.9010483e-24
       302.05621   4.7652333e-24
       313.75664   3.2651092e-24
       325.91029   2.2184696e-24
       338.53473   1.4934121e-24
       351.64818   9.9517908e-25
       365.26960   6.5597084e-25
       379.41865   4.2738086e-25
       394.11578   2.7501074e-25
       409.38222   1.7461650e-25
       425.24002   1.0928709e-25
       441.71208   6.7347145e-26
       458.82220   4.0815718e-26
       476.59510   2.4298726e-26
       495.05645   1.4193246e-26
       514.23292   8.1247134e-27
       534.15220   4.5516280e-27
       554.84308   2.4909273e-27
       576.33544   1.3284237e-27
       598.66032   6.8824774e-28
       621.84998   3.4523496e-28
       645.93791   1.6705502e-28
       670.95891   7.7648784e-29
       696.94912   3.4480008e-29
       723.94609   1.4532949e-29
       751.98880   5.7686630e-30
       781.11778   2.1382388e-30
       811.37510   7.3367383e-31
       842.80446   2.2922396e-31
       875.45127   6.5487934e-32
       909.36268   1.6681993e-32
       944.58768   3.7142948e-33
       981.17715       0.0000000
