;============================ SPDUST.2 ===============================
;
;    Rotational emission from a population of spinning dust grains,
;    as described by Ali-Haimoud, Hirata & Dickinson, 2009, MNRAS, 395, 1055
;    and in Silsbee, Ali-Haimoud & Hirata, 2010
;    for an environment with parameters given below. 
;
;    nH = 10000.000 cm^-3
;    T = 10.000000 K
;    Chi = 0.00010000000
;    xh = 0.0000000
;    xC = 1.0000000e-06
;    mu(1E-7 cm) = 9.1909739 debye (this corresponds to beta = 0.38000000 debye)
;
;Diklike grains are assumed to be randomly 
;
;=====================================================================
;
;nu(GHz)       j_nu/nH(Jy sr-1 cm2/H)     
;
      0.50959197   1.2877047e-23
      0.52933149   1.5012843e-23
      0.54983563   1.7523410e-23
      0.57113402   2.0475019e-23
      0.59325742   2.3945498e-23
      0.61623779   2.8026208e-23
      0.64010833   3.2824311e-23
      0.66490352   3.8465458e-23
      0.69065916   4.5096917e-23
      0.71741248   5.2891158e-23
      0.74520212   6.2050063e-23
      0.77406820   7.2809691e-23
      0.80405245   8.5446136e-23
      0.83519816   1.0028183e-22
      0.86755033   1.1769337e-22
      0.90115569   1.3811993e-22
      0.93606278   1.6207367e-22
      0.97232204   1.9015112e-22
       1.0099858   2.2304722e-22
       1.0491086   2.6157013e-22
       1.0897467   3.0665941e-22
       1.1319591   3.5940622e-22
       1.1758066   4.2107767e-22
       1.2213525   4.9314314e-22
       1.2686627   5.7730625e-22
       1.3178055   6.7553812e-22
       1.3688519   7.9012003e-22
       1.4218757   9.2368896e-22
       1.4769534   1.0792923e-21
       1.5341645   1.2604447e-21
       1.5935918   1.4711967e-21
       1.6553210   1.7162131e-21
       1.7194414   2.0008624e-21
       1.7860455   2.3313170e-21
       1.8552297   2.7146602e-21
       1.9270937   3.1590082e-21
       2.0017414   3.6736617e-21
       2.0792807   4.2692570e-21
       2.1598236   4.9579558e-21
       2.2434863   5.7536140e-21
       2.3303898   6.6720109e-21
       2.4206596   7.7310805e-21
       2.5144261   8.9511954e-21
       2.6118247   1.0355427e-20
       2.7129962   1.1969858e-20
       2.8180866   1.3823848e-20
       2.9272477   1.5950467e-20
       3.0406374   1.8386780e-20
       3.1584193   2.1174308e-20
       3.2807635   2.4359230e-20
       3.4078469   2.7992812e-20
       3.5398530   3.2131682e-20
       3.6769725   3.6838250e-20
       3.8194034   4.2180822e-20
       3.9673515   4.8233688e-20
       4.1210305   5.5077025e-20
       4.2806624   6.2797047e-20
       4.4464778   7.1485646e-20
       4.6187162   8.1240011e-20
       4.7976264   9.2161681e-20
       4.9834669   1.0435594e-19
       5.1765061   1.1793085e-19
       5.3770228   1.3299644e-19
       5.5853067   1.4966307e-19
       5.8016587   1.6804039e-19
       6.0263913   1.8823659e-19
       6.2598291   2.1035844e-19
       6.5023094   2.3451026e-19
       6.7541823   2.6079549e-19
       7.0158118   2.8931660e-19
       7.2875757   3.2018090e-19
       7.5698666   3.5350257e-19
       7.8630924   3.8940847e-19
       8.1676765   4.2804251e-19
       8.4840590   4.6957575e-19
       8.8126968   5.1421458e-19
       9.1540647   5.6220879e-19
       9.5086558   6.1385529e-19
       9.8769823   6.6950642e-19
       10.259576   7.2957338e-19
       10.656990   7.9452714e-19
       11.069799   8.6488441e-19
       11.498598   9.4120034e-19
       11.944006   1.0240470e-18
       12.406668   1.1139912e-18
       12.887252   1.2115613e-18
       13.386452   1.3172098e-18
       13.904988   1.4312833e-18
       14.443611   1.5539869e-18
       15.003097   1.6853583e-18
       15.584256   1.8252421e-18
       16.187927   1.9732781e-18
       16.814981   2.1288974e-18
       17.466325   2.2913140e-18
       18.142899   2.4595187e-18
       18.845681   2.6322792e-18
       19.575685   2.8081325e-18
       20.333968   2.9853758e-18
       21.121623   3.1620630e-18
       21.939788   3.3359880e-18
       22.789646   3.5047006e-18
       23.672424   3.6654965e-18
       24.589397   3.8154269e-18
       25.541890   3.9513487e-18
       26.531278   4.0699400e-18
       27.558992   4.1677578e-18
       28.626515   4.2413192e-18
       29.735389   4.2871520e-18
       30.887217   4.3019413e-18
       32.083662   4.2826575e-18
       33.326452   4.2267570e-18
       34.617383   4.1323874e-18
       35.958319   3.9986384e-18
       37.351197   3.8257870e-18
       38.798030   3.6155268e-18
       40.300908   3.3711453e-18
       41.862000   3.0976048e-18
       43.483563   2.8014686e-18
       45.167939   2.4906939e-18
       46.917561   2.1742154e-18
       48.734956   1.8613573e-18
       50.622749   1.5611547e-18
       52.583668   1.2816369e-18
       54.620545   1.0291812e-18
       56.736322   8.0805679e-19
       58.934055   6.2022618e-19
       61.216920   4.6544426e-19
       63.588214   3.4161150e-19
       66.051362   2.4531310e-19
       68.609922   1.7241332e-19
       71.267591   1.1860078e-19
       74.028206   7.9814289e-20
       76.895757   5.2487166e-20
       79.874385   3.3667557e-20
       82.968393   2.1012275e-20
       86.182250   1.2720952e-20
       89.520598   7.4441287e-21
       92.988261   4.1968784e-21
       96.590247   2.2706798e-21
       100.33176   1.1746235e-21
       104.21820   5.7883615e-22
       108.25519   2.7072103e-22
       112.44855   1.1924740e-22
       116.80435   4.9731997e-23
       121.32888   1.9447155e-23
       126.02866   7.0998755e-24
       130.91050   2.4091411e-24
       135.98144       0.0000000
       141.24880       0.0000000
       146.72021       0.0000000
       152.40355       0.0000000
       158.30704       0.0000000
       164.43921       0.0000000
       170.80891       0.0000000
       177.42535       0.0000000
       184.29809       0.0000000
       191.43704       0.0000000
       198.85253       0.0000000
       206.55527       0.0000000
       214.55638       0.0000000
       222.86742       0.0000000
       231.50039       0.0000000
       240.46777       0.0000000
       249.78251       0.0000000
       259.45807       0.0000000
       269.50841       0.0000000
       279.94807       0.0000000
       290.79211       0.0000000
       302.05621       0.0000000
       313.75664       0.0000000
       325.91029       0.0000000
       338.53473       0.0000000
       351.64818       0.0000000
       365.26960       0.0000000
       379.41865       0.0000000
       394.11578       0.0000000
       409.38222       0.0000000
       425.24002       0.0000000
       441.71208       0.0000000
       458.82220       0.0000000
       476.59510       0.0000000
       495.05645       0.0000000
       514.23292       0.0000000
       534.15220       0.0000000
       554.84308       0.0000000
       576.33544       0.0000000
       598.66032       0.0000000
       621.84998       0.0000000
       645.93791       0.0000000
       670.95891       0.0000000
       696.94912       0.0000000
       723.94609       0.0000000
       751.98880       0.0000000
       781.11778       0.0000000
       811.37510       0.0000000
       842.80446       0.0000000
       875.45127       0.0000000
       909.36268       0.0000000
       944.58768       0.0000000
       981.17715       0.0000000
