;============================ SPDUST.2 ===============================
;
;    Rotational emission from a population of spinning dust grains,
;    as described by Ali-Haimoud, Hirata & Dickinson, 2009, MNRAS, 395, 1055
;    and in Silsbee, Ali-Haimoud & Hirata, 2010
;    for an environment with parameters given below. 
;
;    nH = 0.400000 cm^-3
;    T = 6000.0000 K
;    Chi = 1.0000000
;    xh = 0.10000000
;    xC = 0.00030000000
;    mu(1E-7 cm) = 9.1909739 debye (this corresponds to beta = 0.38000000 debye)
;
;Diklike grains are assumed to be randomly 
;
;=====================================================================
;
;nu(GHz)       j_nu/nH(Jy sr-1 cm2/H)     
;
      0.50959197   1.3855772e-23
      0.52933149   1.5335747e-23
      0.54983563   1.6974814e-23
      0.57113402   1.8798729e-23
      0.59325742   2.0837560e-23
      0.61623779   2.3126220e-23
      0.64010833   2.5704873e-23
      0.66490352   2.8619906e-23
      0.69065916   3.1925060e-23
      0.71741248   3.5682591e-23
      0.74520212   3.9965024e-23
      0.77406820   4.4856781e-23
      0.80405245   5.0456754e-23
      0.83519816   5.6880957e-23
      0.86755033   6.4265418e-23
      0.90115569   7.2769744e-23
      0.93606278   8.2581409e-23
      0.97232204   9.3920936e-23
       1.0099858   1.0704781e-22
       1.0491086   1.2226746e-22
       1.0897467   1.3993885e-22
       1.1319591   1.6048510e-22
       1.1758066   1.8440478e-22
       1.2213525   2.1228556e-22
       1.2686627   2.4481962e-22
       1.3178055   2.8282329e-22
       1.3688519   3.2725924e-22
       1.4218757   3.7926257e-22
       1.4769534   4.4017253e-22
       1.5341645   5.1156873e-22
       1.5935918   5.9531474e-22
       1.6553210   6.9360919e-22
       1.7194414   8.0904652e-22
       1.7860455   9.4468936e-22
       1.8552297   1.1041510e-21
       1.9270937   1.2916958e-21
       2.0017414   1.5123580e-21
       2.0792807   1.7720802e-21
       2.1598236   2.0778734e-21
       2.2434863   2.4380184e-21
       2.3303898   2.8622862e-21
       2.4206596   3.3622067e-21
       2.5144261   3.9513931e-21
       2.6118247   4.6459114e-21
       2.7129962   5.4647114e-21
       2.8180866   6.4301542e-21
       2.9272477   7.5686207e-21
       3.0406374   8.9112134e-21
       3.1584193   1.0494609e-20
       3.2807635   1.2362033e-20
       3.4078469   1.4564400e-20
       3.5398530   1.7161653e-20
       3.6769725   2.0224326e-20
       3.8194034   2.3835362e-20
       3.9673515   2.8092177e-20
       4.1210305   3.3109066e-20
       4.2806624   3.9019990e-20
       4.4464778   4.5981698e-20
       4.6187162   5.4177265e-20
       4.7976264   6.3819997e-20
       4.9834669   7.5158044e-20
       5.1765061   8.8479094e-20
       5.3770228   1.0411547e-19
       5.5853067   1.2244981e-19
       5.8016587   1.4392024e-19
       6.0263913   1.6902645e-19
       6.2598291   1.9833421e-19
       6.5023094   2.3247898e-19
       6.7541823   2.7216877e-19
       7.0158118   3.1818526e-19
       7.2875757   3.7137883e-19
       7.5698666   4.3266102e-19
       7.8630924   5.0299785e-19
       8.1676765   5.8338200e-19
       8.4840590   6.7481129e-19
       8.8126968   7.7826071e-19
       9.1540647   8.9462639e-19
       9.5086558   1.0247027e-18
       9.8769823   1.1691045e-18
       10.259576   1.3282296e-18
       10.656990   1.5022148e-18
       11.069799   1.6908862e-18
       11.498598   1.8937460e-18
       11.944006   2.1099471e-18
       12.406668   2.3383799e-18
       12.887252   2.5776284e-18
       13.386452   2.8261630e-18
       13.904988   3.0823415e-18
       14.443611   3.3445249e-18
       15.003097   3.6112316e-18
       15.584256   3.8809822e-18
       16.187927   4.1523756e-18
       16.814981   4.4239017e-18
       17.466325   4.6936532e-18
       18.142899   4.9591069e-18
       18.845681   5.2168080e-18
       19.575685   5.4622125e-18
       20.333968   5.6896199e-18
       21.121623   5.8923899e-18
       21.939788   6.0631522e-18
       22.789646   6.1943454e-18
       23.672424   6.2788271e-18
       24.589397   6.3103222e-18
       25.541890   6.2838046e-18
       26.531278   6.1957886e-18
       27.558992   6.0445841e-18
       28.626515   5.8307835e-18
       29.735389   5.5577421e-18
       30.887217   5.2318672e-18
       32.083662   4.8624657e-18
       33.326452   4.4610843e-18
       34.617383   4.0404188e-18
       35.958319   3.6132058e-18
       37.351197   3.1912620e-18
       38.798030   2.7847386e-18
       40.300908   2.4016947e-18
       41.862000   2.0479624e-18
       43.483563   1.7272276e-18
       45.167939   1.4413086e-18
       46.917561   1.1904809e-18
       48.734956   9.7379540e-19
       50.622749   7.8940833e-19
       52.583668   6.3481584e-19
       54.620545   5.0704336e-19
       56.736322   4.0280484e-19
       58.934055   3.1866852e-19
       61.216920   2.5125589e-19
       63.588214   1.9745644e-19
       66.051362   1.5459953e-19
       68.609922   1.2052584e-19
       71.267591   9.3545643e-20
       74.028206   7.2323535e-20
       76.895757   5.5758074e-20
       79.874385   4.2907945e-20
       82.968393   3.2970399e-20
       86.182250   2.5284940e-20
       89.520598   1.9333392e-20
       92.988261   1.4723991e-20
       96.590247   1.1163480e-20
       100.33176   8.4275306e-21
       104.21820   6.3382944e-21
       108.25519   4.7517466e-21
       112.44855   3.5518692e-21
       116.80435   2.6472294e-21
       121.32888   1.9672228e-21
       126.02866   1.4577545e-21
       130.91050   1.0773100e-21
       135.98144   7.9398678e-22
       141.24880   5.8343067e-22
       146.72021   4.2726912e-22
       152.40355   3.1176030e-22
       158.30704   2.2662189e-22
       164.43921   1.6411170e-22
       170.80891   1.1837989e-22
       177.42535   8.5027280e-23
       184.29809   6.0779714e-23
       191.43704   4.3219519e-23
       198.85253   3.0563042e-23
       206.55527   2.1489362e-23
       214.55638   1.5018739e-23
       222.86742   1.0428081e-23
       231.50039   7.1886404e-24
       240.46777   4.9166058e-24
       249.78251   3.3343986e-24
       259.45807   2.2412638e-24
       269.50841   1.4922968e-24
       279.94807   9.8355133e-25
       290.79211   6.4112689e-25
       302.05621   4.1294840e-25
       313.75664   2.6258070e-25
       325.91029   1.6468889e-25
       338.53473   1.0179339e-25
       351.64818   6.1949693e-26
       365.26960   3.7084170e-26
       379.41865   2.1809960e-26
       394.11578   1.2584240e-26
       409.38222   7.1125796e-27
       425.24002   3.9315961e-27
       441.71208   2.1222627e-27
       458.82220   1.1166361e-27
       476.59510   5.7127292e-28
       495.05645   2.8324013e-28
       514.23292   1.3555335e-28
       534.15220   6.2345239e-29
       554.84308   2.7450682e-29
       576.33544   1.1515204e-29
       598.66032   4.5773055e-30
       621.84998   1.7122495e-30
       645.93791   5.9271737e-31
       670.95891   1.9190673e-31
       696.94912   5.6893098e-32
       723.94609   1.5290101e-32
       751.98880   3.6800814e-33
       781.11778       0.0000000
       811.37510       0.0000000
       842.80446       0.0000000
       875.45127       0.0000000
       909.36268       0.0000000
       944.58768       0.0000000
       981.17715       0.0000000
