;============================ SPDUST.2 ===============================
;
;    Rotational emission from a population of spinning dust grains,
;    as described by Ali-Haimoud, Hirata & Dickinson, 2009, MNRAS, 395, 1055
;    and in Silsbee, Ali-Haimoud & Hirata, 2010
;    for an environment with parameters given below. 
;
;    nH = 30.000000 cm^-3
;    T = 100.00000 K
;    Chi = 1.0000000
;    xh = 0.0010000000
;    xC = 0.00030000000
;    mu(1E-7 cm) = 9.1909739 debye (this corresponds to beta = 0.38000000 debye)
;
;Diklike grains are assumed to be randomly 
;
;=====================================================================
;
;nu(GHz)       j_nu/nH(Jy sr-1 cm2/H)     
;
      0.50959197   1.0946510e-23
      0.52933149   1.2120762e-23
      0.54983563   1.3446367e-23
      0.57113402   1.4947147e-23
      0.59325742   1.6650819e-23
      0.61623779   1.8589815e-23
      0.64010833   2.0802151e-23
      0.66490352   2.3332516e-23
      0.69065916   2.6233288e-23
      0.71741248   2.9566043e-23
      0.74520212   3.3403187e-23
      0.77406820   3.7829913e-23
      0.80405245   4.2946390e-23
      0.83519816   4.8870498e-23
      0.86755033   5.5740936e-23
      0.90115569   6.3721019e-23
      0.93606278   7.3003081e-23
      0.97232204   8.3813254e-23
       1.0099858   9.6417851e-23
       1.0491086   1.1113064e-22
       1.0897467   1.2832036e-22
       1.1319591   1.4842112e-22
       1.1758066   1.7194412e-22
       1.2213525   1.9949002e-22
       1.2686627   2.3176568e-22
       1.3178055   2.6960263e-22
       1.3688519   3.1397784e-22
       1.4218757   3.6604026e-22
       1.4769534   4.2714007e-22
       1.5341645   4.9886345e-22
       1.5935918   5.8307395e-22
       1.6553210   6.8195940e-22
       1.7194414   7.9808908e-22
       1.7860455   9.3447898e-22
       1.8552297   1.0946659e-21
       1.9270937   1.2828010e-21
       2.0017414   1.5037529e-21
       2.0792807   1.7632264e-21
       2.1598236   2.0679096e-21
       2.2434863   2.4256391e-21
       2.3303898   2.8455936e-21
       2.4206596   3.3385237e-21
       2.5144261   3.9170113e-21
       2.6118247   4.5957800e-21
       2.7129962   5.3920599e-21
       2.8180866   6.3260047e-21
       2.9272477   7.4211714e-21
       3.0406374   8.7050950e-21
       3.1584193   1.0209947e-20
       3.2807635   1.1973300e-20
       3.4078469   1.4039020e-20
       3.5398530   1.6458313e-20
       3.6769725   1.9290875e-20
       3.8194034   2.2606306e-20
       3.9673515   2.6485709e-20
       4.1210305   3.1023503e-20
       4.2806624   3.6329561e-20
       4.4464778   4.2531614e-20
       4.6187162   4.9778066e-20
       4.7976264   5.8241021e-20
       4.9834669   6.8119979e-20
       5.1765061   7.9645734e-20
       5.3770228   9.3084988e-20
       5.5853067   1.0874521e-19
       5.8016587   1.2698015e-19
       6.0263913   1.4819552e-19
       6.2598291   1.7285545e-19
       6.5023094   2.0148880e-19
       6.7541823   2.3469533e-19
       7.0158118   2.7315205e-19
       7.2875757   3.1761876e-19
       7.5698666   3.6894131e-19
       7.8630924   4.2805370e-19
       8.1676765   4.9597740e-19
       8.4840590   5.7381455e-19
       8.8126968   6.6274102e-19
       9.1540647   7.6398769e-19
       9.5086558   8.7881186e-19
       9.8769823   1.0084750e-18
       10.259576   1.1541988e-18
       10.656990   1.3171138e-18
       11.069799   1.4982190e-18
       11.498598   1.6983163e-18
       11.944006   1.9179758e-18
       12.406668   2.1574708e-18
       12.887252   2.4167799e-18
       13.386452   2.6955292e-18
       13.904988   2.9931320e-18
       14.443611   3.3086516e-18
       15.003097   3.6410660e-18
       15.584256   3.9892386e-18
       16.187927   4.3521080e-18
       16.814981   4.7286620e-18
       17.466325   5.1180888e-18
       18.142899   5.5195707e-18
       18.845681   5.9321679e-18
       19.575685   6.3545673e-18
       20.333968   6.7845745e-18
       21.121623   7.2188081e-18
       21.939788   7.6523950e-18
       22.789646   8.0786836e-18
       23.672424   8.4893677e-18
       24.589397   8.8745184e-18
       25.541890   9.2231960e-18
       26.531278   9.5236978e-18
       27.558992   9.7641909e-18
       28.626515   9.9329800e-18
       29.735389   1.0018921e-17
       30.887217   1.0012132e-17
       32.083662   9.9049227e-18
       33.326452   9.6928510e-18
       34.617383   9.3760174e-18
       35.958319   8.9597241e-18
       37.351197   8.4543964e-18
       38.798030   7.8750304e-18
       40.300908   7.2400988e-18
       41.862000   6.5699912e-18
       43.483563   5.8854675e-18
       45.167939   5.2061239e-18
       46.917561   4.5489837e-18
       48.734956   3.9277678e-18
       50.622749   3.3525656e-18
       52.583668   2.8298627e-18
       54.620545   2.3629914e-18
       56.736322   1.9526858e-18
       58.934055   1.5976460e-18
       61.216920   1.2950570e-18
       63.588214   1.0410264e-18
       66.051362   8.3088165e-19
       68.609922   6.5940987e-19
       71.267591   5.2109715e-19
       74.028206   4.1043097e-19
       76.895757   3.2226278e-19
       79.874385   2.5213011e-19
       82.968393   1.9641799e-19
       86.182250   1.5231630e-19
       89.520598   1.1763051e-19
       92.988261   9.0567721e-20
       96.590247   6.9597186e-20
       100.33176   5.3406188e-20
       104.21820   4.0906625e-20
       108.25519   3.1240958e-20
       112.44855   2.3761607e-20
       116.80435   1.7987039e-20
       121.32888   1.3551968e-20
       126.02866   1.0168204e-20
       130.91050   7.6022279e-21
       135.98144   5.6652700e-21
       141.24880   4.2081058e-21
       146.72021   3.1154215e-21
       152.40355   2.2990109e-21
       158.30704   1.6912922e-21
       164.43921   1.2403687e-21
       170.80891   9.0662107e-22
       177.42535   6.6017535e-22
       184.29809   4.7873201e-22
       191.43704   3.4566395e-22
       198.85253   2.4850139e-22
       206.55527   1.7785320e-22
       214.55638   1.2667602e-22
       222.86742   8.9740623e-23
       231.50039   6.3199548e-23
       240.46777   4.4228949e-23
       249.78251   3.0750761e-23
       259.45807   2.1233651e-23
       269.50841   1.4554199e-23
       279.94807   9.8956125e-24
       290.79211   6.6690752e-24
       302.05621   4.4521603e-24
       313.75664   2.9424355e-24
       325.91029   1.9240422e-24
       338.53473   1.2438994e-24
       351.64818   7.9441750e-25
       365.26960   5.0071460e-25
       379.41865   3.1115097e-25
       394.11578   1.9043663e-25
       409.38222   1.1468422e-25
       425.24002   6.7892709e-26
       441.71208   3.9470169e-26
       458.82220   2.2505112e-26
       476.59510   1.2564290e-26
       495.05645   6.8547369e-27
       514.23292   3.6472601e-27
       534.15220   1.8889085e-27
       554.84308   9.5003496e-28
       576.33544   4.6280458e-28
       598.66032   2.1750180e-28
       621.84998   9.8165136e-29
       645.93791   4.2346017e-29
       670.95891   1.7378495e-29
       696.94912   6.7527540e-30
       723.94609   2.4606820e-30
       751.98880   8.4274051e-31
       781.11778   2.6741590e-31
       811.37510   7.7877356e-32
       842.80446   2.0608525e-32
       875.45127       0.0000000
       909.36268       0.0000000
       944.58768       0.0000000
       981.17715       0.0000000
