;============================ SPDUST.2 ===============================
;
;    Rotational emission from a population of spinning dust grains,
;    as described by Ali-Haimoud, Hirata & Dickinson, 2009, MNRAS, 395, 1055
;    and in Silsbee, Ali-Haimoud & Hirata, 2010
;    for an environment with parameters given below. 
;
;    nH = 0.100000 cm^-3
;    T = 8000.0000 K
;    Chi = 1.0000000
;    xh = 0.990000
;    xC = 0.0010000000
;    mu(1E-7 cm) = 9.1909739 debye (this corresponds to beta = 0.38000000 debye)
;
;Diklike grains are assumed to be randomly 
;
;=====================================================================
;
;nu(GHz)       j_nu/nH(Jy sr-1 cm2/H)     
;
      0.50959197   1.1595865e-23
      0.52933149   1.2839203e-23
      0.54983563   1.4232016e-23
      0.57113402   1.5796775e-23
      0.59325742   1.7559336e-23
      0.61623779   1.9549557e-23
      0.64010833   2.1802002e-23
      0.66490352   2.4356802e-23
      0.69065916   2.7260634e-23
      0.71741248   3.0567902e-23
      0.74520212   3.4342075e-23
      0.77406820   3.8657315e-23
      0.80405245   4.3600332e-23
      0.83519816   4.9272627e-23
      0.86755033   5.5793100e-23
      0.90115569   6.3301170e-23
      0.93606278   7.1960367e-23
      0.97232204   8.1962716e-23
       1.0099858   9.3533784e-23
       1.0491086   1.0693867e-22
       1.0897467   1.2248902e-22
       1.1319591   1.4055147e-22
       1.1758066   1.6155730e-22
       1.2213525   1.8601412e-22
       1.2686627   2.1451940e-22
       1.3178055   2.4777659e-22
       1.3688519   2.8661380e-22
       1.4218757   3.3200654e-22
       1.4769534   3.8510373e-22
       1.5341645   4.4725889e-22
       1.5935918   5.2006703e-22
       1.6553210   6.0540807e-22
       1.7194414   7.0549775e-22
       1.7860455   8.2294879e-22
       1.8552297   9.6084247e-22
       1.9270937   1.1228121e-21
       2.0017414   1.3131439e-21
       2.0792807   1.5368937e-21
       2.1598236   1.8000270e-21
       2.2434863   2.1095803e-21
       2.3303898   2.4738578e-21
       2.4206596   2.9026579e-21
       2.5144261   3.4075421e-21
       2.6118247   4.0021531e-21
       2.7129962   4.7025867e-21
       2.8180866   5.5278312e-21
       2.9272477   6.5002988e-21
       3.0406374   7.6464227e-21
       3.1584193   8.9973768e-21
       3.2807635   1.0589931e-20
       3.4078469   1.2467438e-20
       3.5398530   1.4681001e-20
       3.6769725   1.7290836e-20
       3.8194034   2.0367851e-20
       3.9673515   2.3995507e-20
       4.1210305   2.8272003e-20
       4.2806624   3.3312734e-20
       4.4464778   3.9253203e-20
       4.6187162   4.6252329e-20
       4.7976264   5.4496305e-20
       4.9834669   6.4202872e-20
       5.1765061   7.5626167e-20
       5.3770228   8.9062343e-20
       5.5853067   1.0485549e-19
       5.8016587   1.2340447e-19
       6.0263913   1.4517003e-19
       6.2598291   1.7068236e-19
       6.5023094   2.0054842e-19
       6.7541823   2.3546001e-19
       7.0158118   2.7620055e-19
       7.2875757   3.2365107e-19
       7.5698666   3.7879284e-19
       7.8630924   4.4271046e-19
       8.1676765   5.1658384e-19
       8.4840590   6.0168444e-19
       8.8126968   6.9935589e-19
       9.1540647   8.1098679e-19
       9.5086558   9.3798167e-19
       9.8769823   1.0817162e-18
       10.259576   1.2434813e-18
       10.656990   1.4244154e-18
       11.069799   1.6254434e-18
       11.498598   1.8472098e-18
       11.944006   2.0899841e-18
       12.406668   2.3536577e-18
       12.887252   2.6376476e-18
       13.386452   2.9409209e-18
       13.904988   3.2620230e-18
       14.443611   3.5991291e-18
       15.003097   3.9501340e-18
       15.584256   4.3128168e-18
       16.187927   4.6849612e-18
       16.814981   5.0645170e-18
       17.466325   5.4495430e-18
       18.142899   5.8383553e-18
       18.845681   6.2292102e-18
       19.575685   6.6200583e-18
       20.333968   7.0082799e-18
       21.121623   7.3900729e-18
       21.939788   7.7602481e-18
       22.789646   8.1120515e-18
       23.672424   8.4371889e-18
       24.589397   8.7260680e-18
       25.541890   8.9683254e-18
       26.531278   9.1535168e-18
       27.558992   9.2715591e-18
       28.626515   9.3133104e-18
       29.735389   9.2709288e-18
       30.887217   9.1384074e-18
       32.083662   8.9123189e-18
       33.326452   8.5929454e-18
       34.617383   8.1851752e-18
       35.958319   7.6987859e-18
       37.351197   7.1479702e-18
       38.798030   6.5501114e-18
       40.300908   5.9243131e-18
       41.862000   5.2896117e-18
       43.483563   4.6637034e-18
       45.167939   4.0617892e-18
       46.917561   3.4958884e-18
       48.734956   2.9745991e-18
       50.622749   2.5032438e-18
       52.583668   2.0842918e-18
       54.620545   1.7178505e-18
       56.736322   1.4022306e-18
       58.934055   1.1344488e-18
       61.216920   9.1059259e-19
       63.588214   7.2610627e-19
       66.051362   5.7602262e-19
       68.609922   4.5520239e-19
       71.267591   3.5862251e-19
       74.028206   2.8169314e-19
       76.895757   2.2050491e-19
       79.874385   1.7192034e-19
       82.968393   1.3349814e-19
       86.182250   1.0331145e-19
       89.520598   7.9768831e-20
       92.988261   6.1510518e-20
       96.590247   4.7382061e-20
       100.33176   3.6440346e-20
       104.21820   2.7950963e-20
       108.25519   2.1361988e-20
       112.44855   1.6261033e-20
       116.80435   1.2331798e-20
       121.32888   9.3225329e-21
       126.02866   7.0289366e-21
       130.91050   5.2867192e-21
       135.98144   3.9666920e-21
       141.24880   2.9691365e-21
       146.72021   2.2174621e-21
       152.40355   1.6526126e-21
       158.30704   1.2290153e-21
       164.43921   9.1178661e-22
       170.80891   6.7456509e-22
       177.42535   4.9757016e-22
       184.29809   3.6591307e-22
       191.43704   2.6829408e-22
       198.85253   1.9610943e-22
       206.55527   1.4285022e-22
       214.55638   1.0364630e-22
       222.86742   7.4879134e-23
       231.50039   5.3855383e-23
       240.46777   3.8557808e-23
       249.78251   2.7472478e-23
       259.45807   1.9470029e-23
       269.50841   1.3716529e-23
       279.94807   9.6003415e-24
       290.79211   6.6729068e-24
       302.05621   4.6044283e-24
       313.75664   3.1525149e-24
       325.91029   2.1401790e-24
       338.53473   1.4393890e-24
       351.64818   9.5823284e-25
       365.26960   6.3096049e-25
       379.41865   4.1062978e-25
       394.11578   2.6391767e-25
       409.38222   1.6735934e-25
       425.24002   1.0460141e-25
       441.71208   6.4364082e-26
       458.82220   3.8946267e-26
       476.59510   2.3147489e-26
       495.05645   1.3497117e-26
       514.23292   7.7118553e-27
       534.15220   4.3117335e-27
       554.84308   2.3545206e-27
       576.33544   1.2526113e-27
       598.66032   6.4720809e-28
       621.84998   3.2368450e-28
       645.93791   1.5611496e-28
       670.95891   7.2299508e-29
       696.94912   3.1973512e-29
       723.94609   1.3414081e-29
       751.98880   5.2961281e-30
       781.11778   1.9513431e-30
       811.37510   6.6513364e-31
       842.80446   2.0637376e-31
       875.45127   5.8472944e-32
       909.36268   1.4755145e-32
       944.58768   3.2497992e-33
       981.17715       0.0000000
