;============================ SPDUST.2 ===============================
;
;    Rotational emission from a population of spinning dust grains,
;    as described by Ali-Haimoud, Hirata & Dickinson, 2009, MNRAS, 395, 1055
;    and in Silsbee, Ali-Haimoud & Hirata, 2010
;    for an environment with parameters given below. 
;
;    nH = 30.000000 cm^-3
;    T = 100.00000 K
;    Chi = 1.0000000
;    xh = 0.0010000000
;    xC = 0.00030000000
;    mu(1E-7 cm) = 9.1909739 debye (this corresponds to beta = 0.38000000 debye)
;
;Diklike grains are assumed to be randomly 
;
;=====================================================================
;
;nu(GHz)       j_nu/nH(Jy sr-1 cm2/H)     
;
      0.50959197   1.2219897e-23
      0.52933149   1.3479632e-23
      0.54983563   1.4884980e-23
      0.57113402   1.6459451e-23
      0.59325742   1.8230038e-23
      0.61623779   2.0227992e-23
      0.64010833   2.2489573e-23
      0.66490352   2.5056857e-23
      0.69065916   2.7979035e-23
      0.71741248   3.1313737e-23
      0.74520212   3.5128486e-23
      0.77406820   3.9502595e-23
      0.80405245   4.4529261e-23
      0.83519816   5.0318203e-23
      0.86755033   5.6998361e-23
      0.90115569   6.4721393e-23
      0.93606278   7.3666106e-23
      0.97232204   8.4042785e-23
       1.0099858   9.6098901e-23
       1.0491086   1.1012615e-22
       1.0897467   1.2646812e-22
       1.1319591   1.4552884e-22
       1.1758066   1.6778471e-22
       1.2213525   1.9379645e-22
       1.2686627   2.2422426e-22
       1.3178055   2.5984512e-22
       1.3688519   3.0157427e-22
       1.4218757   3.5048837e-22
       1.4769534   4.0785389e-22
       1.5341645   4.7516145e-22
       1.5935918   5.5416498e-22
       1.6553210   6.4692561e-22
       1.7194414   7.5586693e-22
       1.7860455   8.8383870e-22
       1.8552297   1.0341902e-21
       1.9270937   1.2108551e-21
       2.0017414   1.4184541e-21
       2.0792807   1.6624138e-21
       2.1598236   1.9491056e-21
       2.2434863   2.2860050e-21
       2.3303898   2.6818855e-21
       2.4206596   3.1470381e-21
       2.5144261   3.6935296e-21
       2.6118247   4.3355035e-21
       2.7129962   5.0895382e-21
       2.8180866   5.9750570e-21
       2.9272477   7.0148100e-21
       3.0406374   8.2354332e-21
       3.1584193   9.6680983e-21
       3.2807635   1.1349277e-20
       3.4078469   1.3321622e-20
       3.5398530   1.5634996e-20
       3.6769725   1.8347667e-20
       3.8194034   2.1527678e-20
       3.9673515   2.5254466e-20
       4.1210305   2.9620669e-20
       4.2806624   3.4734304e-20
       4.4464778   4.0721155e-20
       4.6187162   4.7727626e-20
       4.7976264   5.5923917e-20
       4.9834669   6.5507670e-20
       5.1765061   7.6708039e-20
       5.3770228   8.9790466e-20
       5.5853067   1.0506160e-19
       5.8016587   1.2287518e-19
       6.0263913   1.4363816e-19
       6.2598291   1.6781743e-19
       6.5023094   1.9594688e-19
       6.7541823   2.2863412e-19
       7.0158118   2.6656823e-19
       7.2875757   3.1052530e-19
       7.5698666   3.6137539e-19
       7.8630924   4.2008490e-19
       8.1676765   4.8771893e-19
       8.4840590   5.6543626e-19
       8.8126968   6.5448508e-19
       9.1540647   7.5618995e-19
       9.5086558   8.7192290e-19
       9.8769823   1.0030848e-18
       10.259576   1.1510631e-18
       10.656990   1.3171797e-18
       11.069799   1.5026476e-18
       11.498598   1.7085027e-18
       11.944006   1.9355321e-18
       12.406668   2.1842667e-18
       12.887252   2.4548574e-18
       13.386452   2.7471508e-18
       13.904988   3.0605642e-18
       14.443611   3.3942427e-18
       15.003097   3.7470503e-18
       15.584256   4.1176519e-18
       16.187927   4.5046884e-18
       16.814981   4.9068031e-18
       17.466325   5.3227814e-18
       18.142899   5.7514694e-18
       18.845681   6.1917720e-18
       19.575685   6.6422035e-18
       20.333968   7.1008447e-18
       21.121623   7.5646567e-18
       21.939788   8.0292352e-18
       22.789646   8.4884405e-18
       23.672424   8.9342166e-18
       24.589397   9.3567331e-18
       25.541890   9.7446968e-18
       26.531278   1.0085866e-17
       27.558992   1.0367538e-17
       28.626515   1.0577145e-17
       29.735389   1.0702734e-17
       30.887217   1.0733523e-17
       32.083662   1.0660457e-17
       33.326452   1.0477436e-17
       34.617383   1.0182521e-17
       35.958319   9.7790380e-18
       37.351197   9.2759134e-18
       38.798030   8.6872774e-18
       40.300908   8.0315746e-18
       41.862000   7.3298198e-18
       43.483563   6.6040275e-18
       45.167939   5.8755594e-18
       46.917561   5.1635349e-18
       48.734956   4.4838960e-18
       50.622749   3.8488887e-18
       52.583668   3.2669346e-18
       54.620545   2.7429531e-18
       56.736322   2.2788845e-18
       58.934055   1.8742766e-18
       61.216920   1.5268538e-18
       63.588214   1.2329954e-18
       66.051362   9.8811044e-19
       68.609922   7.8691533e-19
       71.267591   6.2367671e-19
       74.028206   4.9249952e-19
       76.895757   3.8769892e-19
       79.874385   3.0417962e-19
       82.968393   2.3769457e-19
       86.182250   1.8489483e-19
       89.520598   1.4318348e-19
       92.988261   1.1048311e-19
       96.590247   8.5044485e-20
       100.33176   6.5358659e-20
       104.21820   5.0149069e-20
       108.25519   3.8384910e-20
       112.44855   2.9273625e-20
       116.80435   2.2223448e-20
       121.32888   1.6790396e-20
       126.02866   1.2629850e-20
       130.91050   9.4645588e-21
       135.98144   7.0691056e-21
       141.24880   5.2631136e-21
       146.72021   3.9058199e-21
       152.40355   2.8891980e-21
       158.30704   2.1305683e-21
       164.43921   1.5664210e-21
       170.80891   1.1480494e-21
       177.42535   8.3848122e-22
       184.29809   6.0999700e-22
       191.43704   4.4193073e-22
       198.85253   3.1882003e-22
       206.55527   2.2902421e-22
       214.55638   1.6377921e-22
       222.86742   1.1653890e-22
       231.50039   8.2466231e-23
       240.46777   5.8007238e-23
       249.78251   4.0547909e-23
       259.45807   2.8159635e-23
       269.50841   1.9421489e-23
       279.94807   1.3294302e-23
       290.79211   9.0252125e-24
       302.05621   6.0723674e-24
       313.75664   4.0468067e-24
       325.91029   2.6698083e-24
       338.53473   1.7425443e-24
       351.64818   1.1243024e-24
       365.26960   7.1644562e-25
       379.41865   4.5046372e-25
       394.11578   2.7918064e-25
       409.38222   1.7038755e-25
       425.24002   1.0230832e-25
       441.71208   6.0379904e-26
       458.82220   3.4986324e-26
       476.59510   1.9875212e-26
       495.05645   1.1050070e-26
       514.23292   6.0010398e-27
       534.15220   3.1774456e-27
       554.84308   1.6371149e-27
       576.33544   8.1874292e-28
       598.66032   3.9625459e-28
       621.84998   1.8479059e-28
       645.93791   8.2652411e-29
       670.95891   3.5293398e-29
       696.94912   1.4321991e-29
       723.94609   5.4952404e-30
       751.98880   1.9729128e-30
       781.11778   6.6405532e-31
       811.37510   2.0640497e-31
       842.80446   5.8677576e-32
       875.45127   1.5104481e-32
       909.36268       0.0000000
       944.58768       0.0000000
       981.17715       0.0000000
