;============================ SPDUST.2 ===============================
;
;    Rotational emission from a population of spinning dust grains,
;    as described by Ali-Haimoud, Hirata & Dickinson, 2009, MNRAS, 395, 1055
;    and in Silsbee, Ali-Haimoud & Hirata, 2010
;    for an environment with parameters given below. 
;
;    nH = 10000.000 cm^-3
;    T = 10.000000 K
;    Chi = 0.00010000000
;    xh = 0.0000000
;    xC = 1.0000000e-06
;    mu(1E-7 cm) = 9.1909739 debye (this corresponds to beta = 0.38000000 debye)
;
;Diklike grains are assumed to be randomly 
;
;=====================================================================
;
;nu(GHz)       j_nu/nH(Jy sr-1 cm2/H)     
;
      0.50959197   1.2888812e-23
      0.52933149   1.5027391e-23
      0.54983563   1.7541244e-23
      0.57113402   2.0496717e-23
      0.59325742   2.3971737e-23
      0.61623779   2.8057754e-23
      0.64010833   3.2862050e-23
      0.66490352   3.8510429e-23
      0.69065916   4.5150310e-23
      0.71741248   5.2954344e-23
      0.74520212   6.2124549e-23
      0.77406820   7.2897307e-23
      0.80405245   8.5548879e-23
      0.83519816   1.0040210e-22
      0.86755033   1.1783375e-22
      0.90115569   1.3828343e-22
      0.93606278   1.6226361e-22
      0.97232204   1.9037155e-22
       1.0099858   2.2330246e-22
       1.0491086   2.6186504e-22
       1.0897467   3.0699937e-22
       1.1319591   3.5979755e-22
       1.1758066   4.2152730e-22
       1.2213525   4.9365925e-22
       1.2686627   5.7789702e-22
       1.3178055   6.7621280e-22
       1.3688519   7.9088938e-22
       1.4218757   9.2456535e-22
       1.4769534   1.0802890e-21
       1.5341645   1.2615746e-21
       1.5935918   1.4724750e-21
       1.6553210   1.7176558e-21
       1.7194414   2.0024915e-21
       1.7860455   2.3331504e-21
       1.8552297   2.7167168e-21
       1.9270937   3.1613085e-21
       2.0017414   3.6762294e-21
       2.0792807   4.2721222e-21
       2.1598236   4.9611416e-21
       2.2434863   5.7571402e-21
       2.3303898   6.6758983e-21
       2.4206596   7.7353557e-21
       2.5144261   8.9558893e-21
       2.6118247   1.0360560e-20
       2.7129962   1.1975429e-20
       2.8180866   1.3829859e-20
       2.9272477   1.5956918e-20
       3.0406374   1.8393679e-20
       3.1584193   2.1181633e-20
       3.2807635   2.4366894e-20
       3.4078469   2.8000728e-20
       3.5398530   3.2139739e-20
       3.6769725   3.6846351e-20
       3.8194034   4.2188756e-20
       3.9673515   4.8241127e-20
       4.1210305   5.5083580e-20
       4.2806624   6.2802301e-20
       4.4464778   7.1489112e-20
       4.6187162   8.1240963e-20
       4.7976264   9.2159157e-20
       4.9834669   1.0434885e-19
       5.1765061   1.1791805e-19
       5.3770228   1.3297647e-19
       5.5853067   1.4963413e-19
       5.8016587   1.6800036e-19
       6.0263913   1.8818334e-19
       6.2598291   2.1028941e-19
       6.5023094   2.3442280e-19
       6.7541823   2.6068615e-19
       7.0158118   2.8918237e-19
       7.2875757   3.2001866e-19
       7.5698666   3.5330908e-19
       7.8630924   3.8918028e-19
       8.1676765   4.2777593e-19
       8.4840590   4.6926845e-19
       8.8126968   5.1386425e-19
       9.1540647   5.6181297e-19
       9.5086558   6.1341132e-19
       9.8769823   6.6901289e-19
       10.259576   7.2903031e-19
       10.656990   7.9393363e-19
       11.069799   8.6424017e-19
       11.498598   9.4050374e-19
       11.944006   1.0232972e-18
       12.406668   1.1131887e-18
       12.887252   1.2107028e-18
       13.386452   1.3162926e-18
       13.904988   1.4303026e-18
       14.443611   1.5529380e-18
       15.003097   1.6842343e-18
       15.584256   1.8240343e-18
       16.187927   1.9719785e-18
       16.814981   2.1275002e-18
       17.466325   2.2898091e-18
       18.142899   2.4578998e-18
       18.845681   2.6305373e-18
       19.575685   2.8062605e-18
       20.333968   2.9833690e-18
       21.121623   3.1599152e-18
       21.939788   3.3336955e-18
       22.789646   3.5022669e-18
       23.672424   3.6629142e-18
       24.589397   3.8126981e-18
       25.541890   3.9484734e-18
       26.531278   4.0669216e-18
       27.558992   4.1646067e-18
       28.626515   4.2380400e-18
       29.735389   4.2837573e-18
       30.887217   4.2984412e-18
       32.083662   4.2790687e-18
       33.326452   4.2230996e-18
       34.617383   4.1286852e-18
       35.958319   3.9949190e-18
       37.351197   3.8220815e-18
       38.798030   3.6118702e-18
       40.300908   3.3675777e-18
       41.862000   3.0941628e-18
       43.483563   2.7981923e-18
       45.167939   2.4876241e-18
       46.917561   2.1713865e-18
       48.734956   1.8587962e-18
       50.622749   1.5588819e-18
       52.583668   1.2796628e-18
       54.620545   1.0275052e-18
       56.736322   8.0666742e-19
       58.934055   6.1910243e-19
       61.216920   4.6455761e-19
       63.588214   3.4092903e-19
       66.051362   2.4480039e-19
       68.609922   1.7203711e-19
       71.267591   1.1833094e-19
       74.028206   7.9624975e-20
       76.895757   5.2357247e-20
       79.874385   3.3580413e-20
       82.968393   2.0955237e-20
       86.182250   1.2684624e-20
       89.520598   7.4216912e-21
       92.988261   4.1834790e-21
       96.590247   2.2629807e-21
       100.33176   1.1703850e-21
       104.21820   5.7660977e-22
       108.25519   2.6960979e-22
       112.44855   1.1872639e-22
       116.80435   4.9499521e-23
       121.32888   1.9349880e-23
       126.02866   7.0618705e-24
       130.91050   2.3953402e-24
       135.98144       0.0000000
       141.24880       0.0000000
       146.72021       0.0000000
       152.40355       0.0000000
       158.30704       0.0000000
       164.43921       0.0000000
       170.80891       0.0000000
       177.42535       0.0000000
       184.29809       0.0000000
       191.43704       0.0000000
       198.85253       0.0000000
       206.55527       0.0000000
       214.55638       0.0000000
       222.86742       0.0000000
       231.50039       0.0000000
       240.46777       0.0000000
       249.78251       0.0000000
       259.45807       0.0000000
       269.50841       0.0000000
       279.94807       0.0000000
       290.79211       0.0000000
       302.05621       0.0000000
       313.75664       0.0000000
       325.91029       0.0000000
       338.53473       0.0000000
       351.64818       0.0000000
       365.26960       0.0000000
       379.41865       0.0000000
       394.11578       0.0000000
       409.38222       0.0000000
       425.24002       0.0000000
       441.71208       0.0000000
       458.82220       0.0000000
       476.59510       0.0000000
       495.05645       0.0000000
       514.23292       0.0000000
       534.15220       0.0000000
       554.84308       0.0000000
       576.33544       0.0000000
       598.66032       0.0000000
       621.84998       0.0000000
       645.93791       0.0000000
       670.95891       0.0000000
       696.94912       0.0000000
       723.94609       0.0000000
       751.98880       0.0000000
       781.11778       0.0000000
       811.37510       0.0000000
       842.80446       0.0000000
       875.45127       0.0000000
       909.36268       0.0000000
       944.58768       0.0000000
       981.17715       0.0000000
