;============================ SPDUST.2 ===============================
;
;    Rotational emission from a population of spinning dust grains,
;    as described by Ali-Haimoud, Hirata & Dickinson, 2009, MNRAS, 395, 1055
;    and in Silsbee, Ali-Haimoud & Hirata, 2010
;    for an environment with parameters given below. 
;
;    nH = 30.000000 cm^-3
;    T = 100.00000 K
;    Chi = 1.0000000
;    xh = 0.0010000000
;    xC = 0.00030000000
;    mu(1E-7 cm) = 9.1909739 debye (this corresponds to beta = 0.38000000 debye)
;
;Diklike grains are assumed to be randomly 
;
;=====================================================================
;
;nu(GHz)       j_nu/nH(Jy sr-1 cm2/H)     
;
      0.50959197   1.0321714e-23
      0.52933149   1.1466448e-23
      0.54983563   1.2764780e-23
      0.57113402   1.4241173e-23
      0.59325742   1.5924205e-23
      0.61623779   1.7847419e-23
      0.64010833   2.0050200e-23
      0.66490352   2.2578812e-23
      0.69065916   2.5487683e-23
      0.71741248   2.8840767e-23
      0.74520212   3.2713241e-23
      0.77406820   3.7193502e-23
      0.80405245   4.2385637e-23
      0.83519816   4.8412322e-23
      0.86755033   5.5417618e-23
      0.90115569   6.3571067e-23
      0.93606278   7.3072328e-23
      0.97232204   8.4156563e-23
       1.0099858   9.7100090e-23
       1.0491086   1.1222801e-22
       1.0897467   1.2992294e-22
       1.1319591   1.5063500e-22
       1.1758066   1.7489305e-22
       1.2213525   2.0331916e-22
       1.2686627   2.3664445e-22
       1.3178055   2.7572837e-22
       1.3688519   3.2158032e-22
       1.4218757   3.7538607e-22
       1.4769534   4.3853881e-22
       1.5341645   5.1267322e-22
       1.5935918   5.9970837e-22
       1.6553210   7.0189730e-22
       1.7194414   8.2188069e-22
       1.7860455   9.6275679e-22
       1.8552297   1.1281597e-21
       1.9270937   1.3223447e-21
       2.0017414   1.5502995e-21
       2.0792807   1.8178717e-21
       2.1598236   2.1318983e-21
       2.2434863   2.5003895e-21
       2.3303898   2.9327263e-21
       2.4206596   3.4398706e-21
       2.5144261   4.0346495e-21
       2.6118247   4.7320678e-21
       2.7129962   5.5496602e-21
       2.8180866   6.5079109e-21
       2.9272477   7.6307614e-21
       3.0406374   8.9461572e-21
       3.1584193   1.0486734e-20
       3.2807635   1.2290558e-20
       3.4078469   1.4402031e-20
       3.5398530   1.6872947e-20
       3.6769725   1.9763650e-20
       3.8194034   2.3144401e-20
       3.9673515   2.7097020e-20
       4.1210305   3.1716678e-20
       4.2806624   3.7114024e-20
       4.4464778   4.3417571e-20
       4.6187162   5.0776412e-20
       4.7976264   5.9363389e-20
       4.9834669   6.9378590e-20
       5.1765061   8.1053350e-20
       5.3770228   9.4654546e-20
       5.5853067   1.1048962e-19
       5.8016587   1.2891167e-19
       6.0263913   1.5032538e-19
       6.2598291   1.7519256e-19
       6.5023094   2.0403876e-19
       6.7541823   2.3745945e-19
       7.0158118   2.7612439e-19
       7.2875757   3.2078294e-19
       7.5698666   3.7226855e-19
       7.8630924   4.3149749e-19
       8.1676765   4.9946744e-19
       8.4840590   5.7725120e-19
       8.8126968   6.6598548e-19
       9.1540647   7.6685269e-19
       9.5086558   8.8105316e-19
       9.8769823   1.0097772e-18
       10.259576   1.1541618e-18
       10.656990   1.3152455e-18
       11.069799   1.4939333e-18
       11.498598   1.6909083e-18
       11.944006   1.9066412e-18
       12.406668   2.1413036e-18
       12.887252   2.3947926e-18
       13.386452   2.6666904e-18
       13.904988   2.9563478e-18
       14.443611   3.2629045e-18
       15.003097   3.5853707e-18
       15.584256   3.9227509e-18
       16.187927   4.2741437e-18
       16.814981   4.6386847e-18
       17.466325   5.0157826e-18
       18.142899   5.4047021e-18
       18.845681   5.8046707e-18
       19.575685   6.2142109e-18
       20.333968   6.6311101e-18
       21.121623   7.0517239e-18
       21.939788   7.4709483e-18
       22.789646   7.8819881e-18
       23.672424   8.2763362e-18
       24.589397   8.6441880e-18
       25.541890   8.9748459e-18
       26.531278   9.2568815e-18
       27.558992   9.4787570e-18
       28.626515   9.6291708e-18
       29.735389   9.6974043e-18
       30.887217   9.6740251e-18
       32.083662   9.5520048e-18
       33.326452   9.3277906e-18
       34.617383   9.0024166e-18
       35.958319   8.5820218e-18
       37.351197   8.0775658e-18
       38.798030   7.5043085e-18
       40.300908   6.8806584e-18
       41.862000   6.2266438e-18
       43.483563   5.5623637e-18
       45.167939   4.9065516e-18
       46.917561   4.2752816e-18
       48.734956   3.6812557e-18
       50.622749   3.1335769e-18
       52.583668   2.6378945e-18
       54.620545   2.1968554e-18
       56.736322   1.8106873e-18
       58.934055   1.4777476e-18
       61.216920   1.1950234e-18
       63.588214   9.5852851e-19
       66.051362   7.6357869e-19
       68.609922   6.0501731e-19
       71.267591   4.7745663e-19
       74.028206   3.7558505e-19
       76.895757   2.9452014e-19
       79.874385   2.3009631e-19
       82.968393   1.7897950e-19
       86.182250   1.3858790e-19
       89.520598   1.0689264e-19
       92.988261   8.2219204e-20
       96.590247   6.3132572e-20
       100.33176   4.8408891e-20
       104.21820   3.7044889e-20
       108.25519   2.8258762e-20
       112.44855   2.1464267e-20
       116.80435   1.6225237e-20
       121.32888   1.2208487e-20
       126.02866   9.1492668e-21
       130.91050   6.8327909e-21
       135.98144   5.0861865e-21
       141.24880   3.7736013e-21
       146.72021   2.7904512e-21
       152.40355   2.0567818e-21
       158.30704   1.5112991e-21
       164.43921   1.1069740e-21
       170.80891   8.0800345e-22
       177.42535   5.8747348e-22
       184.29809   4.2532296e-22
       191.43704   3.0658442e-22
       198.85253   2.2002094e-22
       206.55527   1.5717518e-22
       214.55638   1.1171892e-22
       222.86742   7.8966987e-23
       231.50039   5.5477732e-23
       240.46777   3.8725465e-23
       249.78251   2.6851377e-23
       259.45807   1.8487240e-23
       269.50841   1.2631807e-23
       279.94807   8.5591760e-24
       290.79211   5.7471312e-24
       302.05621   3.8215737e-24
       313.75664   2.5150806e-24
       325.91029   1.6372302e-24
       338.53473   1.0533944e-24
       351.64818   6.6928870e-25
       365.26960   4.1952018e-25
       379.41865   2.5915702e-25
       394.11578   1.5761523e-25
       409.38222   9.4282915e-26
       425.24002   5.5418115e-26
       441.71208   3.1973751e-26
       458.82220   1.8082347e-26
       476.59510   1.0006010e-26
       495.05645   5.4066408e-27
       514.23292   2.8468549e-27
       534.15220   1.4577856e-27
       554.84308   7.2422040e-28
       576.33544   3.4801555e-28
       598.66032   1.6108745e-28
       621.84998   7.1485408e-29
       645.93791   3.0268899e-29
       670.95891   1.2172144e-29
       696.94912   4.6040041e-30
       723.94609   1.6462473e-30
       751.98880   5.4864393e-31
       781.11778   1.6891898e-31
       811.37510   4.7582067e-32
       842.80446   1.2132911e-32
       875.45127       0.0000000
       909.36268       0.0000000
       944.58768       0.0000000
       981.17715       0.0000000
