;============================ SPDUST.2 ===============================
;
;    Rotational emission from a population of spinning dust grains,
;    as described by Ali-Haimoud, Hirata & Dickinson, 2009, MNRAS, 395, 1055
;    and in Silsbee, Ali-Haimoud & Hirata, 2010
;    for an environment with parameters given below. 
;
;    nH = 30.000000 cm^-3
;    T = 100.00000 K
;    Chi = 1.0000000
;    xh = 0.0010000000
;    xC = 0.00030000000
;    mu(1E-7 cm) = 9.1909739 debye (this corresponds to beta = 0.38000000 debye)
;
;Diklike grains are assumed to be randomly 
;
;=====================================================================
;
;nu(GHz)       j_nu/nH(Jy sr-1 cm2/H)     
;
      0.50959197   1.3861097e-23
      0.52933149   1.5348186e-23
      0.54983563   1.6972775e-23
      0.57113402   1.8755108e-23
      0.59325742   2.0719840e-23
      0.61623779   2.2896589e-23
      0.64010833   2.5320096e-23
      0.66490352   2.8030970e-23
      0.69065916   3.1076359e-23
      0.71741248   3.4510853e-23
      0.74520212   3.8397673e-23
      0.77406820   4.2810181e-23
      0.80405245   4.7833855e-23
      0.83519816   5.3568561e-23
      0.86755033   6.0131265e-23
      0.90115569   6.7659222e-23
      0.93606278   7.6313672e-23
      0.97232204   8.6284365e-23
       1.0099858   9.7794516e-23
       1.0491086   1.1110701e-22
       1.0897467   1.2653119e-22
       1.1319591   1.4443139e-22
       1.1758066   1.6523687e-22
       1.2213525   1.8945324e-22
       1.2686627   2.1767669e-22
       1.3178055   2.5060925e-22
       1.3688519   2.8907811e-22
       1.4218757   3.3405811e-22
       1.4769534   3.8669780e-22
       1.5341645   4.4835061e-22
       1.5935918   5.2061093e-22
       1.6553210   6.0535684e-22
       1.7194414   7.0479989e-22
       1.7860455   8.2154510e-22
       1.8552297   9.5865938e-22
       1.9270937   1.1197526e-21
       2.0017414   1.3090744e-21
       2.0792807   1.5316255e-21
       2.1598236   1.7932888e-21
       2.2434863   2.1009844e-21
       2.3303898   2.4628512e-21
       2.4206596   2.8884569e-21
       2.5144261   3.3890479e-21
       2.6118247   3.9778405e-21
       2.7129962   4.6703620e-21
       2.8180866   5.4848477e-21
       2.9272477   6.4427107e-21
       3.0406374   7.5690821e-21
       3.1584193   8.8934547e-21
       3.2807635   1.0450422e-20
       3.4078469   1.2280549e-20
       3.5398530   1.4431377e-20
       3.6769725   1.6958608e-20
       3.8194034   1.9927471e-20
       3.9673515   2.3414320e-20
       4.1210305   2.7508449e-20
       4.2806624   3.2314267e-20
       4.4464778   3.7953724e-20
       4.6187162   4.4569179e-20
       4.7976264   5.2326603e-20
       4.9834669   6.1419333e-20
       5.1765061   7.2072314e-20
       5.3770228   8.4546961e-20
       5.5853067   9.9146405e-20
       5.8016587   1.1622168e-19
       6.0263913   1.3617825e-19
       6.2598291   1.5948323e-19
       6.5023094   1.8667366e-19
       6.7541823   2.1836423e-19
       7.0158118   2.5525551e-19
       7.2875757   2.9814358e-19
       7.5698666   3.4792590e-19
       7.8630924   4.0560986e-19
       8.1676765   4.7231499e-19
       8.4840590   5.4927644e-19
       8.8126968   6.3784221e-19
       9.1540647   7.3946507e-19
       9.5086558   8.5568140e-19
       9.8769823   9.8809879e-19
       10.259576   1.1383475e-18
       10.656990   1.3080438e-18
       11.069799   1.4987427e-18
       11.498598   1.7118536e-18
       11.944006   1.9485838e-18
       12.406668   2.2098617e-18
       12.887252   2.4962747e-18
       13.386452   2.8079825e-18
       13.904988   3.1447538e-18
       14.443611   3.5058492e-18
       15.003097   3.8901655e-18
       15.584256   4.2962331e-18
       16.187927   4.7223135e-18
       16.814981   5.1666121e-18
       17.466325   5.6272543e-18
       18.142899   6.1024988e-18
       18.845681   6.5906761e-18
       19.575685   7.0900353e-18
       20.333968   7.5986291e-18
       21.121623   8.1137007e-18
       21.939788   8.6316442e-18
       22.789646   9.1469766e-18
       23.672424   9.6524491e-18
       24.589397   1.0138743e-17
       25.541890   1.0594465e-17
       26.531278   1.1006654e-17
       27.558992   1.1361392e-17
       28.626515   1.1644484e-17
       29.735389   1.1842264e-17
       30.887217   1.1942181e-17
       32.083662   1.1933431e-17
       33.326452   1.1807611e-17
       34.617383   1.1559716e-17
       35.958319   1.1189570e-17
       37.351197   1.0702767e-17
       38.798030   1.0111043e-17
       40.300908   9.4317395e-18
       41.862000   8.6862969e-18
       43.483563   7.8984161e-18
       45.167939   7.0921849e-18
       46.917561   6.2901896e-18
       48.734956   5.5122019e-18
       50.622749   4.7743351e-18
       52.583668   4.0885936e-18
       54.620545   3.4629815e-18
       56.736322   2.9019091e-18
       58.934055   2.4067523e-18
       61.216920   1.9764556e-18
       63.588214   1.6081352e-18
       66.051362   1.2975494e-18
       68.609922   1.0394613e-18
       71.267591   8.2792120e-19
       74.028206   6.5654298e-19
       76.895757   5.1886077e-19
       79.874385   4.0876040e-19
       82.968393   3.2087532e-19
       86.182250   2.5081219e-19
       89.520598   1.9513587e-19
       92.988261   1.5116459e-19
       96.590247   1.1671396e-19
       100.33176   8.9917458e-20
       104.21820   6.9163331e-20
       108.25519   5.3100841e-20
       112.44855   4.0653009e-20
       116.80435   3.0999213e-20
       121.32888   2.3526819e-20
       126.02866   1.7771626e-20
       130.91050   1.3368252e-20
       135.98144   1.0020306e-20
       141.24880   7.4869710e-21
       146.72021   5.5766482e-21
       152.40355   4.1405727e-21
       158.30704   3.0647287e-21
       164.43921   2.2616937e-21
       170.80891   1.6642228e-21
       177.42535   1.2207963e-21
       184.29809   8.9240171e-22
       191.43704   6.4983200e-22
       198.85253   4.7128831e-22
       206.55527   3.4041426e-22
       214.55638   2.4486985e-22
       222.86742   1.7536478e-22
       231.50039   1.2497124e-22
       240.46777   8.8574659e-23
       249.78251   6.2413388e-23
       259.45807   4.3713681e-23
       269.50841   3.0424158e-23
       279.94807   2.1032343e-23
       290.79211   1.4432489e-23
       302.05621   9.8235072e-24
       313.75664   6.6280515e-24
       325.91029   4.4306419e-24
       338.53473   2.9327573e-24
       351.64818   1.9210062e-24
       365.26960   1.2441417e-24
       379.41865   7.9597136e-25
       394.11578   5.0256915e-25
       409.38222   3.1286240e-25
       425.24002   1.9185621e-25
       441.71208   1.1578933e-25
       458.82220   6.8709007e-26
       476.59510   4.0041854e-26
       495.05645   2.2884609e-26
       514.23292   1.2804707e-26
       534.15220   7.0019364e-27
       554.84308   3.7353890e-27
       576.33544   1.9404982e-27
       598.66032   9.7926079e-28
       621.84998   4.7841349e-28
       645.93791   2.2539079e-28
       670.95891   1.0192166e-28
       696.94912   4.4042492e-29
       723.94609   1.8103765e-29
       751.98880   7.0417242e-30
       781.11778   2.5603244e-30
       811.37510   8.7461506e-31
       842.80446   2.7594410e-31
       875.45127   7.9647470e-32
       909.36268   2.0822416e-32
       944.58768       0.0000000
       981.17715       0.0000000
