;============================ SPDUST.2 ===============================
;
;    Rotational emission from a population of spinning dust grains,
;    as described by Ali-Haimoud, Hirata & Dickinson, 2009, MNRAS, 395, 1055
;    and in Silsbee, Ali-Haimoud & Hirata, 2010
;    for an environment with parameters given below. 
;
;    nH = 0.400000 cm^-3
;    T = 6000.0000 K
;    Chi = 1.0000000
;    xh = 0.10000000
;    xC = 0.00030000000
;    mu(1E-7 cm) = 9.1909739 debye (this corresponds to beta = 0.38000000 debye)
;
;Diklike grains are assumed to be randomly 
;
;=====================================================================
;
;nu(GHz)       j_nu/nH(Jy sr-1 cm2/H)     
;
      0.50959197   1.3799495e-23
      0.52933149   1.5271872e-23
      0.54983563   1.6903829e-23
      0.57113402   1.8721204e-23
      0.59325742   2.0754132e-23
      0.61623779   2.3037516e-23
      0.64010833   2.5611714e-23
      0.66490352   2.8523164e-23
      0.69065916   3.1825577e-23
      0.71741248   3.5581384e-23
      0.74520212   3.9863230e-23
      0.77406820   4.4756104e-23
      0.80405245   5.0359124e-23
      0.83519816   5.6788581e-23
      0.86755033   6.4181051e-23
      0.90115569   7.2696877e-23
      0.93606278   8.2524565e-23
      0.97232204   9.3885324e-23
       1.0099858   1.0703959e-22
       1.0491086   1.2229401e-22
       1.0897467   1.4000955e-22
       1.1319591   1.6061117e-22
       1.1758066   1.8459927e-22
       1.2213525   2.1256404e-22
       1.2686627   2.4520095e-22
       1.3178055   2.8333002e-22
       1.3688519   3.2791769e-22
       1.4218757   3.8010448e-22
       1.4769534   4.4123497e-22
       1.5341645   5.1289555e-22
       1.5935918   5.9695744e-22
       1.6553210   6.9562952e-22
       1.7194414   8.1151623e-22
       1.7860455   9.4769192e-22
       1.8552297   1.1077852e-21
       1.9270937   1.2960779e-21
       2.0017414   1.5176234e-21
       2.0792807   1.7783862e-21
       2.1598236   2.0854065e-21
       2.2434863   2.4469919e-21
       2.3303898   2.8729522e-21
       2.4206596   3.3748587e-21
       2.5144261   3.9663688e-21
       2.6118247   4.6636018e-21
       2.7129962   5.4855744e-21
       2.8180866   6.4547200e-21
       2.9272477   7.5974968e-21
       3.0406374   8.9451084e-21
       3.1584193   1.0534331e-20
       3.2807635   1.2408510e-20
       3.4078469   1.4618702e-20
       3.5398530   1.7225017e-20
       3.6769725   2.0298172e-20
       3.8194034   2.3921283e-20
       3.9673515   2.8192000e-20
       4.1210305   3.3224865e-20
       4.2806624   3.9154097e-20
       4.4464778   4.6136689e-20
       4.6187162   5.4356038e-20
       4.7976264   6.4025858e-20
       4.9834669   7.5394524e-20
       5.1765061   8.8749928e-20
       5.3770228   1.0442478e-19
       5.5853067   1.2280180e-19
       5.8016587   1.4431964e-19
       6.0263913   1.6947749e-19
       6.2598291   1.9884046e-19
       6.5023094   2.3304377e-19
       6.7541823   2.7279456e-19
       7.0158118   3.1887180e-19
       7.2875757   3.7212329e-19
       7.5698666   4.3346018e-19
       7.8630924   5.0383844e-19
       8.1676765   5.8424640e-19
       8.4840590   6.7567669e-19
       8.8126968   7.7908788e-19
       9.1540647   8.9537639e-19
       9.5086558   1.0253083e-18
       9.8769823   1.1694900e-18
       10.259576   1.3283095e-18
       10.656990   1.5018775e-18
       11.069799   1.6900083e-18
       11.498598   1.8921788e-18
       11.944006   2.1075702e-18
       12.406668   2.3350073e-18
       12.887252   2.5731376e-18
       13.386452   2.8203886e-18
       13.904988   3.0751366e-18
       14.443611   3.3358281e-18
       15.003097   3.6008998e-18
       15.584256   3.8689631e-18
       16.187927   4.1386355e-18
       16.814981   4.4083706e-18
       17.466325   4.6762718e-18
       18.142899   4.9397940e-18
       18.845681   5.1954678e-18
       19.575685   5.4387480e-18
       20.333968   5.6639346e-18
       21.121623   5.8643196e-18
       21.939788   6.0325868e-18
       22.789646   6.1612795e-18
       23.672424   6.2432734e-18
       24.589397   6.2723775e-18
       25.541890   6.2436381e-18
       26.531278   6.1536448e-18
       27.558992   6.0007866e-18
       28.626515   5.7857418e-18
       29.735389   5.5119918e-18
       30.887217   5.1860203e-18
       32.083662   4.8171999e-18
       33.326452   4.4170593e-18
       34.617383   3.9982547e-18
       35.958319   3.5734724e-18
       37.351197   3.1544055e-18
       38.798030   2.7510594e-18
       40.300908   2.3713578e-18
       41.862000   2.0210046e-18
       43.483563   1.7035891e-18
       45.167939   1.4208444e-18
       46.917561   1.1729790e-18
       48.734956   9.5901151e-19
       50.622749   7.7707478e-19
       52.583668   6.2464347e-19
       54.620545   4.9874115e-19
       56.736322   3.9608944e-19
       58.934055   3.1327377e-19
       61.216920   2.4694213e-19
       63.588214   1.9401724e-19
       66.051362   1.5186437e-19
       68.609922   1.1835860e-19
       71.267591   9.1837803e-20
       74.028206   7.0986224e-20
       76.895757   5.4716818e-20
       79.874385   4.2100202e-20
       82.968393   3.2344806e-20
       86.182250   2.4800648e-20
       89.520598   1.8958772e-20
       92.988261   1.4434909e-20
       96.590247   1.0941416e-20
       100.33176   8.2578597e-21
       104.21820   6.2093097e-21
       108.25519   4.6540823e-21
       112.44855   3.4781494e-21
       116.80435   2.5917389e-21
       121.32888   1.9255729e-21
       126.02866   1.4265878e-21
       130.91050   1.0540531e-21
       135.98144   7.7667223e-22
       141.24880   5.7056746e-22
       146.72021   4.1773661e-22
       152.40355   3.0471802e-22
       158.30704   2.2143761e-22
       164.43921   1.6030835e-22
       170.80891   1.1559827e-22
       177.42535   8.2999300e-23
       184.29809   5.9306752e-23
       191.43704   4.2154347e-23
       198.85253   2.9796603e-23
       206.55527   2.0940695e-23
       214.55638   1.4627969e-23
       222.86742   1.0151238e-23
       231.50039   6.9936002e-24
       240.46777   4.7801139e-24
       249.78251   3.2396132e-24
       259.45807   2.1759753e-24
       269.50841   1.4477016e-24
       279.94807   9.5336081e-25
       290.79211   6.2088737e-25
       302.05621   3.9952577e-25
       313.75664   2.5378121e-25
       325.91029   1.5899238e-25
       338.53473   9.8156119e-26
       351.64818   5.9662092e-26
       365.26960   3.5667709e-26
       379.41865   2.0947375e-26
       394.11578   1.2068258e-26
       409.38222   6.8098591e-27
       425.24002   3.7576810e-27
       441.71208   2.0245008e-27
       458.82220   1.0629864e-27
       476.59510   5.4259912e-28
       495.05645   2.6835322e-28
       514.23292   1.2807293e-28
       534.15220   5.8724933e-29
       554.84308   2.5769498e-29
       576.33544   1.0769924e-29
       598.66032   4.2632199e-30
       621.84998   1.5872938e-30
       645.93791   5.4676906e-31
       670.95891   1.7601010e-31
       696.94912   5.1849659e-32
       723.94609   1.3837454e-32
       751.98880   3.3036449e-33
       781.11778       0.0000000
       811.37510       0.0000000
       842.80446       0.0000000
       875.45127       0.0000000
       909.36268       0.0000000
       944.58768       0.0000000
       981.17715       0.0000000
