;============================ SPDUST.2 ===============================
;
;    Rotational emission from a population of spinning dust grains,
;    as described by Ali-Haimoud, Hirata & Dickinson, 2009, MNRAS, 395, 1055
;    and in Silsbee, Ali-Haimoud & Hirata, 2010
;    for an environment with parameters given below. 
;
;    nH = 10000.000 cm^-3
;    T = 10.000000 K
;    Chi = 0.00010000000
;    xh = 0.0000000
;    xC = 1.0000000e-06
;    mu(1E-7 cm) = 9.1909739 debye (this corresponds to beta = 0.38000000 debye)
;
;Diklike grains are assumed to be randomly 
;
;=====================================================================
;
;nu(GHz)       j_nu/nH(Jy sr-1 cm2/H)     
;
      0.50959197   1.2893515e-23
      0.52933149   1.5033204e-23
      0.54983563   1.7548370e-23
      0.57113402   2.0505384e-23
      0.59325742   2.3982218e-23
      0.61623779   2.8070348e-23
      0.64010833   3.2877124e-23
      0.66490352   3.8528385e-23
      0.69065916   4.5171631e-23
      0.71741248   5.2979551e-23
      0.74520212   6.2154284e-23
      0.77406820   7.2932259e-23
      0.80405245   8.5589894e-23
      0.83519816   1.0045007e-22
      0.86755033   1.1788974e-22
      0.90115569   1.3834864e-22
      0.93606278   1.6233942e-22
      0.97232204   1.9045945e-22
       1.0099858   2.2340424e-22
       1.0491086   2.6198263e-22
       1.0897467   3.0713491e-22
       1.1319591   3.5995357e-22
       1.1758066   4.2170670e-22
       1.2213525   4.9386503e-22
       1.2686627   5.7813242e-22
       1.3178055   6.7648177e-22
       1.3688519   7.9119598e-22
       1.4218757   9.2491499e-22
       1.4769534   1.0806862e-21
       1.5341645   1.2620247e-21
       1.5935918   1.4729841e-21
       1.6553210   1.7182314e-21
       1.7194414   2.0031407e-21
       1.7860455   2.3338806e-21
       1.8552297   2.7175356e-21
       1.9270937   3.1622240e-21
       2.0017414   3.6772532e-21
       2.0792807   4.2732631e-21
       2.1598236   4.9624100e-21
       2.2434863   5.7585430e-21
       2.3303898   6.6774450e-21
       2.4206596   7.7370597e-21
       2.5144261   8.9577578e-21
       2.6118247   1.0362603e-20
       2.7129962   1.1977643e-20
       2.8180866   1.3832248e-20
       2.9272477   1.5959484e-20
       3.0406374   1.8396424e-20
       3.1584193   2.1184543e-20
       3.2807635   2.4369937e-20
       3.4078469   2.8003869e-20
       3.5398530   3.2142938e-20
       3.6769725   3.6849580e-20
       3.8194034   4.2191899e-20
       3.9673515   4.8244068e-20
       4.1210305   5.5086166e-20
       4.2806624   6.2804395e-20
       4.4464778   7.1490487e-20
       4.6187162   8.1241308e-20
       4.7976264   9.2158107e-20
       4.9834669   1.0434601e-19
       5.1765061   1.1791293e-19
       5.3770228   1.3296849e-19
       5.5853067   1.4962253e-19
       5.8016587   1.6798435e-19
       6.0263913   1.8816204e-19
       6.2598291   2.1026185e-19
       6.5023094   2.3438786e-19
       6.7541823   2.6064248e-19
       7.0158118   2.8912889e-19
       7.2875757   3.1995398e-19
       7.5698666   3.5323201e-19
       7.8630924   3.8908923e-19
       8.1676765   4.2766960e-19
       8.4840590   4.6914590e-19
       8.8126968   5.1372462e-19
       9.1540647   5.6165516e-19
       9.5086558   6.1323437e-19
       9.8769823   6.6881625e-19
       10.259576   7.2881414e-19
       10.656990   7.9369730e-19
       11.069799   8.6398352e-19
       11.498598   9.4022621e-19
       11.944006   1.0229985e-18
       12.406668   1.1128690e-18
       12.887252   1.2103609e-18
       13.386452   1.3159274e-18
       13.904988   1.4299123e-18
       14.443611   1.5525202e-18
       15.003097   1.6837866e-18
       15.584256   1.8235533e-18
       16.187927   1.9714617e-18
       16.814981   2.1269440e-18
       17.466325   2.2892106e-18
       18.142899   2.4572551e-18
       18.845681   2.6298439e-18
       19.575685   2.8055151e-18
       20.333968   2.9825700e-18
       21.121623   3.1590601e-18
       21.939788   3.3327839e-18
       22.789646   3.5012980e-18
       23.672424   3.6618861e-18
       24.589397   3.8116119e-18
       25.541890   3.9473288e-18
       26.531278   4.0657200e-18
       27.558992   4.1633523e-18
       28.626515   4.2367346e-18
       29.735389   4.2824059e-18
       30.887217   4.2970480e-18
       32.083662   4.2776402e-18
       33.326452   4.2216438e-18
       34.617383   4.1272116e-18
       35.958319   3.9934386e-18
       37.351197   3.8206067e-18
       38.798030   3.6104150e-18
       40.300908   3.3661577e-18
       41.862000   3.0927929e-18
       43.483563   2.7968885e-18
       45.167939   2.4864032e-18
       46.917561   2.1702608e-18
       48.734956   1.8577771e-18
       50.622749   1.5579775e-18
       52.583668   1.2788773e-18
       54.620545   1.0268384e-18
       56.736322   8.0611470e-19
       58.934055   6.1865541e-19
       61.216920   4.6420493e-19
       63.588214   3.4065759e-19
       66.051362   2.4459648e-19
       68.609922   1.7188750e-19
       71.267591   1.1822364e-19
       74.028206   7.9549698e-20
       76.895757   5.2305591e-20
       79.874385   3.3545767e-20
       82.968393   2.0932567e-20
       86.182250   1.2670184e-20
       89.520598   7.4127729e-21
       92.988261   4.1781538e-21
       96.590247   2.2599213e-21
       100.33176   1.1687009e-21
       104.21820   5.7572533e-22
       108.25519   2.6916843e-22
       112.44855   1.1851948e-22
       116.80435   4.9407220e-23
       121.32888   1.9311268e-23
       126.02866   7.0467885e-24
       130.91050   2.3898649e-24
       135.98144       0.0000000
       141.24880       0.0000000
       146.72021       0.0000000
       152.40355       0.0000000
       158.30704       0.0000000
       164.43921       0.0000000
       170.80891       0.0000000
       177.42535       0.0000000
       184.29809       0.0000000
       191.43704       0.0000000
       198.85253       0.0000000
       206.55527       0.0000000
       214.55638       0.0000000
       222.86742       0.0000000
       231.50039       0.0000000
       240.46777       0.0000000
       249.78251       0.0000000
       259.45807       0.0000000
       269.50841       0.0000000
       279.94807       0.0000000
       290.79211       0.0000000
       302.05621       0.0000000
       313.75664       0.0000000
       325.91029       0.0000000
       338.53473       0.0000000
       351.64818       0.0000000
       365.26960       0.0000000
       379.41865       0.0000000
       394.11578       0.0000000
       409.38222       0.0000000
       425.24002       0.0000000
       441.71208       0.0000000
       458.82220       0.0000000
       476.59510       0.0000000
       495.05645       0.0000000
       514.23292       0.0000000
       534.15220       0.0000000
       554.84308       0.0000000
       576.33544       0.0000000
       598.66032       0.0000000
       621.84998       0.0000000
       645.93791       0.0000000
       670.95891       0.0000000
       696.94912       0.0000000
       723.94609       0.0000000
       751.98880       0.0000000
       781.11778       0.0000000
       811.37510       0.0000000
       842.80446       0.0000000
       875.45127       0.0000000
       909.36268       0.0000000
       944.58768       0.0000000
       981.17715       0.0000000
