;============================ SPDUST.2 ===============================
;
;    Rotational emission from a population of spinning dust grains,
;    as described by Ali-Haimoud, Hirata & Dickinson, 2009, MNRAS, 395, 1055
;    and in Silsbee, Ali-Haimoud & Hirata, 2010
;    for an environment with parameters given below. 
;
;    nH = 30.000000 cm^-3
;    T = 100.00000 K
;    Chi = 1.0000000
;    xh = 0.0010000000
;    xC = 0.00030000000
;    mu(1E-7 cm) = 9.1909739 debye (this corresponds to beta = 0.38000000 debye)
;
;Diklike grains are assumed to be randomly 
;
;=====================================================================
;
;nu(GHz)       j_nu/nH(Jy sr-1 cm2/H)     
;
      0.50959197   1.1526394e-23
      0.52933149   1.2734262e-23
      0.54983563   1.4091273e-23
      0.57113402   1.5621017e-23
      0.59325742   1.7350707e-23
      0.61623779   1.9311995e-23
      0.64010833   2.1541954e-23
      0.66490352   2.4083895e-23
      0.69065916   2.6988572e-23
      0.71741248   3.0315657e-23
      0.74520212   3.4135234e-23
      0.77406820   3.8529666e-23
      0.80405245   4.3595835e-23
      0.83519816   4.9447708e-23
      0.86755033   5.6219473e-23
      0.90115569   6.4068943e-23
      0.93606278   7.3181916e-23
      0.97232204   8.3777318e-23
       1.0099858   9.6112643e-23
       1.0491086   1.1049113e-22
       1.0897467   1.2727001e-22
       1.1319591   1.4686953e-22
       1.1758066   1.6978438e-22
       1.2213525   1.9659720e-22
       1.2686627   2.2799318e-22
       1.3178055   2.6477840e-22
       1.3688519   3.0790191e-22
       1.4218757   3.5847922e-22
       1.4769534   4.1782188e-22
       1.5341645   4.8747283e-22
       1.5935918   5.6924536e-22
       1.6553210   6.6526894e-22
       1.7194414   7.7804707e-22
       1.7860455   9.1051976e-22
       1.8552297   1.0661395e-21
       1.9270937   1.2489580e-21
       2.0017414   1.4637314e-21
       2.0792807   1.7160403e-21
       2.1598236   2.0124295e-21
       2.2434863   2.3605737e-21
       2.3303898   2.7694682e-21
       2.4206596   3.2496600e-21
       2.5144261   3.8134997e-21
       2.6118247   4.4754518e-21
       2.7129962   5.2524573e-21
       2.8180866   6.1643456e-21
       2.9272477   7.2343157e-21
       3.0406374   8.4895013e-21
       3.1584193   9.9616369e-21
       3.2807635   1.1687817e-20
       3.4078469   1.3711383e-20
       3.5398530   1.6082934e-20
       3.6769725   1.8861547e-20
       3.8194034   2.2116151e-20
       3.9673515   2.5927152e-20
       4.1210305   3.0388206e-20
       4.2806624   3.5608376e-20
       4.4464778   4.1714570e-20
       4.6187162   4.8854340e-20
       4.7976264   5.7199079e-20
       4.9834669   6.6947507e-20
       5.1765061   7.8329841e-20
       5.3770228   9.1612281e-20
       5.5853067   1.0710205e-19
       5.8016587   1.2515312e-19
       6.0263913   1.4617197e-19
       6.2598291   1.7062418e-19
       6.5023094   1.9904118e-19
       6.7541823   2.3202658e-19
       7.0158118   2.7026357e-19
       7.2875757   3.1451978e-19
       7.5698666   3.6565190e-19
       7.8630924   4.2460949e-19
       8.1676765   4.9243435e-19
       8.4840590   5.7025476e-19
       8.8126968   6.5928098e-19
       9.1540647   7.6078488e-19
       9.5086558   8.7607882e-19
       9.8769823   1.0064890e-18
       10.259576   1.1533045e-18
       10.656990   1.3177543e-18
       11.069799   1.5009252e-18
       11.498598   1.7037189e-18
       11.944006   1.9268105e-18
       12.406668   2.1705777e-18
       12.887252   2.4350734e-18
       13.386452   2.7200238e-18
       13.904988   3.0248131e-18
       14.443611   3.3485596e-18
       15.003097   3.6901607e-18
       15.584256   4.0483881e-18
       16.187927   4.4220343e-18
       16.814981   4.8099641e-18
       17.466325   5.2111277e-18
       18.142899   5.6246176e-18
       18.845681   6.0493970e-18
       19.575685   6.4841196e-18
       20.333968   6.9267153e-18
       21.121623   7.3739914e-18
       21.939788   7.8212752e-18
       22.789646   8.2620756e-18
       23.672424   8.6883072e-18
       24.589397   9.0899508e-18
       25.541890   9.4559124e-18
       26.531278   9.7742596e-18
       27.558992   1.0032755e-17
       28.626515   1.0219405e-17
       29.735389   1.0322667e-17
       30.887217   1.0332203e-17
       32.083662   1.0239697e-17
       33.326452   1.0039992e-17
       34.617383   9.7322695e-18
       35.958319   9.3209538e-18
       37.351197   8.8158857e-18
       38.798030   8.2317412e-18
       40.300908   7.5870122e-18
       41.862000   6.9024146e-18
       43.483563   6.1992585e-18
       45.167939   5.4979084e-18
       46.917561   4.8163586e-18
       48.734956   4.1692989e-18
       50.622749   3.5677487e-18
       52.583668   3.0190324e-18
       54.620545   2.5271652e-18
       56.736322   2.0933968e-18
       58.934055   1.7167795e-18
       61.216920   1.3947197e-18
       63.588214   1.1234341e-18
       66.051362   8.9827642e-19
       68.609922   7.1399314e-19
       71.267591   5.6496430e-19
       74.028206   4.4550013e-19
       76.895757   3.5020880e-19
       79.874385   2.7434682e-19
       82.968393   2.1402407e-19
       86.182250   1.6619946e-19
       89.520598   1.2850839e-19
       92.988261   9.9037567e-20
       96.590247   7.6162210e-20
       100.33176   5.8483847e-20
       104.21820   4.4831997e-20
       108.25519   3.4274098e-20
       112.44855   2.6100578e-20
       116.80435   1.9783270e-20
       121.32888   1.4923794e-20
       126.02866   1.1210080e-20
       130.91050   8.3898843e-21
       135.98144   6.2586503e-21
       141.24880   4.6537764e-21
       146.72021   3.4491000e-21
       152.40355   2.5480036e-21
       158.30704   1.8765023e-21
       164.43921   1.3777623e-21
       170.80891   1.0082968e-21
       177.42535   7.3521835e-22
       184.29809   5.3393474e-22
       191.43704   3.8611432e-22
       198.85253   2.7802313e-22
       206.55527   1.9931786e-22
       214.55638   1.4222568e-22
       222.86742   1.0096024e-22
       231.50039   7.1256588e-23
       240.46777   4.9983471e-23
       249.78251   3.4837053e-23
       259.45807   2.4118368e-23
       269.50841   1.6578429e-23
       279.94807   1.1306737e-23
       290.79211   7.6455337e-24
       302.05621   5.1222706e-24
       313.75664   3.3982094e-24
       325.91029   2.2311202e-24
       338.53473   1.4487187e-24
       351.64818   9.2955869e-25
       365.26960   5.8883653e-25
       379.41865   3.6788015e-25
       394.11578   2.2645156e-25
       409.38222   1.3720759e-25
       425.24002   8.1753755e-26
       441.71208   4.7855993e-26
       458.82220   2.7488385e-26
       476.59510   1.5469211e-26
       495.05645   8.5129691e-27
       514.23292   4.5722703e-27
       534.15220   2.3921273e-27
       554.84308   1.2165910e-27
       576.33544   5.9984311e-28
       598.66032   2.8574669e-28
       621.84998   1.3092411e-28
       645.93791   5.7427321e-29
       670.95891   2.4002395e-29
       696.94912   9.5147879e-30
       723.94609   3.5410228e-30
       751.98880   1.2428439e-30
       781.11778   4.0523079e-31
       811.37510   1.2160661e-31
       842.80446   3.3260256e-32
       875.45127       0.0000000
       909.36268       0.0000000
       944.58768       0.0000000
       981.17715       0.0000000
