;============================ SPDUST.2 ===============================
;
;    Rotational emission from a population of spinning dust grains,
;    as described by Ali-Haimoud, Hirata & Dickinson, 2009, MNRAS, 395, 1055
;    and in Silsbee, Ali-Haimoud & Hirata, 2010
;    for an environment with parameters given below. 
;
;    nH = 10000.000 cm^-3
;    T = 10.000000 K
;    Chi = 0.00010000000
;    xh = 0.0000000
;    xC = 1.0000000e-06
;    mu(1E-7 cm) = 9.1909739 debye (this corresponds to beta = 0.38000000 debye)
;
;Diklike grains are assumed to be randomly 
;
;=====================================================================
;
;nu(GHz)       j_nu/nH(Jy sr-1 cm2/H)     
;
      0.50959197   1.2895184e-23
      0.52933149   1.5035268e-23
      0.54983563   1.7550898e-23
      0.57113402   2.0508461e-23
      0.59325742   2.3985936e-23
      0.61623779   2.8074816e-23
      0.64010833   3.2882471e-23
      0.66490352   3.8534756e-23
      0.69065916   4.5179195e-23
      0.71741248   5.2988492e-23
      0.74520212   6.2164832e-23
      0.77406820   7.2944656e-23
      0.80405245   8.5604441e-23
      0.83519816   1.0046710e-22
      0.86755033   1.1790961e-22
      0.90115569   1.3837176e-22
      0.93606278   1.6236631e-22
      0.97232204   1.9049064e-22
       1.0099858   2.2344033e-22
       1.0491086   2.6202433e-22
       1.0897467   3.0718299e-22
       1.1319591   3.6000890e-22
       1.1758066   4.2177032e-22
       1.2213525   4.9393799e-22
       1.2686627   5.7821588e-22
       1.3178055   6.7657712e-22
       1.3688519   7.9130474e-22
       1.4218757   9.2503893e-22
       1.4769534   1.0808270e-21
       1.5341645   1.2621843e-21
       1.5935918   1.4731646e-21
       1.6553210   1.7184354e-21
       1.7194414   2.0033708e-21
       1.7860455   2.3341394e-21
       1.8552297   2.7178258e-21
       1.9270937   3.1625484e-21
       2.0017414   3.6776164e-21
       2.0792807   4.2736674e-21
       2.1598236   4.9628595e-21
       2.2434863   5.7590400e-21
       2.3303898   6.6779931e-21
       2.4206596   7.7376634e-21
       2.5144261   8.9584197e-21
       2.6118247   1.0363326e-20
       2.7129962   1.1978427e-20
       2.8180866   1.3833095e-20
       2.9272477   1.5960393e-20
       3.0406374   1.8397400e-20
       3.1584193   2.1185574e-20
       3.2807635   2.4371014e-20
       3.4078469   2.8004982e-20
       3.5398530   3.2144077e-20
       3.6769725   3.6850725e-20
       3.8194034   4.2193010e-20
       3.9673515   4.8245107e-20
       4.1210305   5.5087079e-20
       4.2806624   6.2805138e-20
       4.4464778   7.1490971e-20
       4.6187162   8.1241426e-20
       4.7976264   9.2157729e-20
       4.9834669   1.0434499e-19
       5.1765061   1.1791111e-19
       5.3770228   1.3296566e-19
       5.5853067   1.4961842e-19
       5.8016587   1.6797866e-19
       6.0263913   1.8815448e-19
       6.2598291   2.1025207e-19
       6.5023094   2.3437545e-19
       6.7541823   2.6062700e-19
       7.0158118   2.8910991e-19
       7.2875757   3.1993103e-19
       7.5698666   3.5320468e-19
       7.8630924   3.8905693e-19
       8.1676765   4.2763191e-19
       8.4840590   4.6910244e-19
       8.8126968   5.1367510e-19
       9.1540647   5.6159920e-19
       9.5086558   6.1317162e-19
       9.8769823   6.6874661e-19
       10.259576   7.2873749e-19
       10.656990   7.9361357e-19
       11.069799   8.6389252e-19
       11.498598   9.4012782e-19
       11.944006   1.0228927e-18
       12.406668   1.1127557e-18
       12.887252   1.2102397e-18
       13.386452   1.3157979e-18
       13.904988   1.4297739e-18
       14.443611   1.5523723e-18
       15.003097   1.6836280e-18
       15.584256   1.8233828e-18
       16.187927   1.9712785e-18
       16.814981   2.1267469e-18
       17.466325   2.2889985e-18
       18.142899   2.4570266e-18
       18.845681   2.6295981e-18
       19.575685   2.8052509e-18
       20.333968   2.9822868e-18
       21.121623   3.1587570e-18
       21.939788   3.3324612e-18
       22.789646   3.5009546e-18
       23.672424   3.6615218e-18
       24.589397   3.8112269e-18
       25.541890   3.9469231e-18
       26.531278   4.0652942e-18
       27.558992   4.1629078e-18
       28.626515   4.2362720e-18
       29.735389   4.2819270e-18
       30.887217   4.2965542e-18
       32.083662   4.2771339e-18
       33.326452   4.2211279e-18
       34.617383   4.1266893e-18
       35.958319   3.9929139e-18
       37.351197   3.8200840e-18
       38.798030   3.6098992e-18
       40.300908   3.3656545e-18
       41.862000   3.0923074e-18
       43.483563   2.7964264e-18
       45.167939   2.4859706e-18
       46.917561   2.1698619e-18
       48.734956   1.8574159e-18
       50.622749   1.5576571e-18
       52.583668   1.2785990e-18
       54.620545   1.0266021e-18
       56.736322   8.0591885e-19
       58.934055   6.1849703e-19
       61.216920   4.6407997e-19
       63.588214   3.4056142e-19
       66.051362   2.4452424e-19
       68.609922   1.7183449e-19
       71.267591   1.1818563e-19
       74.028206   7.9523031e-20
       76.895757   5.2287292e-20
       79.874385   3.3533494e-20
       82.968393   2.0924536e-20
       86.182250   1.2665069e-20
       89.520598   7.4096141e-21
       92.988261   4.1762676e-21
       96.590247   2.2588377e-21
       100.33176   1.1681045e-21
       104.21820   5.7541212e-22
       108.25519   2.6901214e-22
       112.44855   1.1844622e-22
       116.80435   4.9374541e-23
       121.32888   1.9297598e-23
       126.02866   7.0414497e-24
       130.91050   2.3879269e-24
       135.98144       0.0000000
       141.24880       0.0000000
       146.72021       0.0000000
       152.40355       0.0000000
       158.30704       0.0000000
       164.43921       0.0000000
       170.80891       0.0000000
       177.42535       0.0000000
       184.29809       0.0000000
       191.43704       0.0000000
       198.85253       0.0000000
       206.55527       0.0000000
       214.55638       0.0000000
       222.86742       0.0000000
       231.50039       0.0000000
       240.46777       0.0000000
       249.78251       0.0000000
       259.45807       0.0000000
       269.50841       0.0000000
       279.94807       0.0000000
       290.79211       0.0000000
       302.05621       0.0000000
       313.75664       0.0000000
       325.91029       0.0000000
       338.53473       0.0000000
       351.64818       0.0000000
       365.26960       0.0000000
       379.41865       0.0000000
       394.11578       0.0000000
       409.38222       0.0000000
       425.24002       0.0000000
       441.71208       0.0000000
       458.82220       0.0000000
       476.59510       0.0000000
       495.05645       0.0000000
       514.23292       0.0000000
       534.15220       0.0000000
       554.84308       0.0000000
       576.33544       0.0000000
       598.66032       0.0000000
       621.84998       0.0000000
       645.93791       0.0000000
       670.95891       0.0000000
       696.94912       0.0000000
       723.94609       0.0000000
       751.98880       0.0000000
       781.11778       0.0000000
       811.37510       0.0000000
       842.80446       0.0000000
       875.45127       0.0000000
       909.36268       0.0000000
       944.58768       0.0000000
       981.17715       0.0000000
