;============================ SPDUST.2 ===============================
;
;    Rotational emission from a population of spinning dust grains,
;    as described by Ali-Haimoud, Hirata & Dickinson, 2009, MNRAS, 395, 1055
;    and in Silsbee, Ali-Haimoud & Hirata, 2010
;    for an environment with parameters given below. 
;
;    nH = 0.400000 cm^-3
;    T = 6000.0000 K
;    Chi = 1.0000000
;    xh = 0.10000000
;    xC = 0.00030000000
;    mu(1E-7 cm) = 9.1909739 debye (this corresponds to beta = 0.38000000 debye)
;
;Diklike grains are assumed to be randomly 
;
;=====================================================================
;
;nu(GHz)       j_nu/nH(Jy sr-1 cm2/H)     
;
      0.50959197   1.3996907e-23
      0.52933149   1.5497180e-23
      0.54983563   1.7155444e-23
      0.57113402   1.8997101e-23
      0.59325742   2.1052054e-23
      0.61623779   2.3354947e-23
      0.64010833   2.5945833e-23
      0.66490352   2.8871033e-23
      0.69065916   3.2184010e-23
      0.71741248   3.5946791e-23
      0.74520212   4.0231197e-23
      0.77406820   4.5121075e-23
      0.80405245   5.0714564e-23
      0.83519816   5.7126533e-23
      0.86755033   6.4491523e-23
      0.90115569   7.2967466e-23
      0.93606278   8.2740022e-23
      0.97232204   9.4027522e-23
       1.0099858   1.0708663e-22
       1.0491086   1.2221896e-22
       1.0897467   1.3977994e-22
       1.1319591   1.6018815e-22
       1.1758066   1.8393674e-22
       1.2213525   2.1160621e-22
       1.2686627   2.4388162e-22
       1.3178055   2.8156996e-22
       1.3688519   3.2562334e-22
       1.4218757   3.7716454e-22
       1.4769534   4.3751821e-22
       1.5341645   5.0824618e-22
       1.5935918   5.9119241e-22
       1.6553210   6.8853249e-22
       1.7194414   8.0283343e-22
       1.7860455   9.3712526e-22
       1.8552297   1.0949841e-21
       1.9270937   1.2806326e-21
       2.0017414   1.4990537e-21
       2.0792807   1.7561297e-21
       2.1598236   2.0588079e-21
       2.2434863   2.4152880e-21
       2.3303898   2.8352490e-21
       2.4206596   3.3301196e-21
       2.5144261   3.9133895e-21
       2.6118247   4.6009849e-21
       2.7129962   5.4116963e-21
       2.8180866   6.3676990e-21
       2.9272477   7.4951621e-21
       3.0406374   8.8249482e-21
       3.1584193   1.0393460e-20
       3.2807635   1.2243601e-20
       3.4078469   1.4425930e-20
       3.5398530   1.6999984e-20
       3.6769725   2.0035850e-20
       3.8194034   2.3615958e-20
       3.9673515   2.7837152e-20
       4.1210305   3.2813091e-20
       4.2806624   3.8677069e-20
       4.4464778   4.5585060e-20
       4.6187162   5.3719374e-20
       4.7976264   6.3292544e-20
       4.9834669   7.4551915e-20
       5.1765061   8.7784216e-20
       5.3770228   1.0332121e-19
       5.5853067   1.2154502e-19
       5.8016587   1.4289359e-19
       6.0263913   1.6786669e-19
       6.2598291   1.9703042e-19
       6.5023094   2.3102234e-19
       6.7541823   2.7055385e-19
       7.0158118   3.1640996e-19
       7.2875757   3.6944796e-19
       7.5698666   4.3059051e-19
       7.8630924   5.0081276e-19
       8.1676765   5.8112223e-19
       8.4840590   6.7254411e-19
       8.8126968   7.7607061e-19
       9.1540647   8.9263532e-19
       9.5086558   1.0230590e-18
       9.8769823   1.1680008e-18
       10.259576   1.3278999e-18
       10.656990   1.5029383e-18
       11.069799   1.6929751e-18
       11.498598   1.8975591e-18
       11.944006   2.1158698e-18
       12.406668   2.3468023e-18
       12.887252   2.5889517e-18
       13.386452   2.8407650e-18
       13.904988   3.1005755e-18
       14.443611   3.3667069e-18
       15.003097   3.6375751e-18
       15.584256   3.9117063e-18
       16.187927   4.1876204e-18
       16.814981   4.4638001e-18
       17.466325   4.7383474e-18
       18.142899   5.0087659e-18
       18.845681   5.2716869e-18
       19.575685   5.5226137e-18
       20.333968   5.7558972e-18
       21.121623   5.9648465e-18
       21.939788   6.1420638e-18
       22.789646   6.2798672e-18
       23.672424   6.3709006e-18
       24.589397   6.4086722e-18
       25.541890   6.3879525e-18
       26.531278   6.3050756e-18
       27.558992   6.1581774e-18
       28.626515   5.9476405e-18
       29.735389   5.6765629e-18
       30.887217   5.3511119e-18
       32.083662   4.9804097e-18
       33.326452   4.5759359e-18
       34.617383   4.1504854e-18
       35.958319   3.7170356e-18
       37.351197   3.2877155e-18
       38.798030   2.8730196e-18
       40.300908   2.4813341e-18
       41.862000   2.1188094e-18
       43.483563   1.7894181e-18
       45.167939   1.4952002e-18
       46.917561   1.2365944e-18
       48.734956   1.0127750e-18
       50.622749   8.2196603e-19
       52.583668   6.6170308e-19
       54.620545   5.2901173e-19
       56.736322   4.2058962e-19
       58.934055   3.3296446e-19
       61.216920   2.6269265e-19
       63.588214   2.0657804e-19
       66.051362   1.6185536e-19
       68.609922   1.2627660e-19
       71.267591   9.8080212e-20
       74.028206   7.5877026e-20
       76.895757   5.8526618e-20
       79.874385   4.5056363e-20
       82.968393   3.4634670e-20
       86.182250   2.6573604e-20
       89.520598   2.0330441e-20
       92.988261   1.5493558e-20
       96.590247   1.1754960e-20
       100.33176   8.8797429e-21
       104.21820   6.6822557e-21
       108.25519   5.0122862e-21
       112.44855   3.7485978e-21
       116.80435   2.7953647e-21
       121.32888   2.0784399e-21
       126.02866   1.5410019e-21
       130.91050   1.1394503e-21
       135.98144   8.4026605e-22
       141.24880   6.1782502e-22
       146.72021   4.5276902e-22
       152.40355   3.3060835e-22
       158.30704   2.4050462e-22
       164.43921   1.7430135e-22
       170.80891   1.2583448e-22
       177.42535   9.0463663e-23
       184.29809   6.4730456e-23
       191.43704   4.6078437e-23
       198.85253   3.2621813e-23
       206.55527   2.2964412e-23
       214.55638   1.6070235e-23
       222.86742   1.1173751e-23
       231.50039   7.7143254e-24
       240.46777   5.2847500e-24
       249.78251   3.5903288e-24
       259.45807   2.4177841e-24
       269.50841   1.6130333e-24
       279.94807   1.0654030e-24
       290.79211   6.9608514e-25
       302.05621   4.4945955e-25
       313.75664   2.8655226e-25
       325.91029   1.8022814e-25
       338.53473   1.1173118e-25
       351.64818   6.8214625e-26
       365.26960   4.0973081e-26
       379.41865   2.4184527e-26
       394.11578   1.4008731e-26
       409.38222   7.9508919e-27
       425.24002   4.4147339e-27
       441.71208   2.3944810e-27
       458.82220   1.2664003e-27
       476.59510   6.5161223e-28
       495.05645   3.2513610e-28
       514.23292   1.5671210e-28
       534.15220   7.2643562e-29
       554.84308   3.2263387e-29
       576.33544   1.3663685e-29
       598.66032   5.4885895e-30
       621.84998   2.0772058e-30
       645.93791   7.2791404e-31
       670.95891   2.3919298e-31
       696.94912   7.2077510e-32
       723.94609   1.9722220e-32
       751.98880   4.8441228e-33
       781.11778       0.0000000
       811.37510       0.0000000
       842.80446       0.0000000
       875.45127       0.0000000
       909.36268       0.0000000
       944.58768       0.0000000
       981.17715       0.0000000
