;============================ SPDUST.2 ===============================
;
;    Rotational emission from a population of spinning dust grains,
;    as described by Ali-Haimoud, Hirata & Dickinson, 2009, MNRAS, 395, 1055
;    and in Silsbee, Ali-Haimoud & Hirata, 2010
;    for an environment with parameters given below. 
;
;    nH = 10000.000 cm^-3
;    T = 10.000000 K
;    Chi = 0.00010000000
;    xh = 0.0000000
;    xC = 1.0000000e-06
;    mu(1E-7 cm) = 9.1909739 debye (this corresponds to beta = 0.38000000 debye)
;
;Diklike grains are assumed to be randomly 
;
;=====================================================================
;
;nu(GHz)       j_nu/nH(Jy sr-1 cm2/H)     
;
      0.50959197   1.2819795e-23
      0.52933149   1.4941945e-23
      0.54983563   1.7436413e-23
      0.57113402   2.0369082e-23
      0.59325742   2.3817330e-23
      0.61623779   2.7871998e-23
      0.64010833   3.2639667e-23
      0.66490352   3.8245317e-23
      0.69065916   4.4835464e-23
      0.71741248   5.2581712e-23
      0.74520212   6.1684931e-23
      0.77406820   7.2380101e-23
      0.80405245   8.4942034e-23
      0.83519816   9.9691811e-23
      0.86755033   1.1700439e-22
      0.90115569   1.3731714e-22
      0.93606278   1.6114018e-22
      0.97232204   1.8906801e-22
       1.0099858   2.2179297e-22
       1.0491086   2.6012052e-22
       1.0897467   3.0498691e-22
       1.1319591   3.5748025e-22
       1.1758066   4.1886396e-22
       1.2213525   4.9060377e-22
       1.2686627   5.7439807e-22
       1.3178055   6.7221336e-22
       1.3688519   7.8632595e-22
       1.4218757   9.1936837e-22
       1.4769534   1.0743818e-21
       1.5341645   1.2548731e-21
       1.5935918   1.4648870e-21
       1.6553210   1.7090817e-21
       1.7194414   1.9928220e-21
       1.7860455   2.3222719e-21
       1.8552297   2.7045041e-21
       1.9270937   3.1476295e-21
       2.0017414   3.6609458e-21
       2.0792807   4.2550908e-21
       2.1598236   4.9422173e-21
       2.2434863   5.7361708e-21
       2.3303898   6.6527359e-21
       2.4206596   7.7098584e-21
       2.5144261   8.9279352e-21
       2.6118247   1.0330034e-20
       2.7129962   1.1942239e-20
       2.8180866   1.3793960e-20
       2.9272477   1.5918325e-20
       3.0406374   1.8352495e-20
       3.1584193   2.1138006e-20
       3.2807635   2.4321108e-20
       3.4078469   2.7953241e-20
       3.5398530   3.2091241e-20
       3.6769725   3.6797790e-20
       3.8194034   4.2141279e-20
       3.9673515   4.8196314e-20
       4.1210305   5.5043567e-20
       4.2806624   6.2769831e-20
       4.4464778   7.1467575e-20
       4.6187162   8.1234383e-20
       4.7976264   9.2172641e-20
       4.9834669   1.0438879e-19
       5.1765061   1.1799195e-19
       5.3770228   1.3309317e-19
       5.5853067   1.4980367e-19
       5.8016587   1.6823480e-19
       6.0263913   1.8849645e-19
       6.2598291   2.1069627e-19
       6.5023094   2.3493949e-19
       6.7541823   2.6133069e-19
       7.0158118   2.8997434e-19
       7.2875757   3.2097800e-19
       7.5698666   3.5445474e-19
       7.8630924   3.9053097e-19
       8.1676765   4.2935257e-19
       8.4840590   4.7108943e-19
       8.8126968   5.1594488e-19
       9.1540647   5.6416412e-19
       9.5086558   6.1604409e-19
       9.8769823   6.7193895e-19
       10.259576   7.3225643e-19
       10.656990   7.9746170e-19
       11.069799   8.6807116e-19
       11.498598   9.4464288e-19
       11.944006   1.0277509e-18
       12.406668   1.1179646e-18
       12.887252   1.2158119e-18
       13.386452   1.3217524e-18
       13.904988   1.4361381e-18
       14.443611   1.5591815e-18
       15.003097   1.6909240e-18
       15.584256   1.8312183e-18
       16.187927   1.9797078e-18
       16.814981   2.1358215e-18
       17.466325   2.2987699e-18
       18.142899   2.4675416e-18
       18.845681   2.6409096e-18
       19.575685   2.8174028e-18
       20.333968   2.9953166e-18
       21.121623   3.1726996e-18
       21.939788   3.3473400e-18
       22.789646   3.5167757e-18
       23.672424   3.6782946e-18
       24.589397   3.8289529e-18
       25.541890   3.9655988e-18
       26.531278   4.0848953e-18
       27.558992   4.1833915e-18
       28.626515   4.2575820e-18
       29.735389   4.3039889e-18
       30.887217   4.3192908e-18
       32.083662   4.3004416e-18
       33.326452   4.2448821e-18
       34.617383   4.1507363e-18
       35.958319   4.0170746e-18
       37.351197   3.8441553e-18
       38.798030   3.6336551e-18
       40.300908   3.3888460e-18
       41.862000   3.1146780e-18
       43.483563   2.8177179e-18
       45.167939   2.5059308e-18
       46.917561   2.1882622e-18
       48.734956   1.8740712e-18
       50.622749   1.5724364e-18
       52.583668   1.2914383e-18
       54.620545   1.0375048e-18
       56.736322   8.1495893e-19
       58.934055   6.2581077e-19
       61.216920   4.6985184e-19
       63.588214   3.4500506e-19
       66.051362   2.4786329e-19
       68.609922   1.7428516e-19
       71.267591   1.1994543e-19
       74.028206   8.0756760e-20
       76.895757   5.3134127e-20
       79.874385   3.4101639e-20
       82.968393   2.1296479e-20
       86.182250   1.2902055e-20
       89.520598   7.5560230e-21
       92.988261   4.2637287e-21
       96.590247   2.3091114e-21
       100.33176   1.1957940e-21
       104.21820   5.8996393e-22
       108.25519   2.7627934e-22
       112.44855   1.2185540e-22
       116.80435   5.0896735e-23
       121.32888   1.9934992e-23
       126.02866   7.2906710e-24
       130.91050   2.4785030e-24
       135.98144       0.0000000
       141.24880       0.0000000
       146.72021       0.0000000
       152.40355       0.0000000
       158.30704       0.0000000
       164.43921       0.0000000
       170.80891       0.0000000
       177.42535       0.0000000
       184.29809       0.0000000
       191.43704       0.0000000
       198.85253       0.0000000
       206.55527       0.0000000
       214.55638       0.0000000
       222.86742       0.0000000
       231.50039       0.0000000
       240.46777       0.0000000
       249.78251       0.0000000
       259.45807       0.0000000
       269.50841       0.0000000
       279.94807       0.0000000
       290.79211       0.0000000
       302.05621       0.0000000
       313.75664       0.0000000
       325.91029       0.0000000
       338.53473       0.0000000
       351.64818       0.0000000
       365.26960       0.0000000
       379.41865       0.0000000
       394.11578       0.0000000
       409.38222       0.0000000
       425.24002       0.0000000
       441.71208       0.0000000
       458.82220       0.0000000
       476.59510       0.0000000
       495.05645       0.0000000
       514.23292       0.0000000
       534.15220       0.0000000
       554.84308       0.0000000
       576.33544       0.0000000
       598.66032       0.0000000
       621.84998       0.0000000
       645.93791       0.0000000
       670.95891       0.0000000
       696.94912       0.0000000
       723.94609       0.0000000
       751.98880       0.0000000
       781.11778       0.0000000
       811.37510       0.0000000
       842.80446       0.0000000
       875.45127       0.0000000
       909.36268       0.0000000
       944.58768       0.0000000
       981.17715       0.0000000
