;============================ SPDUST.2 ===============================
;
;    Rotational emission from a population of spinning dust grains,
;    as described by Ali-Haimoud, Hirata & Dickinson, 2009, MNRAS, 395, 1055
;    and in Silsbee, Ali-Haimoud & Hirata, 2010
;    for an environment with parameters given below. 
;
;    nH = 30.000000 cm^-3
;    T = 100.00000 K
;    Chi = 1.0000000
;    xh = 0.0010000000
;    xC = 0.00030000000
;    mu(1E-7 cm) = 9.1909739 debye (this corresponds to beta = 0.38000000 debye)
;
;Diklike grains are assumed to be randomly 
;
;=====================================================================
;
;nu(GHz)       j_nu/nH(Jy sr-1 cm2/H)     
;
      0.50959197   1.0335540e-23
      0.52933149   1.1480873e-23
      0.54983563   1.2779750e-23
      0.57113402   1.4256581e-23
      0.59325742   1.5939978e-23
      0.61623779   1.7863445e-23
      0.64010833   2.0066333e-23
      0.66490352   2.2594865e-23
      0.69065916   2.5503376e-23
      0.71741248   2.8855805e-23
      0.74520212   3.2727295e-23
      0.77406820   3.7206167e-23
      0.80405245   4.2396377e-23
      0.83519816   4.8420358e-23
      0.86755033   5.5422325e-23
      0.90115569   6.3571555e-23
      0.93606278   7.3067503e-23
      0.97232204   8.4144976e-23
       1.0099858   9.7080415e-23
       1.0491086   1.1219846e-22
       1.0897467   1.2988139e-22
       1.1319591   1.5057888e-22
       1.1758066   1.7481967e-22
       1.2213525   2.0322510e-22
       1.2686627   2.3652577e-22
       1.3178055   2.7558054e-22
       1.3688519   3.2139811e-22
       1.4218757   3.7516340e-22
       1.4769534   4.3826840e-22
       1.5341645   5.1234713e-22
       1.5935918   5.9931720e-22
       1.6553210   7.0142967e-22
       1.7194414   8.2132485e-22
       1.7860455   9.6209814e-22
       1.8552297   1.1273810e-21
       1.9270937   1.3214281e-21
       2.0017414   1.5492237e-21
       2.0792807   1.8166098e-21
       2.1598236   2.1304251e-21
       2.2434863   2.4986724e-21
       2.3303898   2.9307257e-21
       2.4206596   3.4375499e-21
       2.5144261   4.0319623e-21
       2.6118247   4.7289592e-21
       2.7129962   5.5460700e-21
       2.8180866   6.5037766e-21
       2.9272477   7.6260028e-21
       3.0406374   8.9406932e-21
       3.1584193   1.0480468e-20
       3.2807635   1.2283390e-20
       3.4078469   1.4393849e-20
       3.5398530   1.6863608e-20
       3.6769725   1.9753006e-20
       3.8194034   2.3132321e-20
       3.9673515   2.7083321e-20
       4.1210305   3.1701165e-20
       4.2806624   3.7096487e-20
       4.4464778   4.3397774e-20
       4.6187162   5.0754155e-20
       4.7976264   5.9338433e-20
       4.9834669   6.9350671e-20
       5.1765061   8.1022192e-20
       5.3770228   9.4619873e-20
       5.5853067   1.1045118e-19
       5.8016587   1.2886917e-19
       6.0263913   1.5027858e-19
       6.2598291   1.7514137e-19
       6.5023094   2.0398323e-19
       6.7541823   2.3739944e-19
       7.0158118   2.7606007e-19
       7.2875757   3.2071473e-19
       7.5698666   3.7219739e-19
       7.8630924   4.3142417e-19
       8.1676765   4.9939343e-19
       8.4840590   5.7717976e-19
       8.8126968   6.6591948e-19
       9.1540647   7.6679607e-19
       9.5086558   8.8101174e-19
       9.8769823   1.0097577e-18
       10.259576   1.1541725e-18
       10.656990   1.3153016e-18
       11.069799   1.4940451e-18
       11.498598   1.6910911e-18
       11.944006   1.9069154e-18
       12.406668   2.1416888e-18
       12.887252   2.3953085e-18
       13.386452   2.6673636e-18
       13.904988   2.9571964e-18
       14.443611   3.2639555e-18
       15.003097   3.5866433e-18
       15.584256   3.9242656e-18
       16.187927   4.2759062e-18
       16.814981   4.6407189e-18
       17.466325   5.0180839e-18
       18.142899   5.4072830e-18
       18.845681   5.8075207e-18
       19.575685   6.2173476e-18
       20.333968   6.6345289e-18
       21.121623   7.0554510e-18
       21.939788   7.4749781e-18
       22.789646   7.8863634e-18
       23.672424   8.2810700e-18
       24.589397   8.6493042e-18
       25.541890   8.9803405e-18
       26.531278   9.2627855e-18
       27.558992   9.4850745e-18
       28.626515   9.6358881e-18
       29.735389   9.7044913e-18
       30.887217   9.6814803e-18
       32.083662   9.5597782e-18
       33.326452   9.3358278e-18
       34.617383   9.0106263e-18
       35.958319   8.5903102e-18
       37.351197   8.0858245e-18
       38.798030   7.5124151e-18
       40.300908   6.8884949e-18
       41.862000   6.2341201e-18
       43.483563   5.5693901e-18
       45.167939   4.9130563e-18
       46.917561   4.2812155e-18
       48.734956   3.6865901e-18
       50.622749   3.1383121e-18
       52.583668   2.6420421e-18
       54.620545   2.2004397e-18
       56.736322   1.8137462e-18
       58.934055   1.4803267e-18
       61.216920   1.1971718e-18
       63.588214   9.6029773e-19
       66.051362   7.6501994e-19
       68.609922   6.0618082e-19
       71.267591   4.7838937e-19
       74.028206   3.7632945e-19
       76.895757   2.9511253e-19
       79.874385   2.3056656e-19
       82.968393   1.7935140e-19
       86.182250   1.3888042e-19
       89.520598   1.0712123e-19
       92.988261   8.2396805e-20
       96.590247   6.3270041e-20
       100.33176   4.8515119e-20
       104.21820   3.7126934e-20
       108.25519   2.8322091e-20
       112.44855   2.1513024e-20
       116.80435   1.6262613e-20
       121.32888   1.2236970e-20
       126.02866   9.1708527e-21
       130.91050   6.8490820e-21
       135.98144   5.0984414e-21
       141.24880   3.7827920e-21
       146.72021   2.7973212e-21
       152.40355   2.0618998e-21
       158.30704   1.5151001e-21
       164.43921   1.1097893e-21
       170.80891   8.1008353e-22
       177.42535   5.8900603e-22
       184.29809   4.2644804e-22
       191.43704   3.0740703e-22
       198.85253   2.2061999e-22
       206.55527   1.5760977e-22
       214.55638   1.1203301e-22
       222.86742   7.9193010e-23
       231.50039   5.5639557e-23
       240.46777   3.8840667e-23
       249.78251   2.6932901e-23
       259.45807   1.8544584e-23
       269.50841   1.2671910e-23
       279.94807   8.5870210e-24
       290.79211   5.7663091e-24
       302.05621   3.8346677e-24
       313.75664   2.5239377e-24
       325.91029   1.6431624e-24
       338.53473   1.0573260e-24
       351.64818   6.7186493e-25
       365.26960   4.2118755e-25
       379.41865   2.6022176e-25
       394.11578   1.5828534e-25
       409.38222   9.4698096e-26
       425.24002   5.5671091e-26
       441.71208   3.2125207e-26
       458.82220   1.8171349e-26
       476.59510   1.0057271e-26
       495.05645   5.4355207e-27
       514.23292   2.8627361e-27
       534.15220   1.4662922e-27
       554.84308   7.2864923e-28
       576.33544   3.5025178e-28
       598.66032   1.6217821e-28
       621.84998   7.1998137e-29
       645.93791   3.0498974e-29
       670.95891   1.2270315e-29
       696.94912   4.6433717e-30
       723.94609   1.6612533e-30
       751.98880   5.5398718e-31
       781.11778   1.7068068e-31
       811.37510   4.8114539e-32
       842.80446   1.2278732e-32
       875.45127       0.0000000
       909.36268       0.0000000
       944.58768       0.0000000
       981.17715       0.0000000
