;============================ SPDUST.2 ===============================
;
;    Rotational emission from a population of spinning dust grains,
;    as described by Ali-Haimoud, Hirata & Dickinson, 2009, MNRAS, 395, 1055
;    and in Silsbee, Ali-Haimoud & Hirata, 2010
;    for an environment with parameters given below. 
;
;    nH = 30.000000 cm^-3
;    T = 100.00000 K
;    Chi = 1.0000000
;    xh = 0.0010000000
;    xC = 0.00030000000
;    mu(1E-7 cm) = 9.1909739 debye (this corresponds to beta = 0.38000000 debye)
;
;Diklike grains are assumed to be randomly 
;
;=====================================================================
;
;nu(GHz)       j_nu/nH(Jy sr-1 cm2/H)     
;
      0.50959197   1.0522418e-23
      0.52933149   1.1675987e-23
      0.54983563   1.2982394e-23
      0.57113402   1.4465861e-23
      0.59325742   1.6154659e-23
      0.61623779   1.8081949e-23
      0.64010833   2.0286653e-23
      0.66490352   2.2814497e-23
      0.69065916   2.5719234e-23
      0.71741248   2.9064002e-23
      0.74520212   3.2923073e-23
      0.77406820   3.7383746e-23
      0.80405245   4.2548830e-23
      0.83519816   4.8539399e-23
      0.86755033   5.5497731e-23
      0.90115569   6.3591251e-23
      0.93606278   7.3017217e-23
      0.97232204   8.4007998e-23
       1.0099858   9.6836346e-23
       1.0491086   1.1182363e-22
       1.0897467   1.2934817e-22
       1.1319591   1.4985470e-22
       1.1758066   1.7386609e-22
       1.2213525   2.0199755e-22
       1.2686627   2.3497257e-22
       1.3178055   2.7364089e-22
       1.3688519   3.1900151e-22
       1.4218757   3.7222855e-22
       1.4769534   4.3470069e-22
       1.5341645   5.0803693e-22
       1.5935918   5.9413861e-22
       1.6553210   6.9523691e-22
       1.7194414   8.1395003e-22
       1.7860455   9.5334930e-22
       1.8552297   1.1170369e-21
       1.9270937   1.3092352e-21
       2.0017414   1.5348931e-21
       2.0792807   1.7998116e-21
       2.1598236   2.1107809e-21
       2.2434863   2.4757546e-21
       2.3303898   2.9040479e-21
       2.4206596   3.4065560e-21
       2.5144261   3.9960271e-21
       2.6118247   4.6873787e-21
       2.7129962   5.4980437e-21
       2.8180866   6.4483986e-21
       2.9272477   7.5622669e-21
       3.0406374   8.8674731e-21
       3.1584193   1.0396487e-20
       3.2807635   1.2187224e-20
       3.4078469   1.4283932e-20
       3.5398530   1.6738206e-20
       3.6769725   1.9610167e-20
       3.8194034   2.2969899e-20
       3.9673515   2.6898992e-20
       4.1210305   3.1492400e-20
       4.2806624   3.6860514e-20
       4.4464778   4.3131572e-20
       4.6187162   5.0454506e-20
       4.7976264   5.9001956e-20
       4.9834669   6.8973831e-20
       5.1765061   8.0601280e-20
       5.3770228   9.4151185e-20
       5.5853067   1.0993093e-19
       5.8016587   1.2829394e-19
       6.0263913   1.4964526e-19
       6.2598291   1.7444767e-19
       6.5023094   2.0322774e-19
       6.7541823   2.3658215e-19
       7.0158118   2.7518317e-19
       7.2875757   3.1978397e-19
       7.5698666   3.7122262e-19
       7.8630924   4.3042002e-19
       8.1676765   4.9838195e-19
       8.4840590   5.7619206e-19
       8.8126968   6.6499857e-19
       9.1540647   7.6599824e-19
       9.5086558   8.8041303e-19
       9.8769823   1.0094558e-18
       10.259576   1.1542913e-18
       10.656990   1.3159885e-18
       11.069799   1.4954780e-18
       11.498598   1.6934776e-18
       11.944006   1.9105094e-18
       12.406668   2.1467536e-18
       12.887252   2.4021398e-18
       13.386452   2.6762776e-18
       13.904988   2.9685136e-18
       14.443611   3.2779694e-18
       15.003097   3.6036485e-18
       15.584256   3.9445054e-18
       16.187927   4.2995742e-18
       16.814981   4.6679622e-18
       17.466325   5.0490012e-18
       18.142899   5.4419233e-18
       18.845681   5.8459233e-18
       19.575685   6.2595454e-18
       20.333968   6.6806106e-18
       21.121623   7.1055823e-18
       21.939788   7.5294043e-18
       22.789646   7.9453369e-18
       23.672424   8.3448889e-18
       24.589397   8.7182723e-18
       25.541890   9.0546660e-18
       26.531278   9.3425416e-18
       27.558992   9.5703211e-18
       28.626515   9.7265828e-18
       29.735389   9.8004400e-18
       30.887217   9.7822690e-18
       32.083662   9.6648630e-18
       33.326452   9.4444246e-18
       34.617383   9.1216665e-18
       35.958319   8.7024724e-18
       37.351197   8.1976178e-18
       38.798030   7.6222922e-18
       40.300908   6.9949422e-18
       41.862000   6.3356940e-18
       43.483563   5.6648754e-18
       45.167939   5.0014982e-18
       46.917561   4.3619452e-18
       48.734956   3.7592292e-18
       50.622749   3.2027710e-18
       52.583668   2.6984869e-18
       54.620545   2.2492417e-18
       56.736322   1.8554183e-18
       58.934055   1.5154789e-18
       61.216920   1.2264715e-18
       63.588214   9.8443841e-19
       66.051362   7.8469708e-19
       68.609922   6.2207160e-19
       71.267591   4.9113184e-19
       74.028206   3.8650009e-19
       76.895757   3.0320736e-19
       79.874385   2.3699324e-19
       82.968393   1.8443516e-19
       86.182250   1.4288033e-19
       89.520598   1.1024804e-19
       92.988261   8.4826689e-20
       96.590247   6.5151060e-20
       100.33176   4.9968981e-20
       104.21820   3.8250318e-20
       108.25519   2.9189440e-20
       112.44855   2.2180946e-20
       116.80435   1.6774567e-20
       121.32888   1.2627146e-20
       126.02866   9.4666284e-21
       130.91050   7.0723416e-21
       135.98144   5.2664073e-21
       141.24880   3.9087765e-21
       146.72021   2.8915101e-21
       152.40355   2.1320807e-21
       158.30704   1.5672316e-21
       164.43921   1.1484117e-21
       170.80891   8.3862609e-22
       177.42535   6.1003861e-22
       184.29809   4.4189149e-22
       191.43704   3.1870149e-22
       198.85253   2.2884718e-22
       206.55527   1.6358010e-22
       214.55638   1.1634925e-22
       222.86742   8.2300146e-23
       231.50039   5.7865071e-23
       240.46777   4.0425690e-23
       249.78251   2.8055098e-23
       259.45807   1.9334352e-23
       269.50841   1.3224231e-23
       279.94807   8.9706001e-24
       290.79211   6.0306240e-24
       302.05621   4.0152308e-24
       313.75664   2.6461474e-24
       325.91029   1.7250654e-24
       338.53473   1.1116447e-24
       351.64818   7.0748429e-25
       365.26960   4.4425940e-25
       379.41865   2.7496783e-25
       394.11578   1.6757465e-25
       409.38222   1.0045940e-25
       425.24002   5.9185733e-26
       441.71208   3.4232229e-26
       458.82220   1.9411290e-26
       476.59510   1.0772524e-26
       495.05645   5.8391707e-27
       514.23292   3.0851146e-27
       534.15220   1.5856462e-27
       554.84308   7.9092452e-28
       576.33544   3.8177323e-28
       598.66032   1.7759556e-28
       621.84998   7.9248581e-29
       645.93791   3.3760277e-29
       670.95891   1.3666399e-29
       696.94912   5.2050640e-30
       723.94609   1.8762088e-30
       751.98880   6.3086332e-31
       781.11778   1.9615139e-31
       811.37510   5.5855003e-32
       842.80446   1.4418093e-32
       875.45127       0.0000000
       909.36268       0.0000000
       944.58768       0.0000000
       981.17715       0.0000000
