;============================ SPDUST.2 ===============================
;
;    Rotational emission from a population of spinning dust grains,
;    as described by Ali-Haimoud, Hirata & Dickinson, 2009, MNRAS, 395, 1055
;    and in Silsbee, Ali-Haimoud & Hirata, 2010
;    for an environment with parameters given below. 
;
;    nH = 30.000000 cm^-3
;    T = 100.00000 K
;    Chi = 1.0000000
;    xh = 0.0010000000
;    xC = 0.00030000000
;    mu(1E-7 cm) = 9.1909739 debye (this corresponds to beta = 0.38000000 debye)
;
;Diklike grains are assumed to be randomly 
;
;=====================================================================
;
;nu(GHz)       j_nu/nH(Jy sr-1 cm2/H)     
;
      0.50959197   1.0761219e-23
      0.52933149   1.1926111e-23
      0.54983563   1.3242995e-23
      0.57113402   1.4735796e-23
      0.59325742   1.6432517e-23
      0.61623779   1.8365907e-23
      0.64010833   2.0574368e-23
      0.66490352   2.3102964e-23
      0.69065916   2.6004694e-23
      0.71741248   2.9341823e-23
      0.74520212   3.3187541e-23
      0.77406820   3.7627946e-23
      0.80405245   4.2764305e-23
      0.83519816   4.8715844e-23
      0.86755033   5.5622928e-23
      0.90115569   6.3650571e-23
      0.93606278   7.2993067e-23
      0.97232204   8.3879424e-23
       1.0099858   9.6578828e-23
       1.0491086   1.1140794e-22
       1.0897467   1.2873989e-22
       1.1319591   1.4901359e-22
       1.1758066   1.7274476e-22
       1.2213525   2.0054064e-22
       1.2686627   2.3311555e-22
       1.3178055   2.7130836e-22
       1.3688519   3.1610585e-22
       1.4218757   3.6866804e-22
       1.4769534   4.3035720e-22
       1.5341645   5.0277365e-22
       1.5935918   5.8779763e-22
       1.6553210   6.8763583e-22
       1.7194414   8.0487839e-22
       1.7860455   9.4256581e-22
       1.8552297   1.1042630e-21
       1.9270937   1.2941520e-21
       2.0017414   1.5171376e-21
       2.0792807   1.7789645e-21
       2.1598236   2.0863665e-21
       2.2434863   2.4472329e-21
       2.3303898   2.8708000e-21
       2.4206596   3.3678801e-21
       2.5144261   3.9511325e-21
       2.6118247   4.6353602e-21
       2.7129962   5.4378854e-21
       2.8180866   6.3789642e-21
       2.9272477   7.4822635e-21
       3.0406374   8.7754392e-21
       3.1584193   1.0290810e-20
       3.2807635   1.2066094e-20
       3.4078469   1.4145321e-20
       3.5398530   1.6579865e-20
       3.6769725   1.9429636e-20
       3.8194034   2.2764419e-20
       3.9673515   2.6665531e-20
       4.1210305   3.1227648e-20
       4.2806624   3.6560886e-20
       4.4464778   4.2793170e-20
       4.6187162   5.0073156e-20
       4.7976264   5.8573158e-20
       4.9834669   6.8492925e-20
       5.1765061   8.0063457e-20
       5.3770228   9.3551439e-20
       5.5853067   1.0926435e-19
       5.8016587   1.2755583e-19
       6.0263913   1.4883134e-19
       6.2598291   1.7355445e-19
       6.5023094   2.0225293e-19
       6.7541823   2.3552549e-19
       7.0158118   2.7404710e-19
       7.2875757   3.1857456e-19
       7.5698666   3.6994975e-19
       7.8630924   4.2910221e-19
       8.1676765   4.9704707e-19
       8.4840590   5.7487695e-19
       8.8126968   6.6375601e-19
       9.1540647   7.6490083e-19
       9.5086558   8.7955339e-19
       9.8769823   1.0089531e-18
       10.259576   1.1542980e-18
       10.656990   1.3166933e-18
       11.069799   1.4971050e-18
       11.498598   1.6963064e-18
       11.944006   1.9148240e-18
       12.406668   2.1529134e-18
       12.887252   2.4105319e-18
       13.386452   2.6872824e-18
       13.904988   2.9825472e-18
       14.443611   3.2954284e-18
       15.003097   3.6249070e-18
       15.584256   3.9698829e-18
       16.187927   4.3293388e-18
       16.814981   4.7023304e-18
       17.466325   5.0880608e-18
       18.142899   5.4858101e-18
       18.845681   5.8946154e-18
       19.575685   6.3131553e-18
       20.333968   6.7392367e-18
       21.121623   7.1694223e-18
       21.939788   7.5987199e-18
       22.789646   8.0204626e-18
       23.672424   8.4262423e-18
       24.589397   8.8062045e-18
       25.541890   9.1494742e-18
       26.531278   9.4444465e-18
       27.558992   9.6793312e-18
       28.626515   9.8426357e-18
       29.735389   9.9232691e-18
       30.887217   9.9114645e-18
       32.083662   9.7997286e-18
       33.326452   9.5839607e-18
       34.617383   9.2644934e-18
       35.958319   8.8468579e-18
       37.351197   8.3416697e-18
       38.798030   7.7639899e-18
       40.300908   7.1323081e-18
       41.862000   6.4669049e-18
       43.483563   5.7883548e-18
       45.167939   5.1159795e-18
       46.917561   4.4665368e-18
       48.734956   3.8534301e-18
       50.622749   3.2864518e-18
       52.583668   2.7718405e-18
       54.620545   2.3127227e-18
       56.736322   1.9096745e-18
       58.934055   1.5612947e-18
       61.216920   1.2647007e-18
       63.588214   1.0159698e-18
       66.051362   8.1042340e-19
       68.609922   6.4286401e-19
       71.267591   5.0781445e-19
       74.028206   3.9982072e-19
       76.895757   3.1381291e-19
       79.874385   2.4541695e-19
       82.968393   1.9110265e-19
       86.182250   1.4812940e-19
       89.520598   1.1435362e-19
       92.988261   8.8018609e-20
       96.590247   6.7622575e-20
       100.33176   5.1879436e-20
       104.21820   3.9726600e-20
       108.25519   3.0329448e-20
       112.44855   2.3059124e-20
       116.80435   1.7448023e-20
       121.32888   1.3140703e-20
       126.02866   9.8561453e-21
       130.91050   7.3664926e-21
       135.98144   5.4877941e-21
       141.24880   4.0748927e-21
       146.72021   3.0157526e-21
       152.40355   2.2246913e-21
       158.30704   1.6360482e-21
       164.43921   1.1994128e-21
       170.80891   8.7633175e-22
       177.42535   6.3783648e-22
       184.29809   4.6231323e-22
       191.43704   3.3364408e-22
       198.85253   2.3973679e-22
       206.55527   1.7148636e-22
       214.55638   1.2206807e-22
       222.86742   8.6419373e-23
       231.50039   6.0817354e-23
       240.46777   4.2529762e-23
       249.78251   2.9545834e-23
       259.45807   2.0384253e-23
       269.50841   1.3959099e-23
       279.94807   9.4814940e-24
       290.79211   6.3830837e-24
       302.05621   4.2563192e-24
       313.75664   2.8095460e-24
       325.91029   1.8347361e-24
       338.53473   1.1844959e-24
       351.64818   7.5533931e-25
       365.26960   4.7531494e-25
       379.41865   2.9485671e-25
       394.11578   1.8013092e-25
       409.38222   1.0826501e-25
       425.24002   6.3958433e-26
       441.71208   3.7100064e-26
       458.82220   2.1103106e-26
       476.59510   1.1751022e-26
       495.05645   6.3929710e-27
       514.23292   3.3911711e-27
       534.15220   1.7504700e-27
       554.84308   8.7723946e-28
       576.33544   4.2563967e-28
       598.66032   1.9915323e-28
       621.84998   8.9443234e-29
       645.93791   3.8375089e-29
       670.95891   1.5655773e-29
       696.94912   6.0111897e-30
       723.94609   2.1873660e-30
       751.98880   7.4320537e-31
       781.11778   2.3376708e-31
       811.37510   6.7420606e-32
       842.80446   1.7652152e-32
       875.45127       0.0000000
       909.36268       0.0000000
       944.58768       0.0000000
       981.17715       0.0000000
