;============================ SPDUST.2 ===============================
;
;    Rotational emission from a population of spinning dust grains,
;    as described by Ali-Haimoud, Hirata & Dickinson, 2009, MNRAS, 395, 1055
;    and in Silsbee, Ali-Haimoud & Hirata, 2010
;    for an environment with parameters given below. 
;
;    nH = 10000.000 cm^-3
;    T = 10.000000 K
;    Chi = 0.00010000000
;    xh = 0.0000000
;    xC = 1.0000000e-06
;    mu(1E-7 cm) = 9.1909739 debye (this corresponds to beta = 0.38000000 debye)
;
;Diklike grains are assumed to be randomly 
;
;=====================================================================
;
;nu(GHz)       j_nu/nH(Jy sr-1 cm2/H)     
;
      0.50959197   1.2893958e-23
      0.52933149   1.5033752e-23
      0.54983563   1.7549041e-23
      0.57113402   2.0506201e-23
      0.59325742   2.3983205e-23
      0.61623779   2.8071534e-23
      0.64010833   3.2878543e-23
      0.66490352   3.8530077e-23
      0.69065916   4.5173639e-23
      0.71741248   5.2981925e-23
      0.74520212   6.2157085e-23
      0.77406820   7.2935551e-23
      0.80405245   8.5593757e-23
      0.83519816   1.0045459e-22
      0.86755033   1.1789502e-22
      0.90115569   1.3835478e-22
      0.93606278   1.6234656e-22
      0.97232204   1.9046773e-22
       1.0099858   2.2341382e-22
       1.0491086   2.6199370e-22
       1.0897467   3.0714767e-22
       1.1319591   3.5996826e-22
       1.1758066   4.2172360e-22
       1.2213525   4.9388440e-22
       1.2686627   5.7815459e-22
       1.3178055   6.7650709e-22
       1.3688519   7.9122485e-22
       1.4218757   9.2494790e-22
       1.4769534   1.0807236e-21
       1.5341645   1.2620671e-21
       1.5935918   1.4730320e-21
       1.6553210   1.7182856e-21
       1.7194414   2.0032018e-21
       1.7860455   2.3339493e-21
       1.8552297   2.7176127e-21
       1.9270937   3.1623102e-21
       2.0017414   3.6773497e-21
       2.0792807   4.2733705e-21
       2.1598236   4.9625294e-21
       2.2434863   5.7586750e-21
       2.3303898   6.6775905e-21
       2.4206596   7.7372201e-21
       2.5144261   8.9579336e-21
       2.6118247   1.0362795e-20
       2.7129962   1.1977851e-20
       2.8180866   1.3832473e-20
       2.9272477   1.5959726e-20
       3.0406374   1.8396683e-20
       3.1584193   2.1184817e-20
       3.2807635   2.4370223e-20
       3.4078469   2.8004164e-20
       3.5398530   3.2143240e-20
       3.6769725   3.6849884e-20
       3.8194034   4.2192194e-20
       3.9673515   4.8244344e-20
       4.1210305   5.5086409e-20
       4.2806624   6.2804593e-20
       4.4464778   7.1490616e-20
       4.6187162   8.1241339e-20
       4.7976264   9.2158007e-20
       4.9834669   1.0434574e-19
       5.1765061   1.1791245e-19
       5.3770228   1.3296773e-19
       5.5853067   1.4962144e-19
       5.8016587   1.6798284e-19
       6.0263913   1.8816003e-19
       6.2598291   2.1025926e-19
       6.5023094   2.3438456e-19
       6.7541823   2.6063837e-19
       7.0158118   2.8912385e-19
       7.2875757   3.1994788e-19
       7.5698666   3.5322475e-19
       7.8630924   3.8908065e-19
       8.1676765   4.2765958e-19
       8.4840590   4.6913436e-19
       8.8126968   5.1371147e-19
       9.1540647   5.6164030e-19
       9.5086558   6.1321771e-19
       9.8769823   6.6879775e-19
       10.259576   7.2879378e-19
       10.656990   7.9367507e-19
       11.069799   8.6395935e-19
       11.498598   9.4020008e-19
       11.944006   1.0229704e-18
       12.406668   1.1128389e-18
       12.887252   1.2103287e-18
       13.386452   1.3158930e-18
       13.904988   1.4298755e-18
       14.443611   1.5524810e-18
       15.003097   1.6837445e-18
       15.584256   1.8235081e-18
       16.187927   1.9714130e-18
       16.814981   2.1268917e-18
       17.466325   2.2891543e-18
       18.142899   2.4571944e-18
       18.845681   2.6297786e-18
       19.575685   2.8054450e-18
       20.333968   2.9824948e-18
       21.121623   3.1589796e-18
       21.939788   3.3326982e-18
       22.789646   3.5012068e-18
       23.672424   3.6617894e-18
       24.589397   3.8115096e-18
       25.541890   3.9472210e-18
       26.531278   4.0656069e-18
       27.558992   4.1632342e-18
       28.626515   4.2366118e-18
       29.735389   4.2822787e-18
       30.887217   4.2969168e-18
       32.083662   4.2775057e-18
       33.326452   4.2215068e-18
       34.617383   4.1270729e-18
       35.958319   3.9932992e-18
       37.351197   3.8204679e-18
       38.798030   3.6102780e-18
       40.300908   3.3660241e-18
       41.862000   3.0926639e-18
       43.483563   2.7967657e-18
       45.167939   2.4862883e-18
       46.917561   2.1701549e-18
       48.734956   1.8576811e-18
       50.622749   1.5578924e-18
       52.583668   1.2788034e-18
       54.620545   1.0267756e-18
       56.736322   8.0606268e-19
       58.934055   6.1861335e-19
       61.216920   4.6417174e-19
       63.588214   3.4063204e-19
       66.051362   2.4457730e-19
       68.609922   1.7187342e-19
       71.267591   1.1821355e-19
       74.028206   7.9542615e-20
       76.895757   5.2300731e-20
       79.874385   3.3542507e-20
       82.968393   2.0930434e-20
       86.182250   1.2668825e-20
       89.520598   7.4119339e-21
       92.988261   4.1776528e-21
       96.590247   2.2596335e-21
       100.33176   1.1685425e-21
       104.21820   5.7564213e-22
       108.25519   2.6912692e-22
       112.44855   1.1850002e-22
       116.80435   4.9398540e-23
       121.32888   1.9307637e-23
       126.02866   7.0453703e-24
       130.91050   2.3893501e-24
       135.98144       0.0000000
       141.24880       0.0000000
       146.72021       0.0000000
       152.40355       0.0000000
       158.30704       0.0000000
       164.43921       0.0000000
       170.80891       0.0000000
       177.42535       0.0000000
       184.29809       0.0000000
       191.43704       0.0000000
       198.85253       0.0000000
       206.55527       0.0000000
       214.55638       0.0000000
       222.86742       0.0000000
       231.50039       0.0000000
       240.46777       0.0000000
       249.78251       0.0000000
       259.45807       0.0000000
       269.50841       0.0000000
       279.94807       0.0000000
       290.79211       0.0000000
       302.05621       0.0000000
       313.75664       0.0000000
       325.91029       0.0000000
       338.53473       0.0000000
       351.64818       0.0000000
       365.26960       0.0000000
       379.41865       0.0000000
       394.11578       0.0000000
       409.38222       0.0000000
       425.24002       0.0000000
       441.71208       0.0000000
       458.82220       0.0000000
       476.59510       0.0000000
       495.05645       0.0000000
       514.23292       0.0000000
       534.15220       0.0000000
       554.84308       0.0000000
       576.33544       0.0000000
       598.66032       0.0000000
       621.84998       0.0000000
       645.93791       0.0000000
       670.95891       0.0000000
       696.94912       0.0000000
       723.94609       0.0000000
       751.98880       0.0000000
       781.11778       0.0000000
       811.37510       0.0000000
       842.80446       0.0000000
       875.45127       0.0000000
       909.36268       0.0000000
       944.58768       0.0000000
       981.17715       0.0000000
