;============================ SPDUST.2 ===============================
;
;    Rotational emission from a population of spinning dust grains,
;    as described by Ali-Haimoud, Hirata & Dickinson, 2009, MNRAS, 395, 1055
;    and in Silsbee, Ali-Haimoud & Hirata, 2010
;    for an environment with parameters given below. 
;
;    nH = 0.100000 cm^-3
;    T = 8000.0000 K
;    Chi = 1.0000000
;    xh = 0.990000
;    xC = 0.0010000000
;    mu(1E-7 cm) = 9.1909739 debye (this corresponds to beta = 0.38000000 debye)
;
;Diklike grains are assumed to be randomly 
;
;=====================================================================
;
;nu(GHz)       j_nu/nH(Jy sr-1 cm2/H)     
;
      0.50959197   1.1635880e-23
      0.52933149   1.2882254e-23
      0.54983563   1.4278025e-23
      0.57113402   1.5845675e-23
      0.59325742   1.7611065e-23
      0.61623779   1.9604066e-23
      0.64010833   2.1859218e-23
      0.66490352   2.4416614e-23
      0.69065916   2.7322886e-23
      0.71741248   3.0632374e-23
      0.74520212   3.4408466e-23
      0.77406820   3.8725232e-23
      0.80405245   4.3669262e-23
      0.83519816   4.9341926e-23
      0.86755033   5.5861953e-23
      0.90115569   6.3368551e-23
      0.93606278   7.2025023e-23
      0.97232204   8.2023088e-23
       1.0099858   9.3587928e-23
       1.0491086   1.0698422e-22
       1.0897467   1.2252318e-22
       1.1319591   1.4057078e-22
       1.1758066   1.6155766e-22
       1.2213525   1.8599056e-22
       1.2686627   2.1446597e-22
       1.3178055   2.4768616e-22
       1.3688519   2.8647819e-22
       1.4218757   3.3181579e-22
       1.4769534   3.8484603e-22
       1.5341645   4.4692065e-22
       1.5935918   5.1963212e-22
       1.6553210   6.0485740e-22
       1.7194414   7.0480969e-22
       1.7860455   8.2209735e-22
       1.8552297   9.5979679e-22
       1.9270937   1.1215371e-21
       2.0017414   1.3115977e-21
       2.0792807   1.5350272e-21
       2.1598236   1.7977840e-21
       2.2434863   2.1068963e-21
       2.3303898   2.4706555e-21
       2.4206596   2.8988489e-21
       2.5144261   3.4030237e-21
       2.6118247   3.9968052e-21
       2.7129962   4.6962720e-21
       2.8180866   5.5203963e-21
       2.9272477   6.4915538e-21
       3.0406374   7.6361542e-21
       3.1584193   8.9853485e-21
       3.2807635   1.0575864e-20
       3.4078469   1.2451013e-20
       3.5398530   1.4661853e-20
       3.6769725   1.7268536e-20
       3.8194034   2.0341928e-20
       3.9673515   2.3965421e-20
       4.1210305   2.8237131e-20
       4.2806624   3.3272378e-20
       4.4464778   3.9206602e-20
       4.6187162   4.6198595e-20
       4.7976264   5.4434412e-20
       4.9834669   6.4131672e-20
       5.1765061   7.5544496e-20
       5.3770228   8.8968895e-20
       5.5853067   1.0474884e-19
       5.8016587   1.2328303e-19
       6.0263913   1.4503223e-19
       6.2598291   1.7052630e-19
       6.5023094   2.0037236e-19
       6.7541823   2.3526250e-19
       7.0158118   2.7598049e-19
       7.2875757   3.2340714e-19
       7.5698666   3.7852560e-19
       7.8630924   4.4241893e-19
       8.1676765   5.1627025e-19
       8.4840590   6.0135334e-19
       8.8126968   6.9901047e-19
       9.1540647   8.1063615e-19
       9.5086558   9.3763873e-19
       9.8769823   1.0813994e-18
       10.259576   1.2432094e-18
       10.656990   1.4242159e-18
       11.069799   1.6253559e-18
       11.498598   1.8472631e-18
       11.944006   2.0902488e-18
       12.406668   2.3541703e-18
       12.887252   2.6384763e-18
       13.386452   2.9421388e-18
       13.904988   3.2636925e-18
       14.443611   3.6013201e-18
       15.003097   3.9529195e-18
       15.584256   4.3162653e-18
       16.187927   4.6891210e-18
       16.814981   5.0694108e-18
       17.466325   5.4552408e-18
       18.142899   5.8448325e-18
       18.845681   6.2365319e-18
       19.575685   6.6282268e-18
       20.333968   7.0172720e-18
       21.121623   7.3999580e-18
       21.939788   7.7710522e-18
       22.789646   8.1238089e-18
       23.672424   8.4499202e-18
       24.589397   8.7398102e-18
       25.541890   8.9831212e-18
       26.531278   9.1693485e-18
       27.558992   9.2883937e-18
       28.626515   9.3310813e-18
       29.735389   9.2895684e-18
       30.887217   9.1577960e-18
       32.083662   8.9323129e-18
       33.326452   8.6133711e-18
       34.617383   8.2057975e-18
       35.958319   7.7193427e-18
       37.351197   7.1681863e-18
       38.798030   6.5697159e-18
       40.300908   5.9430076e-18
       41.862000   5.3071595e-18
       43.483563   4.6799310e-18
       45.167939   4.0765788e-18
       46.917561   3.5091770e-18
       48.734956   2.9863761e-18
       50.622749   2.5135476e-18
       52.583668   2.0932024e-18
       54.620545   1.7254497e-18
       56.736322   1.4086336e-18
       58.934055   1.1397812e-18
       61.216920   9.1498396e-19
       63.588214   7.2968559e-19
       66.051362   5.7891456e-19
       68.609922   4.5752394e-19
       71.267591   3.6047740e-19
       74.028206   2.8317162e-19
       76.895757   2.2168021e-19
       79.874385   1.7285116e-19
       82.968393   1.3423155e-19
       86.182250   1.0388590e-19
       89.520598   8.0216454e-20
       92.988261   6.1858095e-20
       96.590247   4.7651648e-20
       100.33176   3.6649422e-20
       104.21820   2.8113013e-20
       108.25519   2.1487304e-20
       112.44855   1.6357524e-20
       116.80435   1.2405753e-20
       121.32888   9.3789412e-21
       126.02866   7.0718141e-21
       130.91050   5.3192278e-21
       135.98144   3.9912808e-21
       141.24880   2.9876884e-21
       146.72021   2.2314239e-21
       152.40355   1.6630985e-21
       158.30704   1.2368761e-21
       164.43921   9.1767001e-22
       170.80891   6.7895961e-22
       177.42535   5.0084396e-22
       184.29809   3.6834480e-22
       191.43704   2.7009535e-22
       198.85253   1.9744052e-22
       206.55527   1.4383170e-22
       214.55638   1.0436786e-22
       222.86742   7.5407687e-23
       231.50039   5.4240947e-23
       240.46777   3.8837929e-23
       249.78251   2.7675199e-23
       259.45807   1.9616146e-23
       269.50841   1.3821421e-23
       279.94807   9.6751908e-24
       290.79211   6.7259879e-24
       302.05621   4.6418306e-24
       313.75664   3.1787043e-24
       325.91029   2.1583813e-24
       338.53473   1.4519403e-24
       351.64818   9.6681878e-25
       365.26960   6.3677053e-25
       379.41865   4.1451963e-25
       394.11578   2.6649242e-25
       409.38222   1.6904281e-25
       425.24002   1.0568751e-25
       441.71208   6.5054885e-26
       458.82220   3.9379230e-26
       476.59510   2.3413998e-26
       495.05645   1.3658166e-26
       514.23292   7.8073050e-27
       534.15220   4.3671562e-27
       554.84308   2.3860064e-27
       576.33544   1.2700789e-27
       598.66032   6.5665506e-28
       621.84998   3.2864494e-28
       645.93791   1.5863050e-28
       670.95891   7.3527920e-29
       696.94912   3.2548270e-29
       723.94609   1.3670217e-29
       751.98880   5.4039321e-30
       781.11778   1.9938338e-30
       811.37510   6.8071982e-31
       842.80446   2.1155677e-31
       875.45127   6.0059143e-32
       909.36268   1.5189285e-32
       944.58768   3.3540247e-33
       981.17715       0.0000000
