;============================ SPDUST.2 ===============================
;
;    Rotational emission from a population of spinning dust grains,
;    as described by Ali-Haimoud, Hirata & Dickinson, 2009, MNRAS, 395, 1055
;    and in Silsbee, Ali-Haimoud & Hirata, 2010
;    for an environment with parameters given below. 
;
;    nH = 0.100000 cm^-3
;    T = 8000.0000 K
;    Chi = 1.0000000
;    xh = 0.990000
;    xC = 0.0010000000
;    mu(1E-7 cm) = 9.1909739 debye (this corresponds to beta = 0.38000000 debye)
;
;Diklike grains are assumed to be randomly 
;
;=====================================================================
;
;nu(GHz)       j_nu/nH(Jy sr-1 cm2/H)     
;
      0.50959197   1.1604953e-23
      0.52933149   1.2848977e-23
      0.54983563   1.4242460e-23
      0.57113402   1.5807875e-23
      0.59325742   1.7571076e-23
      0.61623779   1.9561922e-23
      0.64010833   2.1814972e-23
      0.66490352   2.4370352e-23
      0.69065916   2.7274727e-23
      0.71741248   3.0582489e-23
      0.74520212   3.4357097e-23
      0.77406820   3.8672681e-23
      0.80405245   4.3615925e-23
      0.83519816   4.9288319e-23
      0.86755033   5.5808701e-23
      0.90115569   6.3316434e-23
      0.93606278   7.1975008e-23
      0.97232204   8.1976377e-23
       1.0099858   9.3546017e-23
       1.0491086   1.0694895e-22
       1.0897467   1.2249671e-22
       1.1319591   1.4055578e-22
       1.1758066   1.6155731e-22
       1.2213525   1.8600868e-22
       1.2686627   2.1450714e-22
       1.3178055   2.4775592e-22
       1.3688519   2.8658285e-22
       1.4218757   3.3196300e-22
       1.4769534   3.8504497e-22
       1.5341645   4.4718186e-22
       1.5935918   5.1996803e-22
       1.6553210   6.0528288e-22
       1.7194414   7.0534139e-22
       1.7860455   8.2275528e-22
       1.8552297   9.6060488e-22
       1.9270937   1.1225225e-21
       2.0017414   1.3127926e-21
       2.0792807   1.5364696e-21
       2.1598236   1.7995177e-21
       2.2434863   2.1089708e-21
       2.3303898   2.4731307e-21
       2.4206596   2.9017933e-21
       2.5144261   3.4065166e-21
       2.6118247   4.0009391e-21
       2.7129962   4.7011538e-21
       2.8180866   5.5261442e-21
       2.9272477   6.4983135e-21
       3.0406374   7.6440918e-21
       3.1584193   8.9946478e-21
       3.2807635   1.0586739e-20
       3.4078469   1.2463712e-20
       3.5398530   1.4676656e-20
       3.6769725   1.7285776e-20
       3.8194034   2.0361969e-20
       3.9673515   2.3988684e-20
       4.1210305   2.8264087e-20
       4.2806624   3.3303583e-20
       4.4464778   3.9242641e-20
       4.6187162   4.6240146e-20
       4.7976264   5.4482254e-20
       4.9834669   6.4186727e-20
       5.1765061   7.5607655e-20
       5.3770228   8.9041175e-20
       5.5853067   1.0483128e-19
       5.8016587   1.2337692e-19
       6.0263913   1.4513879e-19
       6.2598291   1.7064698e-19
       6.5023094   2.0050854e-19
       6.7541823   2.3541529e-19
       7.0158118   2.7615066e-19
       7.2875757   3.2359583e-19
       7.5698666   3.7873223e-19
       7.8630924   4.4264449e-19
       8.1676765   5.1651274e-19
       8.4840590   6.0160960e-19
       8.8126968   6.9927783e-19
       9.1540647   8.1090761e-19
       9.5086558   9.3790419e-19
       9.8769823   1.0816442e-18
       10.259576   1.2434199e-18
       10.656990   1.4243707e-18
       11.069799   1.6254242e-18
       11.498598   1.8472222e-18
       11.944006   2.0900447e-18
       12.406668   2.3537745e-18
       12.887252   2.6378357e-18
       13.386452   2.9411974e-18
       13.904988   3.2624028e-18
       14.443611   3.5996273e-18
       15.003097   3.9507662e-18
       15.584256   4.3135990e-18
       16.187927   4.6859055e-18
       16.814981   5.0656276e-18
       17.466325   5.4508353e-18
       18.142899   5.8398247e-18
       18.845681   6.2308692e-18
       19.575685   6.6219088e-18
       20.333968   7.0103187e-18
       21.121623   7.3923142e-18
       21.939788   7.7626976e-18
       22.789646   8.1147147e-18
       23.672424   8.4400718e-18
       24.589397   8.7291836e-18
       25.541890   8.9716782e-18
       26.531278   9.1571065e-18
       27.558992   9.2753759e-18
       28.626515   9.3173369e-18
       29.735389   9.2751541e-18
       30.887217   9.1428000e-18
       32.083662   8.9168507e-18
       33.326452   8.5975744e-18
       34.617383   8.1898471e-18
       35.958319   7.7034397e-18
       37.351197   7.1525491e-18
       38.798030   6.5545456e-18
       40.300908   5.9285477e-18
       41.862000   5.2935859e-18
       43.483563   4.6673785e-18
       45.167939   4.0651384e-18
       46.917561   3.4988974e-18
       48.734956   2.9772656e-18
       50.622749   2.5055757e-18
       52.583668   2.0863090e-18
       54.620545   1.7195707e-18
       56.736322   1.4036799e-18
       58.934055   1.1356557e-18
       61.216920   9.1158644e-19
       63.588214   7.2691629e-19
       66.051362   5.7667704e-19
       68.609922   4.5572772e-19
       71.267591   3.5904223e-19
       74.028206   2.8202757e-19
       76.895757   2.2077084e-19
       79.874385   1.7213095e-19
       82.968393   1.3366407e-19
       86.182250   1.0344141e-19
       89.520598   7.9870099e-20
       92.988261   6.1589150e-20
       96.590247   4.7443049e-20
       100.33176   3.6487644e-20
       104.21820   2.7987621e-20
       108.25519   2.1390337e-20
       112.44855   1.6282860e-20
       116.80435   1.2348527e-20
       121.32888   9.3352923e-21
       126.02866   7.0386350e-21
       130.91050   5.2940722e-21
       135.98144   3.9722536e-21
       141.24880   2.9733324e-21
       146.72021   2.2206200e-21
       152.40355   1.6549841e-21
       158.30704   1.2307931e-21
       164.43921   9.1311724e-22
       170.80891   6.7555896e-22
       177.42535   4.9831055e-22
       184.29809   3.6646301e-22
       191.43704   2.6870144e-22
       198.85253   1.9641043e-22
       206.55527   1.4307217e-22
       214.55638   1.0380945e-22
       222.86742   7.4998653e-23
       231.50039   5.3942565e-23
       240.46777   3.8621146e-23
       249.78251   2.7518313e-23
       259.45807   1.9503065e-23
       269.50841   1.3740243e-23
       279.94807   9.6172612e-24
       290.79211   6.6849064e-24
       302.05621   4.6128828e-24
       313.75664   3.1584347e-24
       325.91029   2.1442931e-24
       338.53473   1.4422256e-24
       351.64818   9.6017316e-25
       365.26960   6.3227338e-25
       379.41865   4.1150868e-25
       394.11578   2.6449938e-25
       409.38222   1.6773964e-25
       425.24002   1.0484674e-25
       441.71208   6.4520059e-26
       458.82220   3.9043963e-26
       476.59510   2.3207662e-26
       495.05645   1.3533474e-26
       514.23292   7.7333997e-27
       534.15220   4.3242410e-27
       554.84308   2.3616249e-27
       576.33544   1.2565519e-27
       598.66032   6.4933645e-28
       621.84998   3.2480291e-28
       645.93791   1.5668202e-28
       670.95891   7.2576337e-29
       696.94912   3.2102992e-29
       723.94609   1.3471759e-29
       751.98880   5.3203933e-30
       781.11778   1.9608981e-30
       811.37510   6.6863796e-31
       842.80446   2.0753838e-31
       875.45127   5.8829100e-32
       909.36268   1.4852542e-32
       944.58768   3.2731592e-33
       981.17715       0.0000000
