;============================ SPDUST.2 ===============================
;
;    Rotational emission from a population of spinning dust grains,
;    as described by Ali-Haimoud, Hirata & Dickinson, 2009, MNRAS, 395, 1055
;    and in Silsbee, Ali-Haimoud & Hirata, 2010
;    for an environment with parameters given below. 
;
;    nH = 30.000000 cm^-3
;    T = 100.00000 K
;    Chi = 1.0000000
;    xh = 0.0010000000
;    xC = 0.00030000000
;    mu(1E-7 cm) = 9.1909739 debye (this corresponds to beta = 0.38000000 debye)
;
;Diklike grains are assumed to be randomly 
;
;=====================================================================
;
;nu(GHz)       j_nu/nH(Jy sr-1 cm2/H)     
;
      0.50959197   1.0351641e-23
      0.52933149   1.1497676e-23
      0.54983563   1.2797196e-23
      0.57113402   1.4274569e-23
      0.59325742   1.5958381e-23
      0.61623779   1.7882141e-23
      0.64010833   2.0085153e-23
      0.66490352   2.2613598e-23
      0.69065916   2.5521742e-23
      0.71741248   2.8873411e-23
      0.74520212   3.2743730e-23
      0.77406820   3.7220986e-23
      0.80405245   4.2408980e-23
      0.83519816   4.8429947e-23
      0.86755033   5.5427927e-23
      0.90115569   6.3572272e-23
      0.93606278   7.3062071e-23
      0.97232204   8.4131847e-23
       1.0099858   9.7057742e-23
       1.0491086   1.1216433e-22
       1.0897467   1.2983332e-22
       1.1319591   1.5051397e-22
       1.1758066   1.7473461e-22
       1.2213525   2.0311599e-22
       1.2686627   2.3638817e-22
       1.3178055   2.7540900e-22
       1.3688519   3.2118660e-22
       1.4218757   3.7490491e-22
       1.4769534   4.3795443e-22
       1.5341645   5.1196839e-22
       1.5935918   5.9886277e-22
       1.6553210   7.0088640e-22
       1.7194414   8.2067864e-22
       1.7860455   9.6133259e-22
       1.8552297   1.1264758e-21
       1.9270937   1.3203622e-21
       2.0017414   1.5479722e-21
       2.0792807   1.8151430e-21
       2.1598236   2.1287107e-21
       2.2434863   2.4966753e-21
       2.3303898   2.9284013e-21
       2.4206596   3.4348480e-21
       2.5144261   4.0288342e-21
       2.6118247   4.7253431e-21
       2.7129962   5.5418929e-21
       2.8180866   6.4989624e-21
       2.9272477   7.6204681e-21
       3.0406374   8.9343350e-21
       3.1584193   1.0473173e-20
       3.2807635   1.2275042e-20
       3.4078469   1.4384318e-20
       3.5398530   1.6852744e-20
       3.6769725   1.9740632e-20
       3.8194034   2.3118240e-20
       3.9673515   2.7067365e-20
       4.1210305   3.1683101e-20
       4.2806624   3.7076076e-20
       4.4464778   4.3374729e-20
       4.6187162   5.0728193e-20
       4.7976264   5.9309324e-20
       4.9834669   6.9318122e-20
       5.1765061   8.0985872e-20
       5.3770228   9.4579491e-20
       5.5853067   1.1040638e-19
       5.8016587   1.2881966e-19
       6.0263913   1.5022404e-19
       6.2598291   1.7508172e-19
       6.5023094   2.0391835e-19
       6.7541823   2.3732932e-19
       7.0158118   2.7598482e-19
       7.2875757   3.2063502e-19
       7.5698666   3.7211403e-19
       7.8630924   4.3133823e-19
       8.1676765   4.9930736e-19
       8.4840590   5.7709597e-19
       8.8126968   6.6584208e-19
       9.1540647   7.6672913e-19
       9.5086558   8.8096244e-19
       9.8769823   1.0097338e-18
       10.259576   1.1541854e-18
       10.656990   1.3153677e-18
       11.069799   1.4941747e-18
       11.498598   1.6913041e-18
       11.944006   1.9072327e-18
       12.406668   2.1421352e-18
       12.887252   2.3959062e-18
       13.386452   2.6681450e-18
       13.904988   2.9581857e-18
       14.443611   3.2651783e-18
       15.003097   3.5881225e-18
       15.584256   3.9260297e-18
       16.187927   4.2779552e-18
       16.814981   4.6430884e-18
       17.466325   5.0207637e-18
       18.142899   5.4102872e-18
       18.845681   5.8108393e-18
       19.575685   6.2210024e-18
       20.333968   6.6385083e-18
       21.121623   7.0597904e-18
       21.939788   7.4796850e-18
       22.789646   7.8914575e-18
       23.672424   8.2865820e-18
       24.589397   8.6552652e-18
       25.541890   8.9867408e-18
       26.531278   9.2696619e-18
       27.558992   9.4924345e-18
       28.626515   9.6437165e-18
       29.735389   9.7127622e-18
       30.887217   9.6901663e-18
       32.083662   9.5688357e-18
       33.326452   9.3451934e-18
       34.617383   9.0201970e-18
       35.958319   8.5999705e-18
       37.351197   8.0954514e-18
       38.798030   7.5218654e-18
       40.300908   6.8976442e-18
       41.862000   6.2428374e-18
       43.483563   5.5775836e-18
       45.167939   4.9206422e-18
       46.917561   4.2881368e-18
       48.734956   3.6928124e-18
       50.622749   3.1438391e-18
       52.583668   2.6468808e-18
       54.620545   2.2046216e-18
       56.736322   1.8173153e-18
       58.934055   1.4833361e-18
       61.216920   1.1996792e-18
       63.588214   9.6236254e-19
       66.051362   7.6670211e-19
       68.609922   6.0753889e-19
       71.267591   4.7947813e-19
       74.028206   3.7719837e-19
       76.895757   2.9580405e-19
       79.874385   2.3111550e-19
       82.968393   1.7978557e-19
       86.182250   1.3922192e-19
       89.520598   1.0738810e-19
       92.988261   8.2604163e-20
       96.590247   6.3430550e-20
       100.33176   4.8639165e-20
       104.21820   3.7222769e-20
       108.25519   2.8396059e-20
       112.44855   2.1569972e-20
       116.80435   1.6306269e-20
       121.32888   1.2270233e-20
       126.02866   9.1960622e-21
       130.91050   6.8681067e-21
       135.98144   5.1127530e-21
       141.24880   3.7935254e-21
       146.72021   2.8053446e-21
       152.40355   2.0678772e-21
       158.30704   1.5195395e-21
       164.43921   1.1130777e-21
       170.80891   8.1251308e-22
       177.42535   5.9079611e-22
       184.29809   4.2776222e-22
       191.43704   3.0836794e-22
       198.85253   2.2131977e-22
       206.55527   1.5811745e-22
       214.55638   1.1239994e-22
       222.86742   7.9457070e-23
       231.50039   5.5828624e-23
       240.46777   3.8975269e-23
       249.78251   2.7028160e-23
       259.45807   1.8611615e-23
       269.50841   1.2718789e-23
       279.94807   8.6195635e-24
       290.79211   5.7887240e-24
       302.05621   3.8499731e-24
       313.75664   2.5342930e-24
       325.91029   1.6500977e-24
       338.53473   1.0619229e-24
       351.64818   6.7487746e-25
       365.26960   4.2313754e-25
       379.41865   2.6146715e-25
       394.11578   1.5906924e-25
       409.38222   9.5183859e-26
       425.24002   5.5967124e-26
       441.71208   3.2302471e-26
       458.82220   1.8275535e-26
       476.59510   1.0117289e-26
       495.05645   5.4693416e-27
       514.23292   2.8813387e-27
       534.15220   1.4762592e-27
       554.84308   7.3383976e-28
       576.33544   3.5287343e-28
       598.66032   1.6345948e-28
       621.84998   7.2599993e-29
       645.93791   3.0769018e-29
       670.95891   1.2385596e-29
       696.94912   4.6896231e-30
       723.94609   1.6788937e-30
       751.98880   5.6027249e-31
       781.11778   1.7275448e-31
       811.37510   4.8741845e-32
       842.80446   1.2450777e-32
       875.45127       0.0000000
       909.36268       0.0000000
       944.58768       0.0000000
       981.17715       0.0000000
